Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.02844137719029581,4.0,10.0
14,796,0.02785566949332277,4.0,10.0
14,797,0.027800318596964003,4.0,10.0
14,1239,0.016252239815086816,4.0,15.0
15,795,0.027458706579900745,4.0,10.0
15,796,0.026976163675756597,4.0,10.0
15,797,0.02690010001992747,4.0,10.0
15,1239,0.01583365868170298,4.0,15.0
16,19,0.04513025974925105,14.0,4.0
16,124,0.015177236544703918,14.0,8.0
16,731,0.003331262632208964,14.0,38.0
16,733,0.004133585446304177,14.0,39.0
16,734,0.0041492887399992035,14.0,39.0
16,735,0.0041348507203415145,14.0,39.0
16,736,0.0039009796429635467,14.0,39.0
16,737,0.0034970777113105165,14.0,38.0
16,813,0.09354466947136009,14.0,2.0
16,1195,0.030728988016038378,14.0,8.0
16,1196,0.00850434786898584,14.0,21.0
16,1197,0.008131061234393175,14.0,23.0
16,1199,0.030463712982322356,14.0,8.0
16,1201,0.028859653578574403,14.0,9.0
17,1196,0.025320452055168825,2.0,21.0
17,1197,0.024186200921215737,2.0,23.0
18,1196,0.028270920043593526,2.0,21.0
18,1197,0.02700764825684722,2.0,23.0
19,1196,0.025856126292495375,2.0,21.0
19,1197,0.024697019151743035,2.0,23.0
20,1196,0.03152236296990541,2.0,21.0
20,1197,0.030115941393062735,2.0,23.0
21,838,0.029364546121251483,3.0,19.0
21,839,0.029411236206896046,3.0,19.0
21,840,0.029292450367079583,3.0,19.0
22,999,0.06329406537695613,2.0,5.0
22,1000,0.06353851673354807,2.0,5.0
23,999,0.06229482680493694,2.0,5.0
23,1000,0.061983245407358126,2.0,5.0
24,999,0.06420287262438526,2.0,5.0
24,1000,0.06455215845794444,2.0,5.0
25,999,0.06382108034893323,2.0,5.0
25,1000,0.06360059161919558,2.0,5.0
26,999,0.06261491668045854,2.0,5.0
26,1000,0.0625532507779479,2.0,5.0
28,147,0.03219267245495773,3.0,7.0
28,953,0.06973484500305889,3.0,5.0
28,1238,0.08715701579814454,3.0,5.0
29,147,0.03257865048133431,3.0,7.0
29,953,0.06818219652112167,3.0,5.0
