Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.033638740795727914,4.0,10.0
14,796,0.03399914759147855,4.0,10.0
14,797,0.03424996250613001,4.0,10.0
14,1239,0.019149568984662052,4.0,15.0
15,795,0.034028485059594445,4.0,10.0
15,796,0.03433527431398622,4.0,10.0
15,797,0.034649116443288025,4.0,10.0
15,1239,0.019691387463204684,4.0,15.0
16,19,0.05568649594533628,14.0,4.0
16,124,0.017337717442232968,14.0,8.0
16,731,0.0037496456631835066,14.0,38.0
16,733,0.004941762710350704,14.0,39.0
16,734,0.004912695244955292,14.0,39.0
16,735,0.0048539791988521964,14.0,39.0
16,736,0.004853842995111896,14.0,39.0
16,737,0.00408450596017894,14.0,38.0
16,813,0.08748516016906709,14.0,2.0
16,1195,0.030380327465983716,14.0,8.0
16,1196,0.010139866985924648,14.0,21.0
16,1197,0.00970901806105938,14.0,23.0
16,1199,0.03035189330601224,14.0,8.0
16,1201,0.028516758433478843,14.0,9.0
17,1196,0.026863699670506624,2.0,21.0
17,1197,0.02563238273572219,2.0,23.0
18,1196,0.025435688595001858,2.0,21.0
18,1197,0.024277177397417353,2.0,23.0
19,1196,0.02390628767609151,2.0,21.0
19,1197,0.022856802224757156,2.0,23.0
20,1196,0.028832932966362076,2.0,21.0
20,1197,0.027539875411012733,2.0,23.0
21,838,0.027156294127653406,3.0,19.0
21,839,0.026079395025221545,3.0,19.0
21,840,0.02700459425847333,3.0,19.0
22,999,0.0681947910292845,2.0,5.0
22,1000,0.06875690392587064,2.0,5.0
23,999,0.0628687179147479,2.0,5.0
23,1000,0.06266061347801882,2.0,5.0
24,999,0.06418329193147757,2.0,5.0
24,1000,0.06504479149156729,2.0,5.0
25,999,0.0595417824583801,2.0,5.0
25,1000,0.05862012259160917,2.0,5.0
26,999,0.06143917936501199,2.0,5.0
26,1000,0.06114533296629207,2.0,5.0
28,147,0.03299497447807543,3.0,7.0
28,953,0.07504034847090299,3.0,5.0
28,1238,0.07854010667455269,3.0,5.0
29,147,0.03462627596252202,3.0,7.0
29,953,0.08113800836907423,3.0,5.0
29,1238,0.08493768135851124,3.0,5.0
30,466,0.04160000510605261,3.0,7.0
30,468,0.007943050274155195,3.0,40.0
30,469,0.016606650290201676,3.0,24.0
31,466,0.042448091357552495,3.0,7.0
31,468,0.006150916800892747,3.0,40.0
31,469,0.016528693964807818,3.0,24.0
32,464,0.0073593738978365375,2.0,32.0
32,465,0.007301972561177875,2.0,32.0
33,460,0.051582376734625776,5.0,14.0
33,461,0.02754390449353139,5.0,15.0
33,462,0.027505722711809334,5.0,15.0
33,468,0.007511237745250032,5.0,40.0
33,1339,0.22114797934542182,5.0,4.0
34,464,0.008495332475666282,4.0,32.0
34,465,0.008863290902127478,4.0,32.0
34,466,0.04079991350483823,4.0,7.0
34,469,0.015724712760569356,4.0,24.0
35,464,0.007064979381849086,4.0,32.0
35,465,0.007257632653218456,4.0,32.0
35,466,0.041659157732962686,4.0,7.0
35,469,0.014509779595029876,4.0,24.0
36,279,0.7071067932881648,2.0,1.0
36,1178,0.7071067932881648,2.0,1.0
37,910,0.0052096343944921675,6.0,58.0
37,911,0.005770502792679225,6.0,58.0
37,912,0.005700673390954641,6.0,58.0
37,914,0.005240063231058062,6.0,58.0
37,915,0.005696658914763968,6.0,58.0
37,916,0.005815571415012941,6.0,58.0
38,297,0.026902530050716134,18.0,7.0
38,321,0.235702271052127,18.0,1.0
38,627,0.0033888931344338577,18.0,64.0
38,910,0.0036212985785669515,18.0,58.0
38,911,0.004259005707195015,18.0,58.0
38,912,0.004185474170746661,18.0,58.0
38,914,0.0036985300945372238,18.0,58.0
38,915,0.004175227791769673,18.0,58.0
38,916,0.004301269965907975,18.0,58.0
38,933,0.004945367417975353,18.0,43.0
38,934,0.005629351118592916,18.0,43.0
38,935,0.012065327309454596,18.0,43.0
38,936,0.12214829945257184,18.0,3.0
38,937,0.13004944978130878,18.0,3.0
38,938,0.02165608789444283,18.0,11.0
38,939,0.007938314843453675,18.0,26.0
38,940,0.016503429372619848,18.0,25.0
38,1008,0.02472305821632019,18.0,7.0
39,98,0.18453020896739478,10.0,2.0
39,99,0.17317616381037274,10.0,2.0
39,290,0.009208360805673435,10.0,25.0
39,291,0.009002459184041613,10.0,25.0
39,393,0.12596031720783787,10.0,6.0
39,496,0.22086829056936008,10.0,2.0
39,685,0.15390367012304546,10.0,4.0
39,686,0.07530306106155257,10.0,16.0
39,687,0.08031250964868432,10.0,14.0
39,688,0.22090185377720437,10.0,2.0
41,1040,0.09513157479652751,1.0,10.0
42,43,0.005793208540780853,51.0,9.0
42,69,0.004696221005130721,51.0,15.0
42,70,0.0016395856574106503,51.0,26.0
42,71,0.007063763523296527,51.0,9.0
42,103,0.007827898901627632,51.0,11.0
42,108,0.000734813898226018,51.0,55.0
42,129,0.026412763059663117,51.0,3.0
42,162,0.014254413958187516,51.0,5.0
42,215,0.004315785531573989,51.0,20.0
42,216,0.007570923211713943,51.0,10.0
