Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.018026834529563572,4.0,10.0
14,796,0.018294489286344157,4.0,10.0
14,797,0.01832358418192093,4.0,10.0
14,1239,0.009459336682069558,4.0,15.0
15,795,0.01816177607033975,4.0,10.0
15,796,0.01848235840587207,4.0,10.0
15,797,0.018513481256404774,4.0,10.0
15,1239,0.009551321234319067,4.0,15.0
16,19,0.041621686338424876,14.0,4.0
16,124,0.014473327513562843,14.0,8.0
16,731,0.00206438750470852,14.0,38.0
16,733,0.0015609753117933583,14.0,39.0
16,734,0.0016109968359885075,14.0,39.0
16,735,0.001519648595005194,14.0,39.0
16,736,0.0018841128262011555,14.0,39.0
16,737,0.001631795790958388,14.0,38.0
16,813,0.09190975022599926,14.0,2.0
16,1195,0.015022702323760484,14.0,8.0
16,1196,0.0040315501408770766,14.0,21.0
16,1197,0.003641166459872713,14.0,23.0
16,1199,0.014868148267171338,14.0,8.0
16,1201,0.012217072438557052,14.0,9.0
17,1196,0.010970968054036898,2.0,21.0
17,1197,0.00990630062538999,2.0,23.0
18,1196,0.010738894661905482,2.0,21.0
18,1197,0.009681757967433018,2.0,23.0
19,1196,0.010567741438513764,2.0,21.0
19,1197,0.009544674518625559,2.0,23.0
20,1196,0.011033079811136558,2.0,21.0
20,1197,0.009965837872539912,2.0,23.0
21,838,0.009959177308767754,3.0,19.0
21,839,0.008589595514764944,3.0,19.0
21,840,0.010048211302342623,3.0,19.0
22,999,0.06398553628543671,2.0,5.0
22,1000,0.06440652705173243,2.0,5.0
23,999,0.06264603966550096,2.0,5.0
23,1000,0.062293480526128375,2.0,5.0
24,999,0.06298213124415789,2.0,5.0
24,1000,0.06297056646042322,2.0,5.0
25,999,0.0630652832734106,2.0,5.0
25,1000,0.06294857178574191,2.0,5.0
26,999,0.06354877195673728,2.0,5.0
26,1000,0.06360861818235627,2.0,5.0
28,147,0.03234458454778242,3.0,7.0
28,953,0.053410533796059825,3.0,5.0
28,1238,0.06020119878964652,3.0,5.0
29,147,0.03301865717208152,3.0,7.0
29,953,0.0537985535373438,3.0,5.0
29,1238,0.06174189364192111,3.0,5.0
30,466,0.03883690821860586,3.0,7.0
30,468,0.0030768436382730764,3.0,40.0
30,469,0.005795901589045911,3.0,24.0
31,466,0.037629313597478425,3.0,7.0
31,468,0.0030627162185885774,3.0,40.0
31,469,0.005864886723497961,3.0,24.0
32,464,0.004839470509615375,2.0,32.0
32,465,0.0047768849639423,2.0,32.0
33,460,0.012189774127729142,5.0,14.0
33,461,0.010325087821672579,5.0,15.0
33,462,0.01209020288306191,5.0,15.0
33,468,0.0024052089274103528,5.0,40.0
33,1339,0.08214516999409097,5.0,4.0
34,464,0.0034167850853788354,4.0,32.0
34,465,0.0033631507707927695,4.0,32.0
34,466,0.03320372086185388,4.0,7.0
34,469,0.005009270014689597,4.0,24.0
35,464,0.00344179678783144,4.0,32.0
35,465,0.003393512854589167,4.0,32.0
35,466,0.032536223298390586,4.0,7.0
35,469,0.00513268537421845,4.0,24.0
36,279,0.7071067932881648,2.0,1.0
36,1178,0.7071067932881648,2.0,1.0
37,910,0.0019750185530503497,6.0,58.0
37,911,0.001421492279907312,6.0,58.0
37,912,0.0014545513223743946,6.0,58.0
37,914,0.0016062044699404817,6.0,58.0
37,915,0.0014610020187472853,6.0,58.0
37,916,0.0015487149825970362,6.0,58.0
38,297,0.015318657317437482,18.0,7.0
38,321,0.235702271052127,18.0,1.0
38,627,0.0006992706211741643,18.0,64.0
38,910,0.0012736908268265279,18.0,58.0
38,911,0.0008640671390653454,18.0,58.0
38,912,0.0008867086168448027,18.0,58.0
38,914,0.0009943916710008938,18.0,58.0
38,915,0.0008911515229601159,18.0,58.0
38,916,0.000954044563513366,18.0,58.0
38,933,0.0009204542856013995,18.0,43.0
38,934,0.0019102936916813313,18.0,43.0
38,935,0.00407175824802149,18.0,43.0
38,936,0.02954137441801232,18.0,3.0
38,937,0.04159744446382284,18.0,3.0
38,938,0.011542106846408742,18.0,11.0
38,939,0.00328463051927361,18.0,26.0
38,940,0.00586387988426363,18.0,25.0
38,1008,0.01770537846435756,18.0,7.0
39,98,0.15385784129906843,10.0,2.0
39,99,0.15074582175242612,10.0,2.0
39,290,0.003274125689100439,10.0,25.0
39,291,0.0031806620638476137,10.0,25.0
39,393,0.03566967866457598,10.0,6.0
39,496,0.14580192401073533,10.0,2.0
39,685,0.06241145809549665,10.0,4.0
39,686,0.00900163437359043,10.0,16.0
39,687,0.010470911788555894,10.0,14.0
39,688,0.15158001758061732,10.0,2.0
41,1040,0.05232921718975291,1.0,10.0
42,43,0.005574877165705701,51.0,9.0
42,69,0.0033881885109520596,51.0,15.0
42,70,0.0013296392526828352,51.0,26.0
42,71,0.00580721678032758,51.0,9.0
42,103,0.005222302963113338,51.0,11.0
42,108,0.0005132618984479942,51.0,55.0
42,129,0.026408064289580188,51.0,3.0
42,162,0.013652294969163172,51.0,5.0
42,215,0.0027500695795563295,51.0,20.0
42,216,0.006196037323517952,51.0,10.0
42,227,0.0022557563812532276,51.0,19.0
42,249,0.0033323983682866615,51.0,13.0
42,250,0.003640684646774397,51.0,12.0
42,251,0.0018658511909625073,51.0,20.0
42,252,0.002567969386035964,51.0,16.0
42,253,0.001859247207311481,51.0,21.0
42,429,0.0009915715679023641,51.0,32.0
42,430,0.0009537096850410819,51.0,36.0
42,431,0.001392796224987931,51.0,30.0
42,498,0.026769213169524624,51.0,3.0
42,499,0.0032624922608896515,51.0,14.0
42,549,0.0013458199967230965,51.0,26.0
42,551,0.001224081778061989,51.0,28.0
42,710,0.003006751576164783,51.0,15.0
42,723,0.006970852311607139,51.0,8.0
42,726,0.026647004841368623,51.0,3.0
42,731,0.0010445982906445047,51.0,38.0
42,737,0.000843683333034127,51.0,38.0
42,752,0.008989019163234824,51.0,7.0
42,789,0.0014468525842753043,51.0,24.0
42,819,0.0010081438001070075,51.0,36.0
42,821,0.0033714259843637654,51.0,14.0
42,822,0.007449777855632537,51.0,8.0
42,823,0.007293312667667183,51.0,8.0
42,837,0.0016328155754048719,51.0,21.0
42,844,0.018988490649794573,51.0,4.0
42,872,0.006207870491068107,51.0,8.0
42,887,0.0064967999046126644,51.0,8.0
42,960,0.013346178490728076,51.0,5.0
42,961,0.010561212179362792,51.0,6.0
42,962,0.008292933494565793,51.0,7.0
42,966,0.026393246474725195,51.0,3.0
42,967,0.02695954035551817,51.0,3.0
42,968,0.026979575041630472,51.0,3.0
42,969,0.026501785207628366,51.0,3.0
42,1054,0.0021922508590376194,51.0,25.0
42,1092,0.0010984447296684876,51.0,35.0
42,1259,0.026600373644582308,51.0,3.0
42,1260,0.004060380311248586,51.0,12.0
42,1340,0.0024263753274504567,51.0,17.0
42,1341,0.002204761780391054,51.0,19.0
43,369,0.03945516625,6.0,6.0
43,789,0.0045474110761217915,6.0,24.0
43,1121,0.01592233677594618,6.0,10.0
43,1122,0.014547762011280429,6.0,10.0
43,1123,0.023116154957975293,6.0,8.0
43,1348,0.10417183942703936,6.0,3.0
44,43,0.005652826639325044,51.0,9.0
44,69,0.0035339386934697585,51.0,15.0
44,70,0.0013859993835069434,51.0,26.0
44,71,0.005970113545855029,51.0,9.0
44,103,0.005437275489980749,51.0,11.0
44,108,0.0005378172946942086,51.0,55.0
44,129,0.027065635845203766,51.0,3.0
44,162,0.013854721302125022,51.0,5.0
44,215,0.00280657407862938,51.0,20.0
44,216,0.0062341301362646324,51.0,10.0
44,227,0.0023158586178007833,51.0,19.0
44,249,0.003391917260700294,51.0,13.0
44,250,0.0036894854844424776,51.0,12.0
44,251,0.001905581361425692,51.0,20.0
44,252,0.0026286397375972137,51.0,16.0
44,253,0.0019197182128958047,51.0,21.0
44,429,0.00100993159640074,51.0,32.0
44,430,0.0009821631168099852,51.0,36.0
44,431,0.0014640498023425965,51.0,30.0
44,498,0.02686818577668423,51.0,3.0
44,499,0.0033140419134953473,51.0,14.0
44,549,0.0013716614494008938,51.0,26.0
44,551,0.0012642267227354245,51.0,28.0
44,710,0.0030478918498023973,51.0,15.0
44,723,0.007072445371966848,51.0,8.0
44,726,0.026937391349577868,51.0,3.0
44,731,0.0011075316854729353,51.0,38.0
44,737,0.0008670413330407907,51.0,38.0
44,752,0.009137092488345018,51.0,7.0
44,789,0.0014917573073331412,51.0,24.0
44,819,0.0010417227808221913,51.0,36.0
44,821,0.003450052445445038,51.0,14.0
44,822,0.00762461540586019,51.0,8.0
44,823,0.00742244286066881,51.0,8.0
44,837,0.0016685095451825247,51.0,21.0
44,844,0.01919303731586099,51.0,4.0
44,872,0.006356120007484611,51.0,8.0
44,887,0.006667778134685902,51.0,8.0
44,960,0.013568958600356725,51.0,5.0
44,961,0.010880580785973811,51.0,6.0
44,962,0.00848234453234419,51.0,7.0
44,966,0.02705795009346993,51.0,3.0
44,967,0.026754654743407436,51.0,3.0
44,968,0.02673783275254565,51.0,3.0
44,969,0.026957902921356035,51.0,3.0
44,1054,0.0024722342941453845,51.0,25.0
44,1092,0.0011384356829950693,51.0,35.0
44,1259,0.026941070910352707,51.0,3.0
44,1260,0.004157542919373973,51.0,12.0
44,1340,0.0024892621499112604,51.0,17.0
44,1341,0.0022790704942802272,51.0,19.0
45,43,0.005706703284728494,51.0,9.0
45,69,0.003521055783217229,51.0,15.0
45,70,0.0014338124308251863,51.0,26.0
45,71,0.005982626406145772,51.0,9.0
45,103,0.005482471653769288,51.0,11.0
45,108,0.0005305804262019294,51.0,55.0
45,129,0.027371507032397185,51.0,3.0
45,162,0.01394706764148459,51.0,5.0
45,215,0.002794599946457869,51.0,20.0
45,216,0.0064894768176016315,51.0,10.0
45,227,0.0023575220140999394,51.0,19.0
45,249,0.0034042078453067415,51.0,13.0
45,250,0.003708022707431157,51.0,12.0
45,251,0.0019097795952504517,51.0,20.0
45,252,0.002632390288144877,51.0,16.0
45,253,0.0019201609694702087,51.0,21.0
45,429,0.0010120601692740034,51.0,32.0
45,430,0.0009789970214692453,51.0,36.0
45,431,0.0014600555839717098,51.0,30.0
45,498,0.027207808298708072,51.0,3.0
45,499,0.003326967179015069,51.0,14.0
45,549,0.0013745167786430577,51.0,26.0
45,551,0.0012635525908857204,51.0,28.0
45,710,0.003063504630933323,51.0,15.0
45,723,0.007122437478635666,51.0,8.0
45,726,0.027260811201668407,51.0,3.0
