Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.016484341244295035,4,10
14,796,0.01660402686497544,4,10
14,797,0.016670590248456546,4,10
14,1239,0.009148858688977291,4,15
15,795,0.016454692551949042,4,10
15,796,0.016575259972264274,4,10
15,797,0.01663894152010177,4,10
15,1239,0.009134276300424224,4,15
16,19,0.040070080422862746,14,4
16,124,0.01452039007282314,14,8
16,731,0.0015528435979258596,14,38
16,733,0.0014625478908824928,14,39
16,734,0.0014867482683232382,14,39
16,735,0.0013991482352822345,14,39
16,736,0.001523302176990782,14,39
16,737,0.0015215517931187771,14,38
16,813,0.09505121037422606,14,2
16,1195,0.015363198344855911,14,8
16,1196,0.0038402957627517837,14,21
16,1197,0.0033981486016245567,14,23
16,1199,0.014251045694313532,14,8
16,1201,0.012304867102929936,14,9
17,1196,0.009517005050607218,2,21
17,1197,0.008436223103132379,2,23
18,1196,0.009593094128730478,2,21
18,1197,0.008505713556588721,2,23
19,1196,0.009884281260614533,2,21
19,1197,0.008757503646444273,2,23
20,1196,0.00965376113637986,2,21
20,1197,0.008562865943500472,2,23
21,838,0.009060623525780043,3,19
21,839,0.008956752856043452,3,19
21,840,0.009343862791272356,3,19
22,999,0.06526631850866334,2,5
22,1000,0.06657973960809117,2,5
23,999,0.06277548888015928,2,5
23,1000,0.06244609410209316,2,5
24,999,0.06298158053669015,2,5
24,1000,0.06296826732264355,2,5
25,999,0.06223798257857014,2,5
25,1000,0.06143247237079006,2,5
26,999,0.0629663919825921,2,5
26,1000,0.06280118869473335,2,5
28,147,0.03234222616725178,3,7
28,953,0.053944545960400894,3,5
28,1238,0.05860133808098733,3,5
29,147,0.032208422043811746,3,7
29,953,0.05321211999957644,3,5
29,1238,0.05836145149451148,3,5
30,466,0.03549907292845426,3,7
30,468,0.0028352389722106244,3,40
30,469,0.006235155308663002,3,24
31,466,0.03670838400331728,3,7
31,468,0.002863202668771179,3,40
31,469,0.006685985498661803,3,24
32,464,0.004449569541731663,2,32
32,465,0.004430769174531975,2,32
33,460,0.011585991351733677,5,14
33,461,0.009296355458018619,5,15
33,462,0.009657541733891275,5,15
33,468,0.00218049549941805,5,40
33,1339,0.07381858609832838,5,4
34,464,0.0031957162997257897,4,32
34,465,0.0031712765000653704,4,32
34,466,0.030471335452263486,4,7
34,469,0.005349296703266207,4,24
35,464,0.003002383099642665,4,32
35,465,0.0030488777621993125,4,32
35,466,0.030342769826140713,4,7
35,469,0.005408076688641585,4,24
36,279,0.7071067932881648,2,1
36,1178,0.7071067932881648,2,1
37,910,0.00147633192616274,6,58
37,911,0.0012265442212375972,6,58
37,912,0.0012414465788471141,6,58
37,914,0.0012791960220372828,6,58
37,915,0.0012457718755739685,6,58
37,916,0.0012749937045772827,6,58
38,297,0.014099163346276828,18,7
38,321,0.235702271052127,18,1
38,627,0.0006160365473157982,18,64
38,910,0.0009308061086704594,18,58
38,911,0.0007330627000344266,18,58
38,912,0.0007413160992832245,18,58
38,914,0.000754828310973534,18,58
38,915,0.000749744905641585,18,58
38,916,0.0007687051685453374,18,58
38,933,0.0009030976737206846,18,43
38,934,0.001378818966438499,18,43
38,935,0.0018252421591245973,18,43
38,936,0.048190216998434926,18,3
38,937,0.04866964104886037,18,3
38,938,0.008668492683327976,18,11
38,939,0.0026663661969511645,18,26
38,940,0.0035313883661100233,18,25
38,1008,0.014106019776237613,18,7
39,98,0.1285744269694053,10,2
39,99,0.12926073754953774,10,2
39,290,0.003149979073260093,10,25
39,291,0.0031449752790586962,10,25
39,393,0.03104760800098924,10,6
39,496,0.13157758262823532,10,2
39,685,0.05338293431069675,10,4
39,686,0.008010760164628126,10,16
