Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.019844723975991345,4,10
14,796,0.019770971930081722,4,10
14,797,0.019809904895740048,4,10
14,1239,0.010180675930229043,4,15
15,795,0.021035280068384326,4,10
15,796,0.02090340148113052,4,10
15,797,0.020951041388104937,4,10
15,1239,0.010663889219153292,4,15
16,19,0.04429665229281875,14,4
16,124,0.015178315848958967,14,8
16,731,0.0023111345266777212,14,38
16,733,0.0023181418655952796,14,39
16,734,0.0024266105761479285,14,39
16,735,0.002477059463937561,14,39
16,736,0.0018405072194860243,14,39
16,737,0.0021210777137607327,14,38
16,813,0.09160969757962262,14,2
16,1195,0.01753671961291591,14,8
16,1196,0.0065955778509935075,14,21
16,1197,0.006222027332034103,14,23
16,1199,0.018943577436360513,14,8
16,1201,0.017243439857748684,14,9
17,1196,0.013351884928068183,2,21
17,1197,0.012230991945528649,2,23
18,1196,0.013149716906278771,2,21
18,1197,0.012085760058526539,2,23
19,1196,0.017799072580554114,2,21
19,1197,0.016671288858043205,2,23
20,1196,0.014019034635145037,2,21
20,1197,0.012798317555246921,2,23
21,838,0.014602202229534086,3,19
21,839,0.014422715635082083,3,19
21,840,0.015046673019552665,3,19
22,999,0.06610634291930675,2,5
22,1000,0.0669630526034499,2,5
23,999,0.062364689792508,2,5
23,1000,0.062218414116256324,2,5
24,999,0.06450073443280209,2,5
24,1000,0.06527201028319311,2,5
25,999,0.061071844999145974,2,5
25,1000,0.060803272907284225,2,5
26,999,0.062184150167212904,2,5
26,1000,0.06097101256460424,2,5
28,147,0.034953443408995775,3,7
28,953,0.0684941418211212,3,5
28,1238,0.06580228059570566,3,5
29,147,0.033875893502455796,3,7
29,953,0.0672528104181907,3,5
29,1238,0.06551076960343871,3,5
30,466,0.03688760523389576,3,7
30,468,0.004748324030637057,3,40
30,469,0.011156308875317471,3,24
31,466,0.0384219676957856,3,7
31,468,0.004440607134355675,3,40
31,469,0.010380393374565134,3,24
32,464,0.005979788229326915,2,32
32,465,0.006056223499999995,2,32
33,460,0.02384438835183763,5,14
33,461,0.014837906563484531,5,15
33,462,0.014215980220165212,5,15
33,468,0.0032788235076228536,5,40
33,1339,0.12615650775613246,5,4
34,464,0.004568156244387829,4,32
34,465,0.0050049194955470305,4,32
34,466,0.031225179139659005,4,7
34,469,0.00900486322124799,4,24
35,464,0.003574244254634394,4,32
35,465,0.0036111786790300206,4,32
35,466,0.02453490304990498,4,7
35,469,0.006665352315526803,4,24
36,279,0.7071067932881648,2,1
36,1178,0.7071067932881648,2,1
37,910,0.0022697687556128233,6,58
37,911,0.0031420461786742654,6,58
37,912,0.0029906440352756754,6,58
37,914,0.0022353694700741585,6,58
37,915,0.003159187333901972,6,58
37,916,0.0030006126549694014,6,58
38,297,0.01720573711482648,18,7
38,321,0.235702271052127,18,1
38,627,0.0011110689205305496,18,64
38,910,0.0010590665626467822,18,58
38,911,0.0013834148454476337,18,58
38,912,0.0013479471619563667,18,58
38,914,0.0011167470168644488,18,58
38,915,0.0013872681162960677,18,58
38,916,0.0013414324218120597,18,58
38,933,0.0027325749024068964,18,43
38,934,0.00290806102878974,18,43
38,935,0.002411334755388748,18,43
38,936,0.08503326993389013,18,3
38,937,0.08165438686371415,18,3
38,938,0.010411796615643615,18,11
38,939,0.006493059825804034,18,26
38,940,0.00400349562636247,18,25
38,1008,0.017393120149019926,18,7
39,98,0.14775477096773398,10,2
39,99,0.15047675220493797,10,2
39,290,0.005581296183679285,10,25
39,291,0.005460041026416987,10,25
39,393,0.058984948021271896,10,6
39,496,0.15893955060867124,10,2
39,685,0.08308644463954647,10,4
39,686,0.02663857110082682,10,16
39,687,0.031546120909206395,10,14
39,688,0.15581571539950081,10,2
41,1040,0.06066229795669188,1,10
42,43,0.005760490348293229,51,9
42,69,0.0038068631505678136,51,15
42,70,0.0014272391287086647,51,26
42,71,0.006419979571463235,51,9
42,103,0.006244211475414375,51,11
42,108,0.000523916314280556,51,55
42,129,0.02614913240818671,51,3
42,162,0.013012063652598877,51,5
42,215,0.003033051124722541,51,20
42,216,0.006134030213413122,51,10
42,227,0.002130170627865734,51,19
42,249,0.004021718756573185,51,13
42,250,0.004262937426775993,51,12
42,251,0.0021762316381063835,51,20
42,252,0.0027861770302889098,51,16
42,253,0.002036957760920691,51,21
42,429,0.001166725097455993,51,32
42,430,0.0012653263214215183,51,36
42,431,0.0014206981402079054,51,30
42,498,0.025937884141455737,51,3
42,499,0.00412454235106628,51,14
42,549,0.0015546130981513718,51,26
42,551,0.0012002857851775885,51,28
42,710,0.003970997848778335,51,15
42,723,0.007839717523239259,51,8
42,726,0.025962827939933646,51,3
42,731,0.0010729945264153623,51,38
42,737,0.0010090165936005925,51,38
42,752,0.008878195793359052,51,7
42,789,0.0015421732011049647,51,24
42,819,0.0014202640430081546,51,36
42,821,0.0040396227791160725,51,14
42,822,0.007814829849279694,51,8
42,823,0.00783719524669165,51,8
42,837,0.001562828275336998,51,21
42,844,0.019815653927701973,51,4
42,872,0.005962468770498744,51,8
42,887,0.006779252376240404,51,8
42,960,0.01431399321424311,51,5
42,961,0.011146428412931711,51,6
42,962,0.008797061095916301,51,7
42,966,0.025946318691293213,51,3
42,967,0.02621803891149372,51,3
42,968,0.026047491316221572,51,3
42,969,0.026156442850349588,51,3
42,1054,0.0015502071691653892,51,25
42,1092,0.0014695476142057482,51,35
42,1259,0.026009600509023578,51,3
42,1260,0.0047381739657784755,51,12
42,1340,0.0028822585710029033,51,17
42,1341,0.002563285433563282,51,19
43,369,0.0574820688076923,6,6
43,789,0.005524737783493586,6,24
43,1121,0.027020157448746723,6,10
43,1122,0.024422733230147126,6,10
43,1123,0.024392605565755503,6,8
43,1348,0.10527290396124722,6,3
44,43,0.005802404627564395,51,9
44,69,0.003984734711753289,51,15
44,70,0.001491195773501658,51,26
44,71,0.00658891818140014,51,9
44,103,0.006420310500581972,51,11
44,108,0.0005406593913715893,51,55
44,129,0.026765440397490802,51,3
44,162,0.013181990297499047,51,5
44,215,0.003122410814207591,51,20
44,216,0.006223061034935822,51,10
44,227,0.0021628742628312827,51,19
44,249,0.004171242159942462,51,13
44,250,0.004422746661944565,51,12
44,251,0.0022411721584797394,51,20
44,252,0.002900655862392281,51,16
44,253,0.0020854118563544,51,21
44,429,0.001212097128252982,51,32
44,430,0.0012867985244636674,51,36
44,431,0.001474502868828415,51,30
44,498,0.02674186319722229,51,3
44,499,0.004279253012811049,51,14
44,549,0.0015559593737097654,51,26
44,551,0.0012526852946015386,51,28
44,710,0.004083143536628775,51,15
44,723,0.00807765022713304,51,8
44,726,0.02676063047426535,51,3
44,731,0.0010562808633004,51,38
44,737,0.001052921688428203,51,38
44,752,0.009125508925031615,51,7
44,789,0.001582614522222537,51,24
44,819,0.0014571080030259622,51,36
44,821,0.004119619571191625,51,14
44,822,0.008013222096986534,51,8
44,823,0.008043116754090664,51,8
44,837,0.0016100366057542532,51,21
44,844,0.020484124311386836,51,4
44,872,0.006111035645783392,51,8
44,887,0.006867407054986008,51,8
44,960,0.01466902655834355,51,5
44,961,0.011379761178955922,51,6
44,962,0.008984132152713856,51,7
44,966,0.026699596571824087,51,3
44,967,0.02670942902640009,51,3
44,968,0.026843673207318786,51,3
44,969,0.026671004042657893,51,3
44,1054,0.0015872634080386365,51,25
44,1092,0.0015593254106504259,51,35
44,1259,0.026783301021810015,51,3
44,1260,0.004899462412643258,51,12
44,1340,0.0029454897922977113,51,17
44,1341,0.0026339880571962094,51,19
45,43,0.006166402476966925,51,9
45,69,0.004135103602069966,51,15
45,70,0.0015892762091333046,51,26
45,71,0.006994264562646903,51,9
45,103,0.00670056390967737,51,11
45,108,0.0005770159395590525,51,55
45,129,0.02793063431439575,51,3
45,162,0.01365698503888196,51,5
45,215,0.00324238045633496,51,20
45,216,0.006535729333740255,51,10
45,227,0.002248420069083757,51,19
45,249,0.004433483730035595,51,13
45,250,0.004649243042378974,51,12
45,251,0.002334045438783114,51,20
45,252,0.002998814427182995,51,16
45,253,0.0021714506163334826,51,21
45,429,0.0012680401759746845,51,32
45,430,0.001390096527332575,51,36
45,431,0.0015910686037950723,51,30
45,498,0.02816545966370328,51,3
45,499,0.0045597531646058105,51,14
45,549,0.0016450465674281301,51,26
45,551,0.001305347066110673,51,28
45,710,0.004334479841409497,51,15
45,723,0.00847446009071823,51,8
45,726,0.028121748757646288,51,3
45,731,0.001129392369970277,51,38
45,737,0.0011166995966846315,51,38
45,752,0.00958324757002944,51,7
45,789,0.0016939790622930249,51,24
45,819,0.0015545134241751967,51,36
45,821,0.00441096189669981,51,14
45,822,0.008638309028323524,51,8
45,823,0.008700968978611678,51,8
45,837,0.0017003769894633537,51,21
45,844,0.021618659311534734,51,4
45,872,0.006445125937533778,51,8
45,887,0.007205711816931429,51,8
45,960,0.015471981965624873,51,5
45,961,0.011932495901471028,51,6
45,962,0.009349851801448452,51,7
45,966,0.028199292060001806,51,3
45,967,0.027917739056092034,51,3
45,968,0.0279540428255425,51,3
45,969,0.02801776021828164,51,3
45,1054,0.0016558847383432852,51,25
45,1092,0.0016825781269194818,51,35
45,1259,0.02805230570864183,51,3
45,1260,0.005195096546637189,51,12
45,1340,0.003130184827134937,51,17
