Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.02911691837139081,4,10
14,796,0.029057870836423104,4,10
14,797,0.029075153548448467,4,10
14,1239,0.016250308386459168,4,15
15,795,0.03109990011981741,4,10
15,796,0.03101096272798078,4,10
15,797,0.031035353547774036,4,10
15,1239,0.017989607423649707,4,15
16,19,0.05074304021488736,14,4
16,124,0.016302953896247776,14,8
16,731,0.003640046894644107,14,38
16,733,0.004503084874913015,14,39
16,734,0.004517050677237559,14,39
16,735,0.0044764354491608205,14,39
16,736,0.004373415079041254,14,39
16,737,0.003884509231292928,14,38
16,813,0.08871690143829276,14,2
16,1195,0.027891555699109793,14,8
16,1196,0.009444571951900411,14,21
16,1197,0.00900225885012275,14,23
16,1199,0.028029556413259514,14,8
16,1201,0.026062143565244923,14,9
17,1196,0.024710456692695622,2,21
17,1197,0.023492521809082376,2,23
18,1196,0.023541696188906926,2,21
18,1197,0.0223852840093801,2,23
19,1196,0.02215085859017359,2,21
19,1197,0.021040333141111915,2,23
20,1196,0.024715832474990075,2,21
20,1197,0.02351406618594528,2,23
21,838,0.023798009037882546,3,19
21,839,0.02294954955487096,3,19
21,840,0.023684086124236912,3,19
22,999,0.06710713721580377,2,5
22,1000,0.06716166057167115,2,5
23,999,0.06197307364379266,2,5
23,1000,0.06207215642740462,2,5
24,999,0.0639331629756857,2,5
24,1000,0.06382270399672474,2,5
25,999,0.06093294200447423,2,5
25,1000,0.06075357694760499,2,5
26,999,0.06228144727954617,2,5
26,1000,0.0624176647202858,2,5
28,147,0.03227466606905285,3,7
28,953,0.07407014267151442,3,5
28,1238,0.07698989360383782,3,5
29,147,0.03306162418389745,3,7
29,953,0.07880302295575191,3,5
29,1238,0.08327811417767723,3,5
30,466,0.044727889394096394,3,7
30,468,0.007974270940227068,3,40
30,469,0.01637756705892659,3,24
31,466,0.04053391656350215,3,7
31,468,0.0058246715468100885,3,40
31,469,0.014376183624147868,3,24
32,464,0.007293132986412494,2,32
32,465,0.007312616764379802,2,32
33,460,0.04503046353915621,5,14
33,461,0.02381731851865501,5,15
33,462,0.023446178657709704,5,15
33,468,0.005866253763225486,5,40
33,1339,0.19782438232952626,5,4
34,464,0.007984062734309127,4,32
34,465,0.008311253398409543,4,32
34,466,0.038860572157021,4,7
34,469,0.014388591468333675,4,24
35,464,0.006438828002077764,4,32
35,465,0.006650621136229049,4,32
35,466,0.03943280840401953,4,7
35,469,0.013302781021181676,4,24
36,279,0.7071067932881648,2,1
36,1178,0.7071067932881648,2,1
37,910,0.004462658918481096,6,58
37,911,0.0050776124790505,6,58
37,912,0.005022214317624979,6,58
37,914,0.0045970752317462515,6,58
37,915,0.004997490403232191,6,58
37,916,0.005063251471213502,6,58
38,297,0.02575329155258006,18,7
38,321,0.235702271052127,18,1
38,627,0.0028045885525143175,18,64
38,910,0.0030097388435151385,18,58
38,911,0.00353891554171911,18,58
38,912,0.0034879558286264613,18,58
38,914,0.003082717534245729,18,58
38,915,0.003460404733073159,18,58
38,916,0.0035417108863616343,18,58
38,933,0.0066269033786293275,18,43
38,934,0.006518276419009953,18,43
38,935,0.00813444127297495,18,43
38,936,0.11311731087013777,18,3
38,937,0.1147344535711409,18,3
38,938,0.018800779425924407,18,11
38,939,0.013494508725889792,18,26
38,940,0.012448741009252551,18,25
38,1008,0.02363561816449842,18,7
39,98,0.1741834185647944,10,2
39,99,0.16385593243776958,10,2
39,290,0.007718054033116933,10,25
39,291,0.007606507644371122,10,25
39,393,0.10950158503816956,10,6
39,496,0.20923377479511945,10,2
39,685,0.13739911519251294,10,4
39,686,0.06280227657625342,10,16
39,687,0.06778972268813414,10,14
39,688,0.2096794589092791,10,2
41,1040,0.08226334568449531,1,10
42,43,0.0057506030465671945,51,9
42,69,0.004226851145819022,51,15
42,70,0.00157295251849241,51,26
42,71,0.006628220068329481,51,9
42,103,0.006924741700251265,51,11
42,108,0.0006791060452896823,51,55
