Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
16,19,0.0448715449730486,14,4
16,813,0.0915605339568043,14,2
22,999,0.0662583297338511,2,5
22,1000,0.0670733204952988,2,5
23,999,0.0621729152264672,2,5
23,1000,0.0620103104316222,2,5
24,999,0.0638628876033701,2,5
24,1000,0.0641029173825883,2,5
25,999,0.0615790477438503,2,5
25,1000,0.0612605071418851,2,5
26,999,0.0623545824011741,2,5
26,1000,0.0617807069311925,2,5
28,147,0.033195373720106,3,7
28,953,0.0659244829264108,3,5
28,1238,0.0669639236155143,3,5
29,147,0.0329748214392843,3,7
29,953,0.0660815637600464,3,5
29,1238,0.0689708016790854,3,5
30,466,0.038947969093392,3,7
31,466,0.0385282059772719,3,7
33,460,0.0268048784767719,5,14
33,1339,0.1324396848478713,5,4
34,466,0.0334146474018255,4,7
35,466,0.0315326286440992,4,7
36,279,0.7071067932881648,2,1
36,1178,0.7071067932881648,2,1
38,321,0.2357022710521269,18,1
38,936,0.0821605235202067,18,3
38,937,0.0818270351069414,18,3
39,98,0.1510165393492148,10,2
39,99,0.147972843447883,10,2
39,393,0.0665874761595281,10,6
39,496,0.1668147964494614,10,2
39,685,0.09139769309307,10,4
39,686,0.0325197771614926,10,16
39,687,0.0363328047062077,10,14
39,688,0.166147517571972,10,2
41,1040,0.061262956975589,1,10
42,129,0.0263603431605649,51,3
42,498,0.0257513464454038,51,3
42,726,0.0256813876533863,51,3
42,966,0.0258960440257791,51,3
42,967,0.0263705487527743,51,3
42,968,0.0261867435291619,51,3
42,969,0.0262060782451882,51,3
42,1259,0.0257979865183201,51,3
43,369,0.0596861278349358,6,6
43,1348,0.1095178418177424,6,3
44,129,0.0267459873142864,51,3
44,498,0.0264384231950075,51,3
44,726,0.0263905307620567,51,3
44,966,0.0265748170636356,51,3
44,967,0.0266603877998875,51,3
44,968,0.0267559793027309,51,3
44,969,0.0265603488607955,51,3
44,1259,0.0264690683397213,51,3
45,129,0.0277388767227502,51,3
45,498,0.0286554375600975,51,3
45,726,0.0287732887072471,51,3
45,966,0.0283743461957691,51,3
45,967,0.0278142705804191,51,3
45,968,0.0279024844516844,51,3
45,969,0.0280787799848865,51,3
45,1259,0.0285781523588904,51,3
49,560,0.1469863362163461,4,4
49,562,0.1460538852355769,4,4
49,1312,0.1485691501078104,4,3
52,162,0.1060339403246586,1,5
53,390,0.4082482756069868,6,1
53,893,0.4082482756069868,6,1
53,894,0.4082482756069868,6,1
53,1300,0.4082482756069868,6,1
53,1301,0.4082482756069868,6,1
53,1353,0.4082482756069868,6,1
54,1183,0.0366863960624262,8,5
55,54,0.0277579192841231,9,7
55,1183,0.0363846157099261,9,5
56,57,0.0404530066423466,7,5
56,1019,0.0440285327102254,7,5
56,1020,0.0596117124233469,7,4
56,1021,0.1793595413707248,7,2
58,707,0.0395974367816262,2,13
58,708,0.038790722227086,2,13
60,942,0.0258063102209302,2,10
65,46,0.0389684516295901,34,4
65,47,0.0388545752588205,34,4
65,50,0.0393792109042742,34,4
65,51,0.0378602635647072,34,4
65,359,0.049105669321399,34,4
65,376,0.0495387899950617,34,4
65,377,0.0496398468569166,34,4
65,378,0.0491015450589671,34,4
65,454,0.0485609773611672,34,4
65,513,0.0408431168799561,34,5
65,514,0.04166719893906,34,5
65,515,0.0411528537426616,34,5
65,516,0.0417172882369804,34,5
65,519,0.0500389593027885,34,4
65,666,0.049308000345367,34,4
65,667,0.0481055762710403,34,4
65,699,0.0318093423745634,34,7
65,883,0.0498454384445303,34,4
65,890,0.049735840124476,34,4
65,891,0.0497985791446086,34,4
65,892,0.0485660772686403,34,4
65,896,0.0500839704407771,34,4
65,1274,0.0498396727229099,34,4
65,1276,0.0498879340875766,34,4
65,1293,0.0495700188743593,34,4
66,67,0.0668934055723575,20,3
66,483,0.0769131594648701,20,2
67,483,0.0833101844095688,19,2
68,1137,0.7071067932881648,2,1
68,1138,0.3217579548621794,2,2
70,1174,0.0265677710782358,11,10
72,74,0.1094981439066321,5,3
72,447,0.0332970241073672,5,7
72,448,0.0332411416128567,5,7
