Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.020920892629115565,4,10
14,796,0.02080168337858436,4,10
14,797,0.020865357259664465,4,10
14,1239,0.010851164633077361,4,15
15,795,0.020129520532035906,4,10
15,796,0.020028157066512016,4,10
15,797,0.02009222914903092,4,10
15,1239,0.010297790470874568,4,15
16,19,0.04678708776800404,14,4
16,124,0.016091692079306157,14,8
16,731,0.0026797943995391215,14,38
16,733,0.0025978332520312586,14,39
16,734,0.0027489477974246205,14,39
16,735,0.002793636443016809,14,39
16,736,0.0020584094328719243,14,39
16,737,0.0024138187099292845,14,38
16,813,0.09403646103779403,14,2
16,1195,0.018799888410476993,14,8
16,1196,0.007386286311479406,14,21
16,1197,0.006959698818488682,14,23
16,1199,0.02042369090207699,14,8
16,1201,0.018707209161966856,14,9
17,1196,0.012381526901668783,2,21
17,1197,0.011321772804735748,2,23
18,1196,0.014778551328098005,2,21
18,1197,0.01360035520752255,2,23
19,1196,0.016476863197550422,2,21
19,1197,0.015390836089888537,2,23
20,1196,0.013588853977964605,2,21
20,1197,0.012462881222565376,2,23
21,838,0.01651067010905085,3,19
21,839,0.016054686335872863,3,19
21,840,0.01722842976662892,3,19
22,999,0.06594199568609223,2,5
22,1000,0.06775956558321802,2,5
23,999,0.062388986409515776,2,5
23,1000,0.06072145359174659,2,5
24,999,0.06297735810689438,2,5
24,1000,0.06367528277594277,2,5
25,999,0.06155341386576748,2,5
25,1000,0.061411118600729134,2,5
26,999,0.06336600806749637,2,5
26,1000,0.06266034221639924,2,5
28,147,0.038530165684680415,3,7
28,953,0.073031725064189,3,5
28,1238,0.06917757867526152,3,5
29,147,0.03597311655805511,3,7
29,953,0.06769105936526885,3,5
29,1238,0.06815560243518745,3,5
30,466,0.03488592747645344,3,7
30,468,0.004603334947513003,3,40
30,469,0.010241655458860872,3,24
31,466,0.03553363908523315,3,7
31,468,0.0038867247814395795,3,40
31,469,0.009176688562671698,3,24
32,464,0.005865205626470583,2,32
32,465,0.0059709870102941116,2,32
33,460,0.021000110050158827,5,14
33,461,0.013082365226114334,5,15
33,462,0.012632157254778167,5,15
33,468,0.0028639863506875743,5,40
33,1339,0.12257066959857128,5,4
34,464,0.004813868821842545,4,32
34,465,0.005188783917831451,4,32
34,466,0.03124307914052159,4,7
34,469,0.009331004792566319,4,24
35,464,0.003854088933182722,4,32
35,465,0.0038928419668208384,4,32
35,466,0.027341049534954226,4,7
35,469,0.007557875698584826,4,24
36,279,0.7071067932881648,2,1
36,1178,0.7071067932881648,2,1
37,910,0.0024141892444470947,6,58
37,911,0.003217936547714485,6,58
37,912,0.003063155383646289,6,58
37,914,0.002321000709613657,6,58
37,915,0.0032497389085065858,6,58
37,916,0.003086792800068792,6,58
38,297,0.017295230783909616,18,7
38,321,0.235702271052127,18,1
38,627,0.0011270533751767374,18,64
38,910,0.0009451953360264274,18,58
38,911,0.0013962640842479401,18,58
38,912,0.0013361358251672139,18,58
38,914,0.0010572347390531097,18,58
38,915,0.0013633678675449266,18,58
38,916,0.0013058745977971452,18,58
38,933,0.003025365657199409,18,43
38,934,0.0031969821968679084,18,43
38,935,0.0021903641965726945,18,43
38,936,0.08443416499087768,18,3
38,937,0.08117645497354245,18,3
38,938,0.010555090519225227,18,11
38,939,0.00661001229096188,18,26
38,940,0.003784693757917371,18,25
38,1008,0.017227502803027095,18,7
39,98,0.14625768312463167,10,2
39,99,0.14771633474234638,10,2
39,290,0.004823448034263292,10,25
39,291,0.004817346250932981,10,25
39,393,0.055817950031308385,10,6
39,496,0.15607087523440205,10,2
39,685,0.07936763527982574,10,4
39,686,0.024118467523529075,10,16
39,687,0.028873430202080032,10,14
39,688,0.1533617489052375,10,2
41,1040,0.05832475662605615,1,10
42,43,0.005876791662487436,51,9
42,69,0.00398227280073408,51,15
42,70,0.0014970067304618637,51,26
42,71,0.006712573082342348,51,9
42,103,0.006440517754040265,51,11
42,108,0.0005609543601984864,51,55
42,129,0.026294458145801603,51,3
42,162,0.013497053015329708,51,5
42,215,0.003169513031572313,51,20
42,216,0.00627179387372658,51,10
42,227,0.0021146804389806117,51,19
42,249,0.004162466098642442,51,13
42,250,0.00441154238878569,51,12
42,251,0.0022452875699415105,51,20
42,252,0.0028780910974596082,51,16
42,253,0.002090129537012959,51,21
42,429,0.001250495901484779,51,32
42,430,0.0013303888131025545,51,36
42,431,0.0015357164313897502,51,30
42,498,0.02605296360603111,51,3
42,499,0.0043046992231846005,51,14
42,549,0.0015146875998449595,51,26
42,551,0.0011996443974965404,51,28
42,710,0.004058555779770283,51,15
42,723,0.007858534189780766,51,8
42,726,0.026071442638523606,51,3
42,731,0.0010616573107949119,51,38
42,737,0.0010268541479178613,51,38
42,752,0.009251948746103238,51,7
42,789,0.0015944032653461945,51,24
42,819,0.0014093392028527107,51,36
42,821,0.004117936923117501,51,14
42,822,0.00803673611841984,51,8
42,823,0.008061838116288968,51,8
42,837,0.0016215209021795689,51,21
42,844,0.019930248889463348,51,4
42,872,0.006108662384084541,51,8
42,887,0.006845900254869944,51,8
42,960,0.01464554149322809,51,5
42,961,0.011220077203159692,51,6
42,962,0.00898304488759642,51,7
42,966,0.025928734037036383,51,3
42,967,0.026456485083573112,51,3
42,968,0.026037802796349003,51,3
42,969,0.026356585643802243,51,3
42,1054,0.00159423732151016,51,25
42,1092,0.0015770356494368052,51,35
42,1259,0.026150642676889345,51,3
42,1260,0.004861654325424455,51,12
42,1340,0.0029490081620108244,51,17
42,1341,0.0026432399374545614,51,19
43,369,0.05726759573529411,6,6
43,789,0.005609913299019605,6,24
43,1121,0.02725482366569652,6,10
43,1122,0.024523688889233917,6,10
43,1123,0.02430959648151591,6,8
43,1348,0.10519225240680044,6,3
44,43,0.006163533963045405,51,9
44,69,0.004251509882255784,51,15
44,70,0.0016440120333949127,51,26
44,71,0.0068870013706001055,51,9
44,103,0.006749649200666348,51,11
44,108,0.000585323775529709,51,55
44,129,0.027654231468415485,51,3
44,162,0.014047151513372139,51,5
44,215,0.0032764143767926835,51,20
44,216,0.006568561855223065,51,10
44,227,0.0023776603381476602,51,19
44,249,0.0045107286846145815,51,13
44,250,0.004697324221002485,51,12
44,251,0.0023783301925172475,51,20
44,252,0.0029930146097547294,51,16
44,253,0.002235081293953919,51,21
44,429,0.0013125597612005868,51,32
44,430,0.0014658067195033693,51,36
44,431,0.0016712085272186298,51,30
44,498,0.02817966056903014,51,3
44,499,0.0046383333849156095,51,14
44,549,0.001760236084494215,51,26
44,551,0.0013285173716853663,51,28
44,710,0.004437508771347561,51,15
44,723,0.008425062875484704,51,8
44,726,0.028121722652518548,51,3
44,731,0.0011692353952862066,51,38
44,737,0.0011317460523096727,51,38
44,752,0.00953335962847306,51,7
44,789,0.0017434008645426952,51,24
44,819,0.0016417704617325633,51,36
44,821,0.00462203550685647,51,14
44,822,0.008848061515635205,51,8
44,823,0.008874353086427787,51,8
44,837,0.001730786221649352,51,21
44,844,0.021751805917049602,51,4
44,872,0.0064970945990025005,51,8
44,887,0.007379395818582696,51,8
44,960,0.015292071645664002,51,5
44,961,0.012253410249490098,51,6
44,962,0.009401817374130187,51,7
44,966,0.02829833125320374,51,3
44,967,0.02755857924682188,51,3
44,968,0.028363818085229302,51,3
44,969,0.02753164787407423,51,3
44,1054,0.0016864934424682416,51,25
44,1092,0.001659711062703436,51,35
44,1259,0.028038756738827903,51,3
44,1260,0.005316029647141902,51,12
44,1340,0.003223819782656962,51,17
44,1341,0.0028973778273587063,51,19
45,43,0.005908344943435862,51,9
45,69,0.004015812620192533,51,15
45,70,0.001525136634437401,51,26
45,71,0.006721129953313573,51,9
45,103,0.006438640827381739,51,11
45,108,0.0005597117911320539,51,55
45,129,0.026896517538550935,51,3
45,162,0.01347118027169808,51,5
45,215,0.003185768864687569,51,20
45,216,0.006333145894667773,51,10
45,227,0.0021893023992484296,51,19
45,249,0.004244233603794269,51,13
45,250,0.004522671858783528,51,12
45,251,0.00229123183888898,51,20
45,252,0.002936052323419946,51,16
45,253,0.002108397843639787,51,21
45,429,0.0012854011418989009,51,32
45,430,0.0013597020773894086,51,36
45,431,0.0015827120051357794,51,30
45,498,0.02661258287284577,51,3
45,499,0.004377817834470134,51,14
45,549,0.0015328722020604454,51,26
45,551,0.001258194687755756,51,28
45,710,0.004104220621088634,51,15
45,723,0.007961355852676944,51,8
45,726,0.02665204186029918,51,3
45,731,0.0010312245141340668,51,38
45,737,0.00105017598287226,51,38
45,752,0.009434099566117212,51,7
45,789,0.0016331028574001997,51,24
45,819,0.0014655089923721303,51,36
45,821,0.004216379969766019,51,14
45,822,0.00827227357236022,51,8
45,823,0.008296313018098099,51,8
45,837,0.0016505937046148128,51,21
45,844,0.020357354831003517,51,4
45,872,0.006164575239994109,51,8
45,887,0.006855702910242857,51,8
45,960,0.014987289515416549,51,5
45,961,0.011270390733147317,51,6
45,962,0.009141174681985727,51,7
45,966,0.02661814175196019,51,3
45,967,0.026830142716323134,51,3
45,968,0.02644358636107056,51,3
45,969,0.026956973841997946,51,3
45,1054,0.0015921969093010892,51,25
45,1092,0.0016294242634561924,51,35
45,1259,0.026655807883523258,51,3
45,1260,0.004933671900221319,51,12
45,1340,0.002970541672814645,51,17
45,1341,0.0026737890765940737,51,19
49,560,0.1345089414117647,4,4
49,562,0.13378739641911766,4,4
49,1312,0.14403936775542453,4,3
49,1336,0.018878271489999994,4,25
50,259,0.013790802290718909,11,17
50,381,0.013123347251752715,11,18
50,410,0.013222874032475884,11,18
50,411,0.013222974129377401,11,18
50,419,0.010008559227232348,11,22
50,420,0.013935881033722184,11,17
50,422,0.012392643475306641,11,18
50,546,0.012853705950938007,11,18
50,585,0.0075086682552483975,11,24
50,641,0.013169539188914841,11,17
50,880,0.007544866625515815,11,25
51,259,0.014974303553677149,11,17
51,381,0.014373007846146299,11,18
51,410,0.014246979900820153,11,18
51,411,0.014531590302932412,11,18
51,419,0.010969206198939697,11,22
51,420,0.015077141627209292,11,17
51,422,0.013489863376345824,11,18
51,546,0.014239139113601992,11,18
51,585,0.008050514838924331,11,24
51,641,0.014586164445116073,11,17
51,880,0.008877465470770517,11,25
52,162,0.10600337040245715,1,5
53,390,0.40824827560698684,6,1
53,893,0.40824827560698684,6,1
53,894,0.40824827560698684,6,1
53,1300,0.40824827560698684,6,1
53,1301,0.40824827560698684,6,1
53,1353,0.40824827560698684,6,1
54,100,0.022315636500926505,8,11
54,101,0.017081000974999597,8,12
54,277,0.006156410261316232,8,21
54,345,0.00835698555730908,8,20
54,346,0.008397594906192112,8,21
54,347,0.008235631311104327,8,22
54,1183,0.037085191013911424,8,5
54,1267,0.010200782143734806,8,17
55,54,0.02977965268857353,9,7
55,100,0.022228052440759517,9,11
55,101,0.01744197025213034,9,12
55,277,0.00616598553873916,9,21
55,345,0.008221014947623785,9,20
55,346,0.008469938914793496,9,21
55,347,0.008287607194737224,9,22
55,1183,0.037656922129156736,9,5
55,1267,0.010158537183653208,9,17
56,57,0.03313561847806811,7,5
56,838,0.005443555280296832,7,19
56,839,0.005895995135006446,7,19
56,840,0.005386108234291598,7,19
56,1019,0.03706910654372132,7,5
56,1020,0.04466569326144794,7,4
56,1021,0.1468892996068058,7,2
57,838,0.012242538431791976,3,19
57,839,0.012625752305899875,3,19
57,840,0.01237319975752499,3,19
58,707,0.03473576634048996,2,13
58,708,0.033719141311191844,2,13
59,1101,0.026457172567426458,1,16
60,941,0.024471139816766053,2,10
60,942,0.026164966444908726,2,10
61,941,0.024778022592357788,3,10
61,942,0.024713560237739123,3,10
61,1052,0.014168100078126031,3,23
62,1101,0.02527362648970587,1,16
63,1101,0.027173085112499995,1,16
64,522,0.001543781575372126,7,58
64,644,0.0014914012942927773,7,58
64,786,0.0026315848802597633,7,35
64,845,0.0015454464632076832,7,58
64,1101,0.007624397207650043,7,16
