Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.022992324194939132,4,10
14,796,0.022958554236168566,4,10
14,797,0.023016754487741767,4,10
14,1239,0.012661474543554601,4,15
15,795,0.0218551262580861,4,10
15,796,0.021840208671470365,4,10
15,797,0.0218831007251529,4,10
15,1239,0.011949619554258167,4,15
16,19,0.046814490241301236,14,4
16,124,0.016015204224413267,14,8
16,731,0.0027441251222100004,14,38
16,733,0.0030355233605921,14,39
16,734,0.003096481126301133,14,39
16,735,0.0030651514233757337,14,39
16,736,0.0028212251867551327,14,39
16,737,0.0027397190083801332,14,38
16,813,0.09425230597761924,14,2
16,1195,0.02165964196832403,14,8
16,1196,0.007002233176651468,14,21
16,1197,0.006556109585157367,14,23
16,1199,0.02179847542966203,14,8
16,1201,0.019886076569701133,14,9
17,1196,0.013896123142004833,2,21
17,1197,0.012840050251003167,2,23
18,1196,0.019122527970868098,2,21
18,1197,0.017861181439419935,2,23
19,1196,0.01567113233497967,2,21
19,1197,0.014586806402516897,2,23
20,1196,0.0158626793941743,2,21
20,1197,0.014736632023686733,2,23
21,838,0.019069717646544335,3,19
21,839,0.018375364880515735,3,19
21,840,0.019452889871736333,3,19
22,999,0.06700727227423971,2,5
22,1000,0.06835359036410353,2,5
23,999,0.0613447241148934,2,5
23,1000,0.06025651114935563,2,5
24,999,0.061658431482750596,2,5
24,1000,0.061827927876329035,2,5
25,999,0.0626910482449865,2,5
25,1000,0.06242918058117456,2,5
26,999,0.06352628628393807,2,5
26,1000,0.06336055205350342,2,5
28,147,0.03619058581515697,3,7
28,953,0.07047231403670179,3,5
28,1238,0.072724423183279,3,5
29,147,0.033856253629229664,3,7
29,953,0.06478508800752014,3,5
29,1238,0.06793151139387384,3,5
30,466,0.03486075504004863,3,7
30,468,0.0048650305521741,3,40
30,469,0.009680727185890468,3,24
31,466,0.036420351121703,3,7
31,468,0.003964612645053933,3,40
31,469,0.009360055393124333,3,24
32,464,0.006002179230805767,2,32
32,465,0.006069537159465434,2,32
33,460,0.0215520934051564,5,14
33,461,0.012912155148890133,5,15
33,462,0.012841970949203,5,15
33,468,0.0027637332422354335,5,40
33,1339,0.1298047923098309,5,4
34,464,0.005667146015317567,4,32
34,465,0.005928404316477333,4,32
34,466,0.033316490609099664,4,7
34,469,0.009739308607028102,4,24
35,464,0.004726941012614867,4,32
35,465,0.004884021516085467,4,32
35,466,0.035056540743377704,4,7
35,469,0.009424450010789067,4,24
36,279,0.7071067932881648,2,1
36,1178,0.7071067932881648,2,1
37,910,0.0029851531249653006,6,58
37,911,0.0034322555175046667,6,58
37,912,0.0033607221876957335,6,58
37,914,0.002926466154949767,6,58
37,915,0.003414031935125867,6,58
37,916,0.0033998472087980666,6,58
38,297,0.018318180225573067,18,7
38,321,0.23570227105212696,18,1
38,627,0.0014380724890473001,18,64
38,910,0.0015289335486139667,18,58
38,911,0.0017261208746167332,18,58
38,912,0.0016984254219471666,18,58
38,914,0.0015233177120663668,18,58
38,915,0.0017073522902172997,18,58
38,916,0.0017106360942788334,18,58
38,933,0.0033493094968825663,18,43
38,934,0.0035278965249796665,18,43
38,935,0.0038074369071883335,18,43
38,936,0.08147125838124027,18,3
38,937,0.0812021290240121,18,3
38,938,0.012108257374849834,18,11
38,939,0.007122415257796266,18,26
38,940,0.006041812994425733,18,25
38,1008,0.018017394124360302,18,7
39,98,0.14699938519359637,10,2
39,99,0.1457943723280931,10,2
39,290,0.0045731396776832,10,25
39,291,0.004548962920986901,10,25
39,393,0.06485052431171069,10,6
39,496,0.16462200321094542,10,2
39,685,0.08919967226345182,10,4
39,686,0.031148770653343465,10,16
39,687,0.03489105560841283,10,14
39,688,0.16399643986939752,10,2
41,1040,0.05865863475704446,1,10
42,43,0.005808592458077967,51,9
42,69,0.0037457444390496327,51,15
42,70,0.0014605323887945,51,26
42,71,0.006415560294358667,51,9
42,103,0.006376122353623133,51,11
42,108,0.0005840803758198,51,55
42,129,0.02660624332902907,51,3
42,162,0.013792337480705132,51,5
42,215,0.0032045931454786664,51,20
42,216,0.0064809620576229,51,10
42,227,0.0022757245427835002,51,19
42,249,0.004584813191843533,51,13
42,250,0.0047901922705030665,51,12
42,251,0.0024282658559096333,51,20
42,252,0.0033075215789160335,51,16
42,253,0.0023136981000643,51,21
42,429,0.0014510438438336333,51,32
