"","Actual_From","Actual_To","Weight","Degree_Row","Degree_Col"
"1",16,813,0.0942523059776192,14,2
"5",36,279,0.707106793288165,2,1
"6",36,1178,0.707106793288165,2,1
"20",53,390,0.408248275606987,6,1
"21",53,893,0.408248275606987,6,1
"22",53,894,0.408248275606987,6,1
"23",53,1300,0.408248275606987,6,1
"24",53,1301,0.408248275606987,6,1
"25",53,1353,0.408248275606987,6,1
"31",72,74,0.106683040457244,5,3
"32",73,74,0.104795819687946,5,3
"38",112,568,0.206377347746709,2,3
"40",116,298,0.381777602941176,2,2
"42",120,16,0.154366524639542,3,3
"43",123,813,0.102320018671548,12,2
"49",137,1183,0.0994625988740043,1,5
"63",163,164,0.408248275606987,6,1
"64",163,775,0.189810231349545,6,2
"65",163,1151,0.188352344956091,6,2
"66",163,1152,0.192131024092535,6,2
"67",163,1365,0.196954632428485,6,2
"68",163,1366,0.197278351974581,6,2
"69",167,233,0.447213588933876,5,1
"70",167,1384,0.112670747678256,5,4
"71",189,1305,0.356993427813725,2,2
"77",209,524,0.214099107928945,6,2
"78",209,525,0.14998745412942,6,3
"79",209,526,0.152123511899602,6,3
"81",211,1062,0.344133199547986,1,3
"90",233,694,0.280605981112745,2,2
"99",279,211,0.100928333893375,1,5
"100",281,116,1,1,1
"101",282,132,0.128413690452892,6,2
"102",282,405,0.408248275606987,6,1
"106",299,112,0.232333806255637,2,2
"114",322,323,0.316227762181991,10,1
"115",322,324,0.105285126909147,10,2
"116",323,324,0.167332107419723,5,2
"117",323,1150,0.0899354344053705,5,3
"118",324,1150,0.0944594830290218,4,3
"129",382,834,1,1,1
"134",392,1102,0.0743803116458194,1,5
"139",405,132,0.175557616778411,5,2
"140",405,282,0.191845225773166,5,2
"145",423,1278,0.123647806943222,2,4
"146",423,1279,0.176205681858299,2,3
"159",459,1024,0.100141265944568,6,3
"160",459,1025,0.0978513753194156,6,3
"161",459,1245,0.0807682396938612,6,4
"174",550,299,0.114016460108317,7,2
"184",585,1165,0.204124137803493,24,1
"203",694,64,0.316227762181991,10,1
