Actual_From,Actual_To,Weight
14,795,1.0
14,796,0.9421310997468544
14,797,0.9351512188695146
14,1239,0.0
15,795,1.0
15,796,0.9263667955729802
15,797,0.9168774710701024
15,1239,0.0
16,19,0.6654135125056719
16,124,0.20291970656331998
16,731,0.0
16,733,0.04506950246457058
16,734,0.04575098074772804
16,735,0.045482223110559133
16,736,0.03166516232537412
16,737,0.016060986713102268
16,813,1.0
16,1195,0.6213594774834856
16,1196,0.2124994125011883
16,1197,0.21238786099773074
16,1199,0.6112992263287397
16,1201,0.6163730732786442
17,1196,1.0
17,1197,0.0
18,1196,1.0
18,1197,0.0
19,1196,1.0
19,1197,0.0
20,1196,0.0
20,1197,1.0
21,838,1.0
21,839,0.9415826175161126
21,840,0.0
22,999,0.0
22,1000,1.0
23,999,1.0
23,1000,0.0
24,999,0.0
24,1000,1.0
25,999,1.0
25,1000,0.0
26,999,1.0
26,1000,0.0
28,147,0.0
28,953,0.6557061311873901
28,1238,1.0
29,147,0.0
29,953,0.6145178378531675
29,1238,1.0
30,466,1.0
30,468,0.0
30,469,0.563081773923477
31,466,1.0
31,468,0.0
31,469,0.589157907853595
32,464,0.0
32,465,1.0
33,460,0.3219162833456426
33,461,0.12454547428794155
33,462,0.1056715954179352
33,468,0.0
33,1339,1.0
34,464,0.0
34,465,0.017936128418491067
34,466,1.0
34,469,0.5788474762071462
35,464,0.0
35,465,0.04940380532475614
35,466,1.0
35,469,0.6424263431972272
36,279,0.0
36,1178,0.0
37,910,0.0
37,911,1.0
37,912,0.9153958322286815
37,914,0.2157572320492313
37,915,0.876718380191024
37,916,0.9173035678324938
38,297,0.17791409208679165
38,321,1.0
38,627,0.010367895891135756
38,910,0.012958852248302892
38,911,0.03356991396978066
38,912,0.032645441842999126
38,914,0.018413472457339024
38,915,0.03197202224985018
38,916,0.03223856139234921
38,933,0.1124134587416956
38,934,0.12279663506477165
38,935,0.0
38,936,0.9297637897793728
38,937,0.8578549796912374
38,938,0.17420586490360612
38,939,0.2109492722102433
38,940,0.09495741043544122
38,1008,0.1657539157309643
39,98,0.6817742916417365
39,99,0.6183272480582949
39,290,0.0015978409880509832
39,291,0.0
39,393,0.9706078504910167
39,496,1.0
39,685,0.9644756578279382
39,686,0.9165606961214053
39,687,0.9356275868936462
39,688,0.9915325740595997
41,1040,0.0
42,43,0.29393044525163753
42,69,0.21195377292318993
42,70,0.07621812543761004
42,71,0.3216334639656158
42,103,0.3540434889946038
42,108,0.0
42,129,1.0
42,162,0.6348263333965086
42,215,0.23954387338677305
42,216,0.40192734678643904
42,227,0.1506549752170762
42,249,0.2830263797629123
42,250,0.2730452412432147
42,251,0.19087146652921982
42,252,0.22603184787274874
42,253,0.18784684777423255
42,429,0.14922368719444035
42,430,0.20372192237110606
42,431,0.20839826667528316
42,498,0.9346371705891339
42,499,0.3816214719476601
42,549,0.1688374112487675
42,551,0.09388256928789446
42,710,0.8045590012572393
42,723,0.46803022211991857
42,726,0.9296998560619645
42,731,0.1523537537151523
42,737,0.17938121093100426
42,752,0.6798573744772407
42,789,0.1370019641993156
42,819,0.18516044362011866
42,821,0.3411129376271562
42,822,0.4485581246656058
42,823,0.4555530403936618
42,837,0.12125986755417907
42,844,0.9330989309684409
42,872,0.30421074122970165
42,887,0.36445950152224615
42,960,0.5756462710855658
42,961,0.4699360740713493
42,962,0.41113400287305363
42,966,0.9551423907564628
42,967,0.9796476987151788
42,968,0.9650104813729385
42,969,0.9725489418359565
42,1054,0.11524911370989467
42,1092,0.22776864741824576
42,1259,0.9406245533661505
42,1260,0.4459528895402946
42,1340,0.2705419646678884
42,1341,0.275436964440714
43,369,1.0
43,789,0.0
43,1121,0.2408933093806968
43,1122,0.2164258876065914
43,1123,0.1328874820616853
43,1348,0.9943118635899556
44,43,0.29307287730227605
44,69,0.22421404711989124
44,70,0.07990317242115283
44,71,0.3330699768279963
44,103,0.35995369951521566
44,108,0.0
44,129,1.0
44,162,0.6405954221253404
44,215,0.24334405957805344
44,216,0.4060105493263124
44,227,0.16336746587396175
44,249,0.27748047291620886
44,250,0.27157610841974067
44,251,0.19035721657732577
44,252,0.22726718503725207
44,253,0.18798109905734559
44,429,0.15210188558531343
44,430,0.21593862625078855
44,431,0.22062525342553893
44,498,0.9671008793987925
44,499,0.37811416022493977
44,549,0.16940970163659327
44,551,0.09432120435187892
44,710,0.8309436495844315
44,723,0.4736393092979624
44,726,0.9643065053180029
44,731,0.1567775302044031
44,737,0.171858914888722
44,752,0.7022708411529136
44,789,0.14101306221679252
44,819,0.19342047773583002
44,821,0.36561054136431526
44,822,0.49717948624073965
44,823,0.5011963815403584
44,837,0.10287482496439954
44,844,0.9661830183935717
44,872,0.2854030902629287
44,887,0.3699303424789649
44,960,0.5842286666869237
