Actual_From,Actual_To,Weight
14,795,1.0
14,796,0.9543763689294688
14,797,0.8956640109601154
14,1239,0.0
15,795,1.0
15,796,0.9537074697474397
15,797,0.8948038918003748
15,1239,0.0
16,19,0.5233063808024636
16,124,0.2583578552730264
16,731,0.006072874360534198
16,733,0.003963826561944092
16,734,0.004419340899575986
16,735,0.005583556778040905
16,736,0.0
16,737,0.00338547515683757
16,813,1.0
16,1195,0.1947090202778511
16,1196,0.05324830611263564
16,1197,0.045415219471135804
16,1199,0.21518368444450983
16,1201,0.18961119210414767
17,1196,1.0
17,1197,0.0
18,1196,1.0
18,1197,0.0
19,1196,1.0
19,1197,0.0
20,1196,1.0
20,1197,0.0
21,838,0.9288222909675978
21,839,1.0
21,840,0.0
22,999,0.0
22,1000,1.0
23,999,0.0
23,1000,1.0
24,999,1.0
24,1000,0.0
25,999,1.0
25,1000,0.0
26,999,1.0
26,1000,0.0
28,147,0.0
28,953,0.9570410558553624
28,1238,1.0
29,147,0.0
29,953,0.9434546175176365
29,1238,1.0
30,466,1.0
30,468,0.0
30,469,0.14700718587647393
31,466,1.0
31,468,0.0
31,469,0.10529777266336096
32,464,1.0
32,465,0.0
33,460,0.2034772677344502
33,461,0.1793052691626463
33,462,0.1783799711255177
33,468,0.0
33,1339,1.0
34,464,0.0
34,465,0.001392031161459235
34,466,1.0
34,469,0.07124602771356658
35,464,0.0
35,465,0.008286000406435932
35,466,1.0
35,469,0.07689976053745994
36,279,0.0
36,1178,0.0
37,910,0.0
37,911,0.6747895026807954
37,912,0.7344334155949328
37,914,1.0
37,915,0.4629864666247388
37,916,0.5647775855920245
38,297,0.1378257732719198
38,321,1.0
38,627,0.0001333024192886765
38,910,0.0001739262110477815
38,911,0.00041921963923992426
38,912,0.0002634194760278988
38,914,0.0
38,915,0.0003781861199037554
38,916,0.00029521346676813
38,933,0.008489966690165388
38,934,0.0061189388659516
38,935,0.0048276818752625026
38,936,0.3446188311338766
38,937,0.33492060594409645
38,938,0.07659449910863887
38,939,0.029738500387750343
38,940,0.03099270258615501
38,1008,0.11246758370979389
39,98,0.8475889196163281
39,99,0.8471261686637405
39,290,0.0
39,291,0.0028522232250155193
39,393,0.2838388371889015
39,496,1.0
39,685,0.4865184210708466
39,686,0.06858109943363445
39,687,0.0880534879923224
39,688,0.958571993772968
41,1040,0.0
42,43,0.28354425583736864
42,69,0.12661090373005135
42,70,0.06191455822454319
42,71,0.2644236224871977
42,103,0.23834481285159242
42,108,0.0
42,129,0.993084002390341
42,162,0.5167430580154392
42,215,0.06878470248453353
42,216,0.2051109860040781
42,227,0.08362218256089257
42,249,0.18840148541425306
42,250,0.20230811167228038
42,251,0.09671874190883473
42,252,0.1307905655736208
42,253,0.09122736320659847
42,429,0.03619905348487876
42,430,0.03854113912753474
42,431,0.0437209771961662
42,498,0.9973249782348773
42,499,0.1675879813711688
42,549,0.07254899636974742
42,551,0.05402145798155209
42,710,0.15156345855866704
42,723,0.35185436710684487
42,726,0.9969884081049283
42,731,0.026587023562766047
