Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9774182233077298,4,10
14,796,0.9629250824929082,4,10
14,797,0.9452826956326215,4,10
14,1239,0.0,4,15
15,795,0.9808171570065966,4,10
15,796,0.9444781584046463,4,10
15,797,0.90528960495286,4,10
15,1239,0.0,4,15
16,19,0.6606919216282797,14,4
16,124,0.2662373253042376,14,8
16,731,0.029839724049712812,14,38
16,733,0.0295653826190988,14,39
16,734,0.036660120896401985,14,39
16,735,0.03918409524388342,14,39
16,736,0.0021829638828575536,14,39
16,737,0.018476412923974863,14,38
16,813,1.0,14,2
16,1195,0.338127360423657,14,8
16,1196,0.16929361467440546,14,21
16,1197,0.1656334319507165,14,23
16,1199,0.37619772753988834,14,8
16,1201,0.36214183564656616,14,9
17,1196,1.0,2,21
17,1197,0.0,2,23
18,1196,1.0,2,21
18,1197,0.0,2,23
19,1196,0.8,2,21
19,1197,0.2,2,23
20,1196,1.0,2,21
20,1197,0.0,2,23
21,838,0.519173560745832,3,19
21,839,0.6080779341883925,3,19
21,840,0.20806888478365373,3,19
22,999,0.4,2,5
22,1000,0.6,2,5
23,999,0.2,2,5
23,1000,0.8,2,5
24,999,0.8,2,5
24,1000,0.2,2,5
25,999,0.8,2,5
25,1000,0.2,2,5
26,999,0.4,2,5
26,1000,0.6,2,5
28,147,0.0,3,7
28,953,0.8686654224551009,3,5
28,1238,0.9039210295876714,3,5
29,147,0.0,3,7
29,953,0.8889477746602088,3,5
29,1238,0.9119463041569172,3,5
30,466,1.0,3,7
30,468,0.0,3,40
30,469,0.3610713030403502,3,24
31,466,1.0,3,7
31,468,0.0,3,40
31,469,0.3326870885174335,3,24
32,464,0.4,2,32
32,465,0.6,2,32
33,460,0.26496212671809566,5,14
33,461,0.1712586725549093,5,15
33,462,0.1569304199535067,5,15
33,468,0.0,5,40
33,1339,1.0,5,4
34,464,0.003674842592891351,4,32
34,465,0.03951021806193976,4,32
34,466,1.0,4,7
34,469,0.30982159529947284,4,24
35,464,0.008278867645090808,4,32
35,465,0.01568145627144623,4,32
35,466,1.0,4,7
35,469,0.3296682783853774,4,24
36,279,0.0,2,1
36,1178,0.0,2,1
37,910,0.4,6,58
37,911,0.6452373373249543,6,58
37,912,0.5797681396540872,6,58
37,914,0.287977573732224,6,58
37,915,0.6290234858895732,6,58
37,916,0.5612395491643526,6,58
38,297,0.18336209223237424,18,7
38,321,1.0,18,1
38,627,0.021757573146587675,18,64
38,910,0.014785017322146871,18,58
38,911,0.03035240946549967,18,58
38,912,0.028312559284295546,18,58
38,914,0.01844326448506946,18,58
38,915,0.02959651666961415,18,58
38,916,0.027551527821910428,18,58
38,933,0.0745265601688649,18,43
38,934,0.07903293694483068,18,43
38,935,0.047324687361329235,18,43
38,936,0.621928181380347,18,3
38,937,0.595439985734458,18,3
38,938,0.1365713928030231,18,11
38,939,0.1487478051869204,18,26
38,940,0.06268908717518629,18,25
38,1008,0.18043187954619394,18,7
39,98,0.901123177870659,10,2
39,99,0.9055836422292026,10,2
39,290,0.005336441707003368,10,25
39,291,0.00535080420433179,10,25
39,393,0.5117956357615714,10,6
39,496,0.9541195937614889,10,2
39,685,0.6318997339117987,10,4
39,686,0.31737105608364774,10,16
39,687,0.36658838734949106,10,14
39,688,0.927800518409928,10,2
41,1040,0.0,1,10
42,43,0.31341534758925793,51,9
42,69,0.2606984807168811,51,15
42,70,0.08060730609851262,51,26
42,71,0.3639816629672888,51,9
42,103,0.4107270734655879,51,11
42,108,0.0032803930259262815,51,55
42,129,0.9761398350185069,51,3
42,162,0.5980701067191536,51,5
42,215,0.2349850742560436,51,20
42,216,0.3745316591449105,51,10
42,227,0.12886877403229213,51,19
42,249,0.25781637432382615,51,13
42,250,0.2595729657235061,51,12
42,251,0.13779931940087137,51,20
42,252,0.16942692747601146,51,16
42,253,0.12971058979750788,51,21
42,429,0.0643087620443062,51,32
42,430,0.09671154234028509,51,36
42,431,0.10066622115856358,51,30
42,498,0.9907495985971607,51,3
42,499,0.27538624156361974,51,14
42,549,0.0993190307101129,51,26
42,551,0.05441092247456915,51,28
42,710,0.2815609766859578,51,15
42,723,0.43442790030680534,51,8
42,726,0.9897190840197411,51,3
42,731,0.07013531720359022,51,38
42,737,0.056658940150162415,51,38
42,752,0.4528064520960071,51,7
42,789,0.08955599786927468,51,24
42,819,0.11568427324934258,51,36
42,821,0.277125719315523,51,14
42,822,0.4468646017909229,51,8
42,823,0.4481049755057967,51,8
42,837,0.07884797904890774,51,21
42,844,0.8679300495144618,51,4
42,872,0.3150103926529285,51,8
42,887,0.37393441572965624,51,8
42,960,0.6654667288410815,51,5
42,961,0.5706231707973722,51,6
