Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9740523371263207,4,10
14,796,0.9693953464826052,4,10
14,797,0.9717736018832351,4,10
14,1239,0.0,4,15
15,795,0.9756601345314483,4,10
15,796,0.9735306972924469,4,10
15,797,0.9743962946963045,4,10
15,1239,0.0,4,15
16,19,0.7188860954758111,14,4
16,124,0.21177292712999388,14,8
16,731,0.0012696906752767997,14,38
16,733,0.05331874508242107,14,39
16,734,0.0537208913338737,14,39
16,735,0.051066065015199315,14,39
16,736,0.0445851354039168,14,39
16,737,0.015343082183371312,14,38
16,813,1.0,14,2
16,1195,0.5450202202199635,14,8
16,1196,0.1769703835853087,14,21
16,1197,0.17596452214850591,14,23
16,1199,0.546535779029368,14,8
16,1201,0.537350350632688,14,9
17,1196,1.0,2,21
17,1197,0.0,2,23
18,1196,0.4,2,21
18,1197,0.6,2,23
19,1196,0.4,2,21
19,1197,0.6,2,23
20,1196,0.4,2,21
20,1197,0.6,2,23
21,838,0.919402384066825,3,19
21,839,0.2,3,19
21,840,0.7332027786148536,3,19
22,999,0.6,2,5
22,1000,0.4,2,5
23,999,0.6,2,5
23,1000,0.4,2,5
24,999,0.4,2,5
24,1000,0.6,2,5
25,999,0.6,2,5
25,1000,0.4,2,5
26,999,0.8,2,5
26,1000,0.2,2,5
28,147,0.0,3,7
28,953,0.8094591263994074,3,5
28,1238,0.9761399963948509,3,5
29,147,0.0,3,7
29,953,0.873187659313221,3,5
29,1238,0.9496334264304072,3,5
30,466,1.0,3,7
30,468,0.0,3,40
30,469,0.4761914814940516,3,24
31,466,1.0,3,7
31,468,0.0,3,40
31,469,0.47472531212256985,3,24
32,464,0.2,2,32
32,465,0.8,2,32
33,460,0.3633922795589757,5,14
33,461,0.16692315068885905,5,15
33,462,0.16544724311882492,5,15
33,468,0.0,5,40
33,1339,1.0,5,4
34,464,0.0016393623502317894,4,32
34,465,0.04686921338934742,4,32
34,466,1.0,4,7
34,469,0.4388373912892739,4,24
35,464,0.0016714648950075478,4,32
35,465,0.0222259991606659,4,32
35,466,1.0,4,7
35,469,0.4631037011690691,4,24
36,279,0.0,2,1
36,1178,0.0,2,1
37,910,0.06881832185435255,6,58
