Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9697034291202735,4,10
14,796,0.971125806391683,4,10
14,797,0.9704482688692684,4,10
14,1239,0.0,4,15
15,795,0.9710785749271271,4,10
15,796,0.9663626274112809,4,10
15,797,0.9577667464563864,4,10
15,1239,0.0,4,15
16,19,0.6493483713494963,14,4
16,124,0.24533255485232983,14,8
16,731,0.013104772910888967,14,38
16,733,0.029135298012116836,14,39
16,734,0.03203592092376767,14,39
16,735,0.030547204737781965,14,39
16,736,0.018144520539855134,14,39
16,737,0.0134285047647355,14,38
16,813,1.0,14,2
16,1195,0.3867240392829508,14,8
16,1196,0.13932473796629988,14,21
16,1197,0.13433374849710675,14,23
16,1199,0.3916552289737452,14,8
16,1201,0.37484040357435267,14,9
17,1196,1.0,2,21
17,1197,0.0,2,23
18,1196,0.7999999999999999,2,21
18,1197,0.19999999999999998,2,23
19,1196,0.7333333333333334,2,21
19,1197,0.26666666666666666,2,23
20,1196,0.7999999999999999,2,21
20,1197,0.19999999999999998,2,23
21,838,0.6274120211856298,3,19
21,839,0.4358697713926152,3,19
21,840,0.5445292903107385,3,19
22,999,0.39999999999999997,2,5
22,1000,0.6,2,5
23,999,0.5333333333333333,2,5
23,1000,0.46666666666666673,2,5
24,999,0.46666666666666673,2,5
24,1000,0.5333333333333333,2,5
25,999,0.7333333333333334,2,5
25,1000,0.26666666666666666,2,5
26,999,0.6666666666666666,2,5
26,1000,0.3333333333333333,2,5
28,147,0.0,3,7
28,953,0.8165289666597036,3,5
28,1238,0.9600203419941741,3,5
29,147,0.0,3,7
29,953,0.836736211659214,3,5
29,1238,0.9538599101957748,3,5
30,466,1.0,3,7
30,468,0.0,3,40
30,469,0.33544265761495934,3,24
31,466,1.0,3,7
31,468,0.0,3,40
31,469,0.3300364001398694,3,24
32,464,0.4000000000000001,2,32
32,465,0.6,2,32
33,460,0.2832471026785515,5,14
33,461,0.1683362459409239,5,15
33,462,0.16617722487330955,5,15
33,468,0.0,5,40
33,1339,1.0,5,4
34,464,0.004126574236368933,4,32
34,465,0.030263508445187732,4,32
34,466,1.0,4,7
34,469,0.29578488263636293,4,24
35,464,0.0036915208473801333,4,32
35,465,0.014301035120235667,4,32
35,466,1.0,4,7
35,469,0.3134450464411388,4,24
36,279,0.0,2,1
36,1178,0.0,2,1
37,910,0.4229394406181175,6,58
37,911,0.5769622123450616,6,58
37,912,0.5596011251978623,6,58
37,914,0.3226667173591107,6,58
37,915,0.5524645686903237,6,58
37,916,0.587885888422112,6,58
38,297,0.17650358643901307,18,7
38,321,1.0,18,1
38,627,0.0093515998861195,18,64
38,910,0.010342593084455133,18,58
38,911,0.019761897345692035,18,58
