Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9697034291202736,4,10
14,796,0.971125806391683,4,10
14,797,0.9704482688692684,4,10
15,795,0.9710785749271272,4,10
15,796,0.9663626274112808,4,10
15,797,0.9577667464563864,4,10
16,813,1.0,14,2
17,1196,1.0,2,21
28,953,0.8165289666597036,3,5
28,1238,0.960020341994174,3,5
29,953,0.836736211659214,3,5
29,1238,0.9538599101957748,3,5
30,466,1.0,3,7
31,466,1.0,3,7
33,1339,1.0,5,4
34,466,1.0,4,7
35,466,1.0,4,7
38,321,1.0,18,1
39,98,0.879452450849028,10,2
39,99,0.8805666724208501,10,2
39,496,0.9762670805726557,10,2
39,688,0.9699056885571056,10,2
42,129,0.9819508777256248,51,3
42,498,0.9842082742327812,51,3
42,726,0.9825735587693312,51,3
42,844,0.8671778927170682,51,4
42,966,0.9860229246309324,51,3
42,967,0.9849593906469316,51,3
42,968,0.9954524688410276,51,3
42,969,0.9796740169964336,51,3
42,1259,0.98364513460195,51,3
43,1348,0.9996464161745808,6,3
44,129,0.9885485442137308,51,3
44,498,0.990800814892584,51,3
44,726,0.9923003733024158,51,3
44,844,0.8734042902037794,51,4
44,966,0.9879747695398944,51,3
44,967,0.9861200770491118,51,3
44,968,0.9802072803590756,51,3
44,969,0.9910375942809247,51,3
44,1259,0.9911626667619444,51,3
45,129,0.9937790647146028,51,3
45,498,0.9883832386438836,51,3
45,726,0.9884974093109632,51,3
45,844,0.8698574419331657,51,4
45,966,0.989432652708873,51,3
45,967,0.993039807715034,51,3
45,968,0.9880190692731572,51,3
45,969,0.993145440051962,51,3
45,1259,0.9887052377499844,51,3
49,560,0.918773195969442,4,4
49,562,0.9045822104279226,4,4
49,1312,0.8352740046219481,4,3
50,259,0.8869239898127267,11,17
50,411,0.8392393934366131,11,18
50,420,0.8498474793912641,11,17
50,546,0.837413177621503,11,18
50,641,0.8995666074283251,11,17
51,259,0.893832369500032,11,17
51,411,0.8419537350013999,11,18
51,420,0.8584254211312952,11,17
51,546,0.8388497928592243,11,18
51,641,0.9024613061827088,11,17
54,1183,0.9409263062945928,8,5
55,1183,0.9267658575760652,9,5
56,1021,1.0,7,2
64,1101,0.8940794901978236,7,16
65,359,0.8594649798317379,34,4
65,376,0.8688081905729209,34,4
65,377,0.8748195591259421,34,4
65,378,0.8612004285554337,34,4
65,454,0.8563171846614054,34,4
65,519,0.878277245152472,34,4
65,666,0.8635877938540245,34,4
65,667,0.8530903869930918,34,4
65,883,0.8776657827534899,34,4
65,890,0.875886630845585,34,4
65,891,0.872484286847377,34,4
65,892,0.8519347571268593,34,4
65,896,0.868790538455204,34,4
65,1274,0.8766541358328489,34,4
65,1276,0.8740855128856432,34,4
65,1293,0.86516043340231,34,4
66,67,0.902973527827726,20,3
66,483,0.8640793219428562,20,2
67,483,1.0,19,2
68,1137,1.0,2,1
69,1174,0.9459187805546314,16,10
70,1174,1.0,11,10
71,751,0.925033259896396,4,15
