Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9452148254976063,4,10
14,796,0.9486651045739339,4,10
14,797,0.9531336469176749,4,10
14,1239,0.0,4,15
15,795,0.9800435268062471,4,10
15,796,0.9517580524596324,4,10
15,797,0.9225740847834876,4,10
15,1239,0.0,4,15
16,19,0.6649466923518379,14,4
16,124,0.2689848868296484,14,8
16,731,0.026326006767199345,14,38
16,733,0.028692299038755125,14,39
16,734,0.03481875818025754,14,39
16,735,0.03730578844944204,14,39
16,736,0.0029623304176955327,14,39
16,737,0.016228255711322873,14,38
16,813,1.0,14,2
16,1195,0.3329509811073986,14,8
16,1196,0.16751590404142108,14,21
16,1197,0.1646539556450765,14,23
16,1199,0.36902883493480254,14,8
16,1201,0.3537332622169628,14,9
17,1196,1.0,2,21
17,1197,0.0,2,23
18,1196,1.0,2,21
18,1197,0.0,2,23
19,1196,0.8,2,21
19,1197,0.2,2,23
20,1196,1.0,2,21
20,1197,0.0,2,23
21,838,0.5355477932995124,3,19
21,839,0.6137319874779165,3,19
21,840,0.20820003210522176,3,19
22,999,0.8,2,5
22,1000,0.2,2,5
23,999,0.6,2,5
23,1000,0.4,2,5
24,999,0.4,2,5
24,1000,0.6,2,5
25,999,0.4,2,5
25,1000,0.6,2,5
26,999,0.6,2,5
26,1000,0.4,2,5
28,147,0.0,3,7
28,953,0.9017229591265054,3,5
28,1238,0.9049048208664445,3,5
29,147,0.0,3,7
29,953,0.8831013385851181,3,5
29,1238,0.8989466311423234,3,5
30,466,1.0,3,7
30,468,0.0,3,40
30,469,0.35032328616634917,3,24
31,466,1.0,3,7
31,468,0.0,3,40
31,469,0.3157602756874188,3,24
32,464,0.4,2,32
32,465,0.6,2,32
33,460,0.2644251983099268,5,14
33,461,0.16706566772487327,5,15
33,462,0.15283077751250432,5,15
33,468,0.0,5,40
33,1339,1.0,5,4
34,464,0.002979405207192147,4,32
34,465,0.03535309237349859,4,32
34,466,1.0,4,7
34,469,0.3026539034310832,4,24
35,464,0.008372918540755886,4,32
35,465,0.02288639693800408,4,32
35,466,1.0,4,7
35,469,0.32586894723486093,4,24
36,279,0.0,2,1
36,1178,0.0,2,1
37,910,0.4,6,58
37,911,0.646992987585438,6,58
37,912,0.581125132338832,6,58
37,914,0.2871769031303609,6,58
37,915,0.6296013217085659,6,58
37,916,0.5580458448657406,6,58
38,297,0.1795429870830178,18,7
38,321,1.0,18,1
38,627,0.021515426056285196,18,64
38,910,0.01797324352213618,18,58
38,911,0.028596276929830595,18,58
38,912,0.027434506889511056,18,58
38,914,0.01986352762248848,18,58
38,915,0.028719501130444754,18,58
38,916,0.027219421325136432,18,58
38,933,0.060500600379121604,18,43
38,934,0.06538803837508882,18,43
38,935,0.051282170369293424,18,43
38,936,0.6182031919158497,18,3
38,937,0.59276169447177,18,3
38,938,0.13208912309120519,18,11
38,939,0.12598043328524539,18,26
38,940,0.06950628160651419,18,25
38,1008,0.18167950684505613,18,7
39,98,0.8808727935175948,10,2
39,99,0.9013197798783411,10,2
39,290,0.007113277511122176,10,25
39,291,0.005821345751094088,10,25
39,393,0.5136098548506316,10,6
39,496,0.9480027698775825,10,2
39,685,0.6330820411762864,10,4
39,686,0.32480434842071887,10,16
39,687,0.37309275862258484,10,14
39,688,0.92235512882212,10,2
41,1040,0.0,1,10
42,43,0.3177056843569338,51,9
42,69,0.25980439485283,51,15
42,70,0.08132319362186906,51,26
42,71,0.3653880451537447,51,9
42,103,0.40094228357293005,51,11
42,108,0.0010031810647869357,51,55
42,129,0.9766332635643977,51,3
42,162,0.5963012132657353,51,5
42,215,0.2330894243553654,51,20
42,216,0.37020194716515253,51,10
42,227,0.12887029202012437,51,19
42,249,0.2532711819208121,51,13
42,250,0.2589229947327036,51,12
42,251,0.13989488109038312,51,20
42,252,0.172988706239652,51,16
42,253,0.1307814348173993,51,21
