Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9585577337045583,4,10
14,796,0.9676395690395155,4,10
14,797,0.9737957192338546,4,10
14,1239,0.0,4,15
15,795,0.9686734031496771,4,10
15,796,0.9647265491400724,4,10
15,797,0.9616038203541025,4,10
15,1239,0.0,4,15
16,19,0.6689425891908597,14,4
16,124,0.25255398576465365,14,8
16,731,0.011708227585065798,14,38
16,733,0.030779306980063967,14,39
16,734,0.033444356669766064,14,39
16,735,0.0321287069031191,14,39
16,736,0.020190505948847935,14,39
16,737,0.012991449864450633,14,38
16,813,1.0,14,2
16,1195,0.38879731253208116,14,8
16,1196,0.14940470523385,14,21
16,1197,0.14475568370485994,14,23
16,1199,0.3941867221785072,14,8
16,1201,0.37708337244808354,14,9
17,1196,0.9333333333333332,2,21
17,1197,0.06666666666666667,2,23
18,1196,0.8666666666666667,2,21
18,1197,0.13333333333333333,2,23
19,1196,0.8666666666666667,2,21
19,1197,0.13333333333333333,2,23
20,1196,0.8666666666666667,2,21
20,1197,0.13333333333333333,2,23
21,838,0.6575881744375668,3,19
21,839,0.42611000192375714,3,19
21,840,0.5268538553545845,3,19
22,999,0.3333333333333333,2,5
22,1000,0.6666666666666666,2,5
23,999,0.6666666666666666,2,5
23,1000,0.3333333333333333,2,5
24,999,0.4666666666666666,2,5
24,1000,0.5333333333333333,2,5
25,999,0.7333333333333334,2,5
25,1000,0.26666666666666666,2,5
26,999,0.6,2,5
26,1000,0.39999999999999997,2,5
28,147,0.0,3,7
28,953,0.8639177596227215,3,5
28,1238,0.9417637315864807,3,5
29,147,0.0,3,7
29,953,0.8105408776895772,3,5
29,1238,0.9512563742947275,3,5
30,466,1.0,3,7
30,468,0.0,3,40
30,469,0.32372471386504853,3,24
31,466,1.0,3,7
31,468,0.0,3,40
31,469,0.32825045444679574,3,24
32,464,0.6666666666666666,2,32
32,465,0.3333333333333333,2,32
33,460,0.27895948669758786,5,14
33,461,0.16179854835507135,5,15
33,462,0.1598741956206814,5,15
33,468,0.0,5,40
33,1339,1.0,5,4
34,464,0.0037273796518509004,4,32
34,465,0.025019784245372132,4,32
34,466,1.0,4,7
34,469,0.2971528229024344,4,24
35,464,0.0037330011977373,4,32
35,465,0.015226969610815133,4,32
35,466,1.0,4,7
35,469,0.29899619222006807,4,24
36,279,0.0,2,1
36,1178,0.0,2,1
37,910,0.41459170030107045,6,58
37,911,0.5824693481779499,6,58
37,912,0.5531447712047689,6,58
37,914,0.31157925741014175,6,58
37,915,0.5483502558422183,6,58
37,916,0.5943067171723625,6,58
38,297,0.18076256569278745,18,7
38,321,1.0,18,1
38,627,0.008984557470671567,18,64
38,910,0.012335083339527333,18,58
38,911,0.019437743176066,18,58
38,912,0.018537337739101635,18,58
38,914,0.011226947800724666,18,58
38,915,0.018776076585555832,18,58
38,916,0.019516628018000432,18,58
38,933,0.05632515914531094,18,43
38,934,0.06157137580416377,18,43
38,935,0.07920167919497317,18,43
38,936,0.5944417837499423,18,3
38,937,0.5918551589890724,18,3
38,938,0.14359439531400484,18,11
38,939,0.1297282663627182,18,26
38,940,0.1083061002647384,18,25
38,1008,0.17211187378181259,18,7
39,98,0.88346414031904,10,2
39,99,0.8682108056408856,10,2
39,290,0.0036183312252705663,10,25
39,291,0.0024635697440971334,10,25
39,393,0.5757492802180398,10,6
39,496,0.9726193003453908,10,2
39,685,0.6842960606656329,10,4
39,686,0.4046287800184807,10,16
39,687,0.43119710782145404,10,14
39,688,0.9665440282357752,10,2
41,1040,0.0,1,10
42,43,0.305159103107147,51,9
42,69,0.24121288307412744,51,15
42,70,0.07403692275671526,51,26
42,71,0.3462455946061764,51,9
42,103,0.38049598271672364,51,11
42,108,0.00040909650721826664,51,55
42,129,0.9872060602919609,51,3
42,162,0.6183820498362144,51,5
42,215,0.22864767907321748,51,20
42,216,0.36953950166654276,51,10
42,227,0.13640778284806115,51,19
42,249,0.262595626098494,51,13
42,250,0.26762191564284216,51,12
42,251,0.14378199482733606,51,20
42,252,0.19393619775396584,51,16
42,253,0.1376071884389494,51,21
42,429,0.07885245831973177,51,32
42,430,0.10363942416750616,51,36
42,431,0.11732819150624174,51,30
42,498,0.9609779258834302,51,3
42,499,0.271332678997293,51,14
42,549,0.10117958092020929,51,26
42,551,0.06391414287992676,51,28
42,710,0.35689435501758765,51,15
42,723,0.4406371529259902,51,8
42,726,0.9579129095343157,51,3
42,731,0.07252401180987576,51,38
42,737,0.06834939629913299,51,38
42,752,0.5230783524298611,51,7
42,789,0.09934535086700051,51,24
42,819,0.13361993321074675,51,36
42,821,0.286068883148418,51,14
42,822,0.4422483176354433,51,8
42,823,0.44296689012508944,51,8
42,837,0.07596906904548917,51,21
42,844,0.843255579586358,51,4
42,872,0.30243913548797813,51,8
42,887,0.3561006140125215,51,8
42,960,0.6760193488247288,51,5
42,961,0.5356400871650121,51,6
42,962,0.4462982352943133,51,7
42,966,0.9673517728916874,51,3
42,967,0.9876134948618206,51,3
42,968,0.9799454731022895,51,3
42,969,0.9803591071482387,51,3
42,1054,0.12197146750120663,51,25
42,1092,0.14071791263373953,51,35
42,1259,0.9629252035652125,51,3
42,1260,0.30501659026953365,51,12
42,1340,0.1933069353593325,51,17
42,1341,0.18245945520256854,51,19
43,369,0.6881597082043439,6,6
43,789,0.0,6,24
43,1121,0.27044295126003676,6,10
43,1122,0.2560999024726996,6,10
43,1123,0.23295448780772254,6,8
43,1348,0.9994640129226071,6,3
44,43,0.303236224294916,51,9
44,69,0.25521324731028244,51,15
44,70,0.08048105030962874,51,26
44,71,0.35249049285359507,51,9
44,103,0.38937882526262246,51,11
44,108,0.00044683481913906665,51,55
44,129,0.9930138186708998,51,3
44,162,0.6178606117968327,51,5
44,215,0.2302438436706716,51,20
44,216,0.3715168448067505,51,10
44,227,0.13849909605196506,51,19
44,249,0.283203120676452,51,13
44,250,0.2858866448028521,51,12
44,251,0.16144460867031385,51,20
44,252,0.21538190847918312,51,16
44,253,0.15735094807375669,51,21
44,429,0.08664664830994323,51,32
44,430,0.11602169572473155,51,36
44,431,0.13296597146649497,51,30
44,498,0.9797908908651882,51,3
44,499,0.29074912673982184,51,14
44,549,0.11273996470979493,51,26
44,551,0.07428991279973303,51,28
44,710,0.37172039484930625,51,15
44,723,0.4572992005638781,51,8
44,726,0.9777436554020791,51,3
44,731,0.07929688502790007,51,38
44,737,0.080747217600895,51,38
44,752,0.5400381971892063,51,7
44,789,0.11409755931727661,51,24
44,819,0.15209941522720047,51,36
44,821,0.3036656815588079,51,14
44,822,0.4652423456280405,51,8
44,823,0.4644282144402359,51,8
44,837,0.08369939036777586,51,21
44,844,0.8625260925356262,51,4
44,872,0.31810385347900066,51,8
44,887,0.37095638730640673,51,8
44,960,0.6831711513176618,51,5
44,961,0.5418602016097828,51,6
44,962,0.4494198591434402,51,7
44,966,0.9855364586262402,51,3
44,967,0.9894283852380878,51,3
44,968,0.992985180430675,51,3
44,969,0.985327802485366,51,3
44,1054,0.1310015890309311,51,25
44,1092,0.1492889912046341,51,35
44,1259,0.9810947122587295,51,3
44,1260,0.32470785349994286,51,12
44,1340,0.20955442679861946,51,17
44,1341,0.19996021582204693,51,19
45,43,0.29479778457609723,51,9
45,69,0.23309711288788973,51,15
45,70,0.07498490364053097,51,26
45,71,0.3369939030978031,51,9
45,103,0.36580520432246805,51,11
45,108,0.0009063028285302667,51,55
45,129,0.9539272921815064,51,3
45,162,0.5883453127854695,51,5
45,215,0.21292950294229607,51,20
45,216,0.3556530995073153,51,10
45,227,0.1310002543805345,51,19
45,249,0.2864269942322848,51,13
45,250,0.2851389784777317,51,12
45,251,0.153315953660468,51,20
45,252,0.20955532896556392,51,16
45,253,0.14852066299696,51,21
45,429,0.08685006036308078,51,32
45,430,0.11771333023410246,51,36
45,431,0.1357546839015585,51,30
45,498,0.9866472960151635,51,3
45,499,0.29413008208514996,51,14
45,549,0.1105455339680329,51,26
45,551,0.0723237031382648,51,28
45,710,0.3737931815418232,51,15
45,723,0.45726478028256917,51,8
45,726,0.9908240567506746,51,3
45,731,0.07619140416355441,51,38
45,737,0.07827885529735461,51,38
45,752,0.5397955894662931,51,7
45,789,0.11991556413124582,51,24
45,819,0.15750399778888496,51,36
45,821,0.3073394745290523,51,14
45,822,0.4775942315869681,51,8
45,823,0.47349758557566535,51,8
45,837,0.08796110208099463,51,21
45,844,0.8688089163436178,51,4
45,872,0.3255457225210751,51,8
45,887,0.3666886368380016,51,8
45,960,0.6695018068784208,51,5
45,961,0.517837283325009,51,6
45,962,0.4287278836609873,51,7
45,966,0.976755329711691,51,3
45,967,0.9564697921648154,51,3
45,968,0.9595916768469966,51,3
45,969,0.9661009065332914,51,3
45,1054,0.1250005825992699,51,25
45,1092,0.14318144785459652,51,35
45,1259,0.983829022680144,51,3
45,1260,0.32564884328531796,51,12
45,1340,0.20908322874788363,51,17
45,1341,0.20120366604494277,51,19
49,560,0.9203844286929458,4,4
49,562,0.9052641041607533,4,4
49,1312,0.8271434103667801,4,3
49,1336,0.0,4,25
50,259,0.901376383672802,11,17
50,381,0.8168766555346982,11,18
50,410,0.8132798634635856,11,18
50,411,0.8418146837025202,11,18
50,419,0.31108833942749453,11,22
50,420,0.870061857640871,11,17
50,422,0.8076658935690344,11,18
50,546,0.8397126341144698,11,18
50,585,0.11444841100536685,11,24
50,641,0.9055058066110098,11,17
50,880,0.40189143515703657,11,25
51,259,0.8865194336026304,11,17
51,381,0.8028085178991814,11,18
51,410,0.7994488455181784,11,18
51,411,0.8400098964129888,11,18
51,419,0.311823411212697,11,22
51,420,0.8509727935600431,11,17
51,422,0.7953911932835204,11,18
51,546,0.8360850015883386,11,18
51,585,0.11778659982364316,11,24
51,641,0.8961418166772012,11,17
51,880,0.401117551078805,11,25
52,162,0.0,1,5
53,390,0.0,6,1
53,893,0.0,6,1
53,894,0.0,6,1
53,1300,0.0,6,1
53,1301,0.0,6,1
53,1353,0.0,6,1
54,100,0.6653888717879121,8,11
54,101,0.44747146156263756,8,12
54,277,0.0016905276958369998,8,21
54,345,0.19983279773845594,8,20
54,346,0.19918135993967914,8,21
54,347,0.1909038897181178,8,22
54,1183,0.9203871776991601,8,5
54,1267,0.25940800182773455,8,17
55,54,0.762370413501478,9,7
55,100,0.6843527207577705,9,11
55,101,0.44044843014173485,9,12
55,277,0.0017965946789327669,9,21
55,345,0.22364627148187657,9,20
55,346,0.2200853139086222,9,21
55,347,0.20726881745781645,9,22
55,1183,0.9166249978231731,9,5
55,1267,0.2816136361512907,9,17
56,57,0.26620399379066834,7,5
56,838,0.0078524400785357,7,19
56,839,0.010384225104194933,7,19
56,840,0.010431311546570466,7,19
56,1019,0.30647488669785955,7,5
56,1020,0.40445457340102314,7,4
56,1021,1.0,7,2
57,838,0.5616224407891485,3,19
57,839,0.4120773389400692,3,19
57,840,0.6043498688457198,3,19
58,707,0.7333333333333334,2,13
58,708,0.26666666666666666,2,13
59,1101,0.0,1,16
60,941,0.3333333333333333,2,10
60,942,0.6666666666666666,2,10
61,941,0.607929471205675,3,10
61,942,0.6223379762372292,3,10
61,1052,0.3333333333333333,3,23
62,1101,0.0,1,16
63,1101,0.0,1,16
64,522,0.24351870157882372,7,58
64,644,0.17362890481014984,7,58
64,786,0.48120714263302267,7,35
64,845,0.28837699487226204,7,58
64,1101,0.9102333057444171,7,16
64,1128,0.19902827213395388,7,36
64,1129,0.1990282717327568,7,36
65,46,0.7268902138847025,34,4
65,47,0.7254090829909202,34,4
65,50,0.7343112320224142,34,4
65,51,0.7135778912999893,34,4
65,108,0.0,34,55
65,215,0.1138011203802148,34,20
65,216,0.21273727116772956,34,10
65,359,0.8584523539953608,34,4
65,376,0.8666914465114767,34,4
65,377,0.87425693502323,34,4
65,378,0.8591013137847491,34,4
65,419,0.1691601923988216,34,22
65,454,0.8569645984646778,34,4
65,513,0.7687730566113377,34,5
65,514,0.7770180661226965,34,5
65,515,0.7705684760692271,34,5
65,516,0.7806077032685327,34,5
65,519,0.8764042589155286,34,4
65,666,0.8625812889411152,34,4
65,667,0.8538617307549536,34,4
65,699,0.6602244867850701,34,7
65,837,0.05369109922124903,34,21
65,883,0.8767868666532417,34,4
65,888,0.2639415003917336,34,9
65,890,0.874377785431142,34,4
65,891,0.8712370784306263,34,4
65,892,0.8496488797481535,34,4
65,896,0.8673069240322563,34,4
65,1154,0.3688903380340615,34,11
65,1190,0.26371155181957695,34,9
65,1274,0.8754741287873841,34,4
65,1276,0.8727127593589074,34,4
65,1293,0.8636588226566465,34,4
65,1360,0.14864247064774852,34,17
66,67,0.8935344807303736,20,3
66,179,0.0217152860215304,20,24
66,180,0.019064020054018704,20,24
66,181,0.025060717304136133,20,24
66,182,0.0199714296477573,20,24
66,183,0.020216355417833603,20,24
66,184,0.020352294234046334,20,24
66,185,0.0291611369846054,20,24
66,186,0.022649433212861433,20,24
66,187,0.020063286797412334,20,24
66,188,0.01983401299270453,20,24
66,284,0.07759929933424688,20,24
66,290,0.05699262176337037,20,25
66,291,0.05503094923806117,20,25
66,292,0.08063211959349124,20,24
66,293,0.082698704111495,20,24
66,294,0.07823235912189773,20,24
66,295,0.07567512123789814,20,24
66,459,0.2506820119852021,20,11
66,483,0.864915250153163,20,2
67,179,0.018945998961058766,19,24
67,180,0.0248829925418978,19,24
67,181,0.023668112572457902,19,24
67,182,0.0223141869570186,19,24
67,183,0.02654090902236317,19,24
67,184,0.025232884901172398,19,24
67,185,0.024407004304726265,19,24
67,186,0.027749019246514062,19,24
67,187,0.02132327096714483,19,24
67,188,0.019402420041093434,19,24
67,284,0.06175689554579423,19,24
67,290,0.03785686215265233,19,25
67,291,0.036220658789402164,19,25
67,292,0.0649257174794276,19,24
67,293,0.06466618102172933,19,24
67,294,0.0628366857912277,19,24
67,295,0.061202219768510695,19,24
67,459,0.26496166576678215,19,11
67,483,1.0,19,2
68,1137,1.0,2,1
68,1138,0.0,2,2
69,70,0.14137840464769888,16,26
69,108,0.0,16,55
69,246,0.5442746441539702,16,16
69,247,0.5434376807205449,16,16
69,251,0.24777300935211766,16,20
69,252,0.3422113270768861,16,16
69,253,0.23320483924324922,16,21
69,254,0.8002859741753298,16,8
69,257,0.2668773126332655,16,21
69,379,0.6413883949580081,16,11
69,444,0.3446343714682926,16,19
69,751,0.5721795137324601,16,15
69,868,0.3040730227447416,16,21
69,1174,0.9462068108462757,16,10
69,1360,0.41402605992317865,16,17
69,1361,0.5809773404928287,16,13
70,108,0.0,11,55
70,246,0.5884840599484075,11,16
70,247,0.5803819223815004,11,16
70,251,0.2777679644880098,11,20
70,253,0.2606456273486045,11,21
70,444,0.395976369715253,11,19
70,751,0.6166588818911155,11,15
70,868,0.34834618440523313,11,21
70,1174,1.0,11,10
70,1360,0.45804761269457206,11,17
70,1361,0.6429780670703847,11,13
71,108,0.0,4,55
71,751,0.9275427589728564,4,15
71,1360,0.674971224078477,4,17
71,1361,0.9351332492011194,4,13
72,74,0.9658282166647146,5,3
72,447,0.013159603566312768,5,7
72,448,0.012000940823926533,5,7
72,449,0.009522877187442633,5,7
72,749,0.43038635709431877,5,7
73,72,0.3514485459427228,5,6
73,74,1.0,5,3
73,447,0.0146361787451239,5,7
73,448,0.012468635572226402,5,7
73,449,0.013353285975218634,5,7
74,72,0.8025908573179935,5,6
74,447,0.09477583394539424,5,7
74,448,0.048111604865787694,5,7
74,449,0.04445893250577787,5,7
74,749,0.770114232767597,5,7
75,225,1.0,2,1
75,1324,0.0,2,17
85,655,0.9117428803541677,5,11
85,656,0.8064589549098624,5,11
85,657,0.046796222449139065,5,13
85,658,0.7542773905285127,5,11
85,659,0.7543807072939543,5,11
86,655,0.6152708515513424,5,11
86,656,0.9391752378028949,5,11
86,657,0.13679434368233082,5,13
86,658,0.937465322940659,5,11
86,659,0.8730859566315328,5,11
87,655,0.9077840852454488,5,11
87,656,0.7327736735357752,5,11
87,657,0.08387484067875388,5,13
87,658,0.7417524195559505,5,11
87,659,0.8379739084222498,5,11
88,655,0.6701493528183993,5,11
88,656,0.8423984914171257,5,11
88,657,0.09033636788664967,5,13
88,658,0.848552206957451,5,11
88,659,0.82693815496664,5,11
89,655,0.9742824816338592,5,11
89,656,0.6636812057262643,5,11
89,657,0.132018664263129,5,13
89,658,0.6688293603885965,5,11
89,659,0.6823281079276328,5,11
90,655,0.8517076639496466,5,11
90,656,0.7346338839737401,5,11
90,657,0.12770646244371944,5,13
90,658,0.7387384230722133,5,11
90,659,0.7817248590378609,5,11
91,655,0.7766217835340306,5,11
91,656,0.8078206115355843,5,11
91,657,0.2011160685034281,5,13
91,658,0.8810437758103324,5,11
91,659,0.8087791354944794,5,11
92,655,0.779081532948818,5,11
92,656,0.8252630541516578,5,11
92,657,0.1594615814439361,5,13
92,658,0.8353868804478605,5,11
92,659,0.8327254782867616,5,11
93,655,0.7406524364753206,5,11
93,656,0.9061587922124398,5,11
93,657,0.10437833098565696,5,13
93,658,0.8485030278595861,5,11
93,659,0.7520543536607714,5,11
