Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9585577337045584,4,10
14,796,0.9676395690395156,4,10
14,797,0.9737957192338546,4,10
15,795,0.9686734031496772,4,10
15,796,0.9647265491400724,4,10
15,797,0.9616038203541024,4,10
16,813,1.0,14,2
17,1196,0.9333333333333332,2,21
18,1196,0.8666666666666667,2,21
19,1196,0.8666666666666667,2,21
20,1196,0.8666666666666667,2,21
28,953,0.8639177596227215,3,5
28,1238,0.9417637315864807,3,5
29,953,0.8105408776895772,3,5
29,1238,0.9512563742947276,3,5
30,466,1.0,3,7
31,466,1.0,3,7
33,1339,1.0,5,4
34,466,1.0,4,7
35,466,1.0,4,7
38,321,1.0,18,1
39,98,0.88346414031904,10,2
39,99,0.8682108056408856,10,2
39,496,0.9726193003453908,10,2
39,688,0.9665440282357752,10,2
42,129,0.9872060602919608,51,3
42,498,0.9609779258834302,51,3
42,726,0.9579129095343156,51,3
42,844,0.843255579586358,51,4
42,966,0.9673517728916874,51,3
42,967,0.9876134948618206,51,3
42,968,0.9799454731022896,51,3
42,969,0.9803591071482388,51,3
42,1259,0.9629252035652124,51,3
43,1348,0.9994640129226072,6,3
44,129,0.9930138186708998,51,3
44,498,0.9797908908651882,51,3
44,726,0.9777436554020792,51,3
44,844,0.8625260925356262,51,4
44,966,0.9855364586262402,51,3
44,967,0.9894283852380878,51,3
44,968,0.992985180430675,51,3
44,969,0.985327802485366,51,3
44,1259,0.9810947122587296,51,3
45,129,0.9539272921815064,51,3
45,498,0.9866472960151637,51,3
45,726,0.9908240567506746,51,3
45,844,0.8688089163436178,51,4
45,966,0.976755329711691,51,3
45,967,0.9564697921648154,51,3
45,968,0.9595916768469966,51,3
45,969,0.9661009065332914,51,3
45,1259,0.983829022680144,51,3
49,560,0.9203844286929458,4,4
49,562,0.9052641041607532,4,4
49,1312,0.8271434103667801,4,3
50,259,0.901376383672802,11,17
50,381,0.8168766555346982,11,18
50,410,0.8132798634635856,11,18
50,411,0.8418146837025202,11,18
50,420,0.870061857640871,11,17
50,546,0.8397126341144698,11,18
50,641,0.9055058066110098,11,17
51,259,0.8865194336026304,11,17
51,411,0.8400098964129888,11,18
51,420,0.8509727935600431,11,17
51,546,0.8360850015883386,11,18
51,641,0.8961418166772012,11,17
54,1183,0.92038717769916,8,5
55,1183,0.9166249978231732,9,5
56,1021,1.0,7,2
64,1101,0.9102333057444172,7,16
65,359,0.8584523539953608,34,4
65,376,0.8666914465114767,34,4
65,377,0.87425693502323,34,4
65,378,0.8591013137847491,34,4
65,454,0.8569645984646778,34,4
65,519,0.8764042589155286,34,4
65,666,0.8625812889411152,34,4
65,667,0.8538617307549536,34,4
65,883,0.8767868666532417,34,4
65,890,0.874377785431142,34,4
65,891,0.8712370784306263,34,4
65,892,0.8496488797481535,34,4
65,896,0.8673069240322563,34,4
65,1274,0.8754741287873841,34,4
65,1276,0.8727127593589074,34,4
65,1293,0.8636588226566465,34,4
66,67,0.8935344807303736,20,3
66,483,0.864915250153163,20,2
67,483,1.0,19,2
68,1137,1.0,2,1
69,1174,0.9462068108462756,16,10
70,1174,1.0,11,10
71,751,0.9275427589728564,4,15
