Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9669755674575853,4,10
14,796,0.9614337133291248,4,10
14,797,0.9438177537393567,4,10
14,1239,0.0,4,15
15,795,0.9534372037097365,4,10
15,796,0.9504644738043707,4,10
15,797,0.9524686366278552,4,10
15,1239,0.0,4,15
16,19,0.6848867329972309,14,4
16,124,0.2766154516677297,14,8
16,731,0.03601235129880833,14,38
16,733,0.03411336573028121,14,39
16,734,0.042325386325907204,14,39
16,735,0.04432877443265045,14,39
16,736,0.005949034781849838,14,39
16,737,0.022613877807194052,14,38
16,813,1.0,14,2
16,1195,0.3492062323751316,14,8
16,1196,0.18654273611622435,14,21
16,1197,0.18286844745574385,14,23
16,1199,0.38940694919700125,14,8
16,1201,0.37596932978778674,14,9
17,1196,1.0,2,21
17,1197,0.0,2,23
18,1196,0.8,2,21
18,1197,0.2,2,23
19,1196,0.8,2,21
19,1197,0.2,2,23
20,1196,1.0,2,21
20,1197,0.0,2,23
21,838,0.49891587398891657,3,19
21,839,0.6368323386435805,3,19
21,840,0.20854611575707613,3,19
22,999,0.4,2,5
22,1000,0.6,2,5
23,999,0.8,2,5
23,1000,0.2,2,5
24,999,0.2,2,5
24,1000,0.8,2,5
25,999,0.4,2,5
25,1000,0.6,2,5
26,999,0.8,2,5
26,1000,0.2,2,5
28,147,0.0,3,7
28,953,0.8714645102997494,3,5
28,1238,0.8728241160501801,3,5
29,147,0.0,3,7
29,953,0.8277473648624728,3,5
29,1238,0.9179596988719249,3,5
30,466,1.0,3,7
30,468,0.0,3,40
30,469,0.33073543389116933,3,24
31,466,1.0,3,7
31,468,0.0,3,40
31,469,0.3023865149556274,3,24
32,464,0.4,2,32
32,465,0.6,2,32
33,460,0.24544125174770884,5,14
33,461,0.15623745915593443,5,15
33,462,0.1451575173376548,5,15
33,468,0.0,5,40
33,1339,1.0,5,4
34,464,0.00399232110394134,4,32
34,465,0.033518648596575676,4,32
34,466,1.0,4,7
34,469,0.31625680512192267,4,24
35,464,0.008418415226024456,4,32
35,465,0.017236282377898864,4,32
35,466,1.0,4,7
35,469,0.33891026613621483,4,24
36,279,0.0,2,1
36,1178,0.0,2,1
37,910,0.4,6,58
37,911,0.6396943883419173,6,58
37,912,0.5757295203227308,6,58
37,914,0.2859649929026461,6,58
37,915,0.6224872609015064,6,58
37,916,0.5492886975987685,6,58
38,297,0.18053857403324125,18,7
38,321,1.0,18,1
38,627,0.022035887257409292,18,64
38,910,0.014224086111900628,18,58
38,911,0.028991031852763333,18,58
38,912,0.027021045821160133,18,58
38,914,0.017887508860399453,18,58
38,915,0.02791112694761292,18,58
38,916,0.026029016617462736,18,58
38,933,0.06871344225973246,18,43
