Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.9685105694483758,4,10
14,796,0.9695742020203602,4,10
14,797,0.9697123371087791,4,10
14,1239,0.0,4,15
15,795,0.964031211426794,4,10
15,796,0.9676162692037439,4,10
15,797,0.972849615446199,4,10
15,1239,0.0,4,15
16,19,0.6751503930440025,14,4
16,124,0.254572547737903,14,8
16,731,0.0154352340399377,14,38
16,733,0.03624318288962553,14,39
16,734,0.0394631199330527,14,39
16,735,0.0377275451676728,14,39
16,736,0.024262368692260533,14,39
16,737,0.016299180741341866,14,38
16,813,1.0,14,2
16,1195,0.40646582331285047,14,8
16,1196,0.15072092803549175,14,21
16,1197,0.14568749802497785,14,23
16,1199,0.4105877417854944,14,8
16,1201,0.3944916921522738,14,9
17,1196,1.0,2,21
17,1197,0.0,2,23
18,1196,0.7333333333333334,2,21
18,1197,0.26666666666666666,2,23
19,1196,0.9333333333333332,2,21
19,1197,0.06666666666666667,2,23
20,1196,0.7999999999999999,2,21
20,1197,0.19999999999999998,2,23
21,838,0.6021515556147568,3,19
21,839,0.44166596489732507,3,19
21,840,0.5466076991530516,3,19
22,999,0.26666666666666666,2,5
22,1000,0.7333333333333334,2,5
23,999,0.7333333333333334,2,5
23,1000,0.26666666666666666,2,5
24,999,0.5333333333333333,2,5
24,1000,0.4666666666666666,2,5
25,999,0.5333333333333333,2,5
25,1000,0.4666666666666666,2,5
26,999,0.4666666666666666,2,5
26,1000,0.5333333333333333,2,5
28,147,0.0,3,7
28,953,0.8270566508852369,3,5
28,1238,0.938448244560528,3,5
29,147,0.0,3,7
29,953,0.7966787439180627,3,5
29,1238,0.9696346375967329,3,5
30,466,1.0,3,7
30,468,0.0,3,40
30,469,0.2864551204382649,3,24
31,466,1.0,3,7
31,468,0.0,3,40
31,469,0.3047412755140725,3,24
32,464,0.3333333333333333,2,32
32,465,0.6666666666666666,2,32
33,460,0.24299730380764548,5,14
33,461,0.14752216093683834,5,15
33,462,0.14684830805838966,5,15
33,468,0.0,5,40
33,1339,1.0,5,4
34,464,0.0038911664598452332,4,32
34,465,0.0331969065150344,4,32
34,466,1.0,4,7
34,469,0.2971011717969199,4,24
35,464,0.0039172305075704005,4,32
35,465,0.016820026499308936,4,32
35,466,1.0,4,7
35,469,0.2984109002455318,4,24
36,279,0.0,2,1
36,1178,0.0,2,1
37,910,0.42544625220016075,6,58
37,911,0.5784008883992421,6,58
37,912,0.5523283781404222,6,58
37,914,0.30874918902613346,6,58
37,915,0.550830776336143,6,58
37,916,0.589132246521599,6,58
38,297,0.1733941089397434,18,7
38,321,1.0,18,1
38,627,0.008897711871732166,18,64
38,910,0.009531733802594101,18,58
38,911,0.0163076736881042,18,58
38,912,0.0153673815073981,18,58
38,914,0.0093594092637952,18,58
38,915,0.015647081116905198,18,58
38,916,0.015807219241257,18,58
38,933,0.05669210538506846,18,43
38,934,0.061389112202100166,18,43
38,935,0.0709766138379049,18,43
38,936,0.5892271658259056,18,3
38,937,0.5870992600349924,18,3
38,938,0.13687573308611237,18,11
38,939,0.12148966734872646,18,26
38,940,0.094105885011736,18,25
38,1008,0.16943879684822158,18,7
39,98,0.8789198611054778,10,2
39,99,0.8730205012275082,10,2
39,290,0.0021360481384096,10,25
39,291,0.0019534263117971917,10,25
39,393,0.5696032088360211,10,6
39,496,0.9761849847847323,10,2
39,685,0.6792745133606918,10,4
39,686,0.3919520180754974,10,16
39,687,0.4189287195680165,10,14
39,688,0.9706137092688017,10,2
41,1040,0.0,1,10
42,43,0.3074586217525877,51,9
42,69,0.24158004100790773,51,15
42,70,0.07371629612517687,51,26
42,71,0.35166393517099376,51,9
42,103,0.39799265856222116,51,11
42,108,0.0004825836324795667,51,55
42,129,0.9782290242709714,51,3
42,162,0.622636354673305,51,5
42,215,0.23865438181339393,51,20
42,216,0.3819795912989965,51,10
42,227,0.13167950375861673,51,19
42,249,0.2883170587151905,51,13
42,250,0.28944991421964533,51,12
42,251,0.1539887141264297,51,20
42,252,0.2097319682991939,51,16
42,253,0.14818901717148322,51,21
42,429,0.09143844705076805,51,32
42,430,0.12300194936451699,51,36
42,431,0.1416327371687551,51,30
42,498,0.9784803092479972,51,3
42,499,0.2985935222386442,51,14
42,549,0.10382913906029344,51,26
42,551,0.06816814533105729,51,28
42,710,0.37557302544138366,51,15
42,723,0.46017976507677355,51,8
42,726,0.9788892648707789,51,3
42,731,0.0736407124608033,51,38
42,737,0.07241811551461713,51,38
42,752,0.5561156283047123,51,7
42,789,0.11834267765858497,51,24
42,819,0.14536470018605332,51,36
42,821,0.3115851673204287,51,14
42,822,0.48050741041321393,51,8
42,823,0.47775726940210633,51,8
42,837,0.0818388200732925,51,21
42,844,0.8616564562626374,51,4
42,872,0.32173598083955407,51,8
42,887,0.3720538174464953,51,8
42,960,0.6881458302816572,51,5
42,961,0.5359710693092818,51,6
42,962,0.44850922655845116,51,7
42,966,0.975495426931444,51,3
42,967,0.9831355527871012,51,3
42,968,0.9762117559991599,51,3
42,969,0.9842494385055617,51,3
42,1054,0.12913828626629598,51,25
42,1092,0.15172703901803133,51,35
42,1259,0.9796853011305346,51,3
42,1260,0.3275719245138926,51,12
42,1340,0.210397341015892,51,17
42,1341,0.20184401932648552,51,19
43,369,0.6876107193345157,6,6
43,789,0.0,6,24
43,1121,0.27843754810234517,6,10
43,1122,0.2618562414331071,6,10
43,1123,0.24056212944606692,6,8
43,1348,0.9998803261592686,6,3
44,43,0.3091829675631956,51,9
44,69,0.24010012102692724,51,15
44,70,0.07778884212885173,51,26
44,71,0.35040519941544646,51,9
44,103,0.3845441114224018,51,11
44,108,0.0012631889997736334,51,55
44,129,0.964169564966578,51,3
44,162,0.612057834758,51,5
44,215,0.2300861598703059,51,20
44,216,0.35782076614000197,51,10
44,227,0.13717238436692522,51,19
44,249,0.30590053069923034,51,13
44,250,0.3017291589058101,51,12
44,251,0.16515087968158335,51,20
44,252,0.22156401633423262,51,16
44,253,0.16110023619136984,51,21
44,429,0.09952982573711927,51,32
44,430,0.13838710598787832,51,36
44,431,0.1587201727785361,51,30
44,498,0.9811139205661256,51,3
44,499,0.3117087252238486,51,14
44,549,0.12952175855584622,51,26
44,551,0.08375258369501908,51,28
44,710,0.38465397537047435,51,15
44,723,0.4612350440918443,51,8
44,726,0.9815075686603495,51,3
44,731,0.08925677722542369,51,38
44,737,0.09670276476187811,51,38
44,752,0.5528943534627149,51,7
44,789,0.13890862718187116,51,24
44,819,0.1637592675484227,51,36
44,821,0.32996757483062483,51,14
44,822,0.5010640393250957,51,8
44,823,0.496434984483665,51,8
44,837,0.0954125566266117,51,21
44,844,0.8686573903421552,51,4
44,872,0.33240219601455273,51,8
44,887,0.3840899220575699,51,8
44,960,0.6766018808416575,51,5
44,961,0.5389564755025407,51,6
44,962,0.44195464296507175,51,7
44,966,0.9814399590471571,51,3
44,967,0.9626677197671674,51,3
44,968,0.981838400093737,51,3
44,969,0.9635841623756863,51,3
44,1054,0.13677587364254862,51,25
44,1092,0.15671757273872503,51,35
44,1259,0.9787741426660407,51,3
44,1260,0.3434537862930926,51,12
44,1340,0.2266429157951111,51,17
44,1341,0.21977463061132876,51,19
45,43,0.3066931427476998,51,9
45,69,0.2418155947736315,51,15
45,70,0.0761509431069029,51,26
45,71,0.35694525340921895,51,9
45,103,0.3931076524357053,51,11
45,108,0.0005873286573089333,51,55
45,129,0.991824478878018,51,3
45,162,0.6178870468691323,51,5
45,215,0.24223050751211964,51,20
45,216,0.37470825594947366,51,10
45,227,0.13685388757007588,51,19
45,249,0.28292590660768363,51,13
45,250,0.2869820709292557,51,12
45,251,0.15392251891668932,51,20
45,252,0.20778965660918203,51,16
45,253,0.1473108199223113,51,21
45,429,0.09199007500758283,51,32
45,430,0.12199191184235851,51,36
45,431,0.1419834727513333,51,30
45,498,0.9711918574168473,51,3
45,499,0.2985320511453653,51,14
45,549,0.10486309403550265,51,26
45,551,0.0719113390377142,51,28
45,710,0.3689810372029055,51,15
45,723,0.44975959963637013,51,8
45,726,0.9704430046919575,51,3
45,731,0.0728145901600919,51,38
45,737,0.07258951394567963,51,38
45,752,0.5584703747693667,51,7
45,789,0.11556269870781292,51,24
45,819,0.15410294069622957,51,36
45,821,0.3077935955903776,51,14
45,822,0.47453057537124194,51,8
45,823,0.4731499000529144,51,8
45,837,0.08185641458020267,51,21
45,844,0.8546867015181102,51,4
45,872,0.31575735001203226,51,8
45,887,0.3662145236446423,51,8
45,960,0.6893408256535078,51,5
45,961,0.5340130661426488,51,6
45,962,0.45226896840715325,51,7
45,966,0.9734000293049476,51,3
45,967,0.9886148657615293,51,3
45,968,0.9722284995281109,51,3
45,969,0.9863012459736984,51,3
45,1054,0.12901456231635677,51,25
45,1092,0.15399400307730482,51,35
45,1259,0.9730169993897416,51,3
45,1260,0.32179397954376415,51,12
45,1340,0.20586036519444795,51,17
45,1341,0.19772571655107887,51,19
49,560,0.9193824158281224,4,4
49,562,0.9064397792600344,4,4
49,1312,0.8134982448997938,4,3
49,1336,0.0,4,25
50,259,0.8943952840576116,11,17
50,381,0.8084516424847145,11,18
50,410,0.8062868188802783,11,18
50,411,0.8408818734119562,11,18
50,419,0.34900628526260685,11,22
50,420,0.8648580296430333,11,17
50,422,0.7999466699892669,11,18
50,546,0.8364999243867492,11,18
50,585,0.11522803670278163,11,24
50,641,0.8984772790137395,11,17
50,880,0.41065423852722055,11,25
51,259,0.888302655447896,11,17
51,381,0.8053050853525222,11,18
51,410,0.7992605483895575,11,18
51,411,0.8478097552832877,11,18
51,419,0.3537108916059426,11,22
51,420,0.8495302929186295,11,17
51,422,0.7981004616247839,11,18
51,546,0.8445408054324579,11,18
51,585,0.12154652136065756,11,24
51,641,0.9018753933279876,11,17
51,880,0.41404704577100543,11,25
52,162,0.0,1,5
53,390,0.0,6,1
53,893,0.0,6,1
53,894,0.0,6,1
53,1300,0.0,6,1
53,1301,0.0,6,1
53,1353,0.0,6,1
54,100,0.6774029371548456,8,11
54,101,0.44253222884022203,8,12
54,277,0.0016630625823749667,8,21
54,345,0.20932535776181127,8,20
54,346,0.20655239189621363,8,21
54,347,0.19690791319556375,8,22
54,1183,0.8636186481232864,8,5
54,1267,0.2700782967912426,8,17
55,54,0.7882569143856207,9,7
55,100,0.6997925128369303,9,11
55,101,0.4734384704677987,9,12
55,277,0.0018992770710047,9,21
55,345,0.21888498797923692,9,20
55,346,0.22067379311270152,9,21
55,347,0.20805399913691913,9,22
55,1183,0.8709756332499636,9,5
55,1267,0.27850436104898557,9,17
56,57,0.26735032747028376,7,5
56,838,0.006201540423413767,7,19
56,839,0.0095829868176099,7,19
56,840,0.0079528879320675,7,19
56,1019,0.30572436710551587,7,5
56,1020,0.39683929590978506,7,4
56,1021,1.0,7,2
57,838,0.6008494591010881,3,19
57,839,0.4009420133410659,3,19
57,840,0.6064184059312782,3,19
58,707,0.7333333333333334,2,13
58,708,0.26666666666666666,2,13
59,1101,0.0,1,16
60,941,0.3333333333333333,2,10
60,942,0.6666666666666666,2,10
61,941,0.6095931507544337,3,10
61,942,0.6219346456841708,3,10
61,1052,0.3333333333333333,3,23
62,1101,0.0,1,16
63,1101,0.0,1,16
64,522,0.23378036020518667,7,58
64,644,0.16944105617160457,7,58
64,786,0.4805146680834651,7,35
64,845,0.27579668993559664,7,58
64,1101,0.917430269839314,7,16
64,1128,0.20695740682637562,7,36
64,1129,0.20695740850139632,7,36
65,46,0.7185473430189496,34,4
65,47,0.7139897041958919,34,4
65,50,0.7231536010719939,34,4
65,51,0.7069990761114031,34,4
65,108,0.0,34,55
65,215,0.10956493180807526,34,20
65,216,0.2040209793619102,34,10
65,359,0.8595813185363514,34,4
65,376,0.8673758491407159,34,4
65,377,0.8737673950537282,34,4
65,378,0.8592683395208779,34,4
65,419,0.15434338327410294,34,22
65,454,0.8567970180604775,34,4
65,513,0.7683267333479483,34,5
65,514,0.7771957978141574,34,5
65,515,0.770347689256997,34,5
65,516,0.7804652745314952,34,5
65,519,0.8781077276076453,34,4
65,666,0.863154433626954,34,4
65,667,0.8541258422438037,34,4
65,699,0.6590104360026524,34,7
65,837,0.0503053175633005,34,21
65,883,0.877477877234527,34,4
65,888,0.2516379840733718,34,9
65,890,0.8749738241809335,34,4
65,891,0.87200842729306,34,4
65,892,0.8484997886967373,34,4
65,896,0.8685036435014899,34,4
65,1154,0.3577650189395521,34,11
65,1190,0.25141494213924215,34,9
65,1274,0.8761965391051002,34,4
65,1276,0.8738192326134087,34,4
65,1293,0.8644767700631132,34,4
65,1360,0.13548564804095595,34,17
66,67,0.892923489270045,20,3
66,179,0.0198657118723496,20,24
66,180,0.027761720407555635,20,24
66,181,0.024099885159062768,20,24
66,182,0.03386374740090626,20,24
66,183,0.029409093618212572,20,24
66,184,0.031776942525603265,20,24
66,185,0.0263383904066027,20,24
66,186,0.0274415806859605,20,24
66,187,0.028931097422827002,20,24
66,188,0.029911900657116436,20,24
66,284,0.0840572613897691,20,24
66,290,0.06536437051491077,20,25
66,291,0.06298401215930333,20,25
66,292,0.0888759565766832,20,24
66,293,0.08974855857703007,20,24
66,294,0.08480406141524814,20,24
66,295,0.08150211022672134,20,24
66,459,0.26026381180961716,20,11
66,483,0.86994531863645,20,2
67,179,0.0163603407427553,19,24
67,180,0.02224399544886413,19,24
67,181,0.01830935381103453,19,24
67,182,0.022161487541010865,19,24
67,183,0.0235632900339717,19,24
67,184,0.018168256319940363,19,24
67,185,0.0257337240074236,19,24
67,186,0.020828587140052267,19,24
67,187,0.021700004738241366,19,24
67,188,0.024083716874695668,19,24
67,284,0.053505914680473395,19,24
67,290,0.0336097238698807,19,25
67,291,0.030429926281055234,19,25
67,292,0.05766972230116793,19,24
67,293,0.0565716996279201,19,24
67,294,0.0546138251428168,19,24
67,295,0.052798656475290036,19,24
67,459,0.26062747073958575,19,11
67,483,1.0,19,2
68,1137,1.0,2,1
68,1138,0.0,2,2
69,70,0.1355812104573555,16,26
69,108,0.0,16,55
69,246,0.5532105387975789,16,16
69,247,0.5505554614255143,16,16
69,251,0.24830144490837458,16,20
69,252,0.3484102273665349,16,16
69,253,0.23317802805160362,16,21
69,254,0.8172786262188758,16,8
69,257,0.284736230853664,16,21
69,379,0.6570950639642859,16,11
69,444,0.36335467915831127,16,19
69,751,0.5909469988642176,16,15
69,868,0.3208211832740531,16,21
69,1174,0.9390711579474714,16,10
69,1360,0.43999775070488506,16,17
69,1361,0.6032414812447425,16,13
70,108,0.0,11,55
70,246,0.5905069813984775,11,16
70,247,0.5807364252782636,11,16
70,251,0.2824837247999683,11,20
70,253,0.2646252662684245,11,21
70,444,0.4034374916470627,11,19
70,751,0.6195486533178785,11,15
70,868,0.35440141275788756,11,21
70,1174,1.0,11,10
70,1360,0.47719075158150365,11,17
70,1361,0.6490772166524019,11,13
71,108,0.0,4,55
71,751,0.9274624473570544,4,15
71,1360,0.6801351092827197,4,17
71,1361,0.9360710222859395,4,13
72,74,0.9521155930556974,5,3
