"","Actual_From","Actual_To","Weight","Degree_Row","Degree_Col"
"62",103,110,1,2,11
"64",108,827,1,4,3
"65",110,827,1,2,3
"66",112,568,1,2,3
"131",236,260,0.955021658773452,32,10
"132",236,261,0.947542580401136,32,10
"133",236,262,0.943467648664328,32,10
"134",236,542,0.967833979463573,32,10
"135",236,543,0.937446184781431,32,10
"136",236,545,0.98076031705595,32,10
"137",236,552,0.957449659331175,32,10
"138",236,553,0.955564164926357,32,10
"139",236,554,0.947283278921582,32,10
"140",236,555,0.948220494575276,32,10
"141",236,556,0.956642891355523,32,10
"142",236,557,0.966078130395645,32,10
"143",236,559,0.944315316178451,32,10
"144",236,567,0.9395810016333,32,10
"145",236,570,0.960009212670546,32,10
"146",236,576,0.950149533429238,32,10
"147",236,578,0.947886112397393,32,10
"148",236,785,0.983954543146935,32,10
"152",260,626,0.963111619440339,4,45
"153",261,626,0.957278455012434,4,45
"154",262,380,0.989773657623222,16,11
"169",299,112,1,2,2
"194",359,260,0.941404615409921,42,10
"195",359,261,0.924164852375999,42,10
"196",359,262,0.931470275926037,42,10
"197",359,542,0.949369776439648,42,10
"198",359,543,0.948812306269646,42,10
"199",359,552,0.942880383204192,42,10
"200",359,553,0.940288635331767,42,10
"201",359,554,0.965764532345929,42,10
"202",359,555,0.941723659707016,42,10
"203",359,556,0.9434465152116,42,10
"204",359,557,0.930117039763746,42,10
"205",359,559,0.941852160332875,42,10
"206",359,567,0.943025062546122,42,10
"207",359,570,0.932832277967033,42,10
"208",359,576,0.9499830175682,42,10
"209",359,578,0.937299471540295,42,10
"210",359,785,0.923799532423359,42,10
"217",380,540,0.992032724168683,15,12
"225",423,1279,1,2,3
"245",445,1215,0.981295032821693,8,6
"246",446,1214,0.92560658442673,8,6
"247",446,1215,0.984560726031553,8,6
"284",540,541,0.9721711939537,15,13
"285",541,571,0.969653926100267,14,14
"286",541,572,0.944246457885797,14,15
"287",544,542,0.922687226488542,32,10
"288",545,626,0.968442150382051,4,45
"289",550,299,1,7,2
"290",551,550,0.92649048991038,14,5
"291",551,594,0.990480380705236,14,5
"292",552,626,0.960689275062302,4,45
"293",553,626,0.964314688215306,4,45
"294",554,626,0.92603689791525,4,45
"295",555,626,0.959465615941188,4,45
"296",556,626,0.953824926950175,4,45
"297",557,626,0.96960404466733,4,45
"298",558,261,0.932687844589577,32,10
"299",558,545,0.948664698384797,32,10
"300",558,785,0.937933091765077,32,10
"301",559,626,0.963357303025773,4,45
"307",567,626,0.960169202155664,4,45
"308",568,261,0.920182879482536,32,10
"309",568,542,0.943479216916092,32,10
"310",568,545,0.95473067131313,32,10
"311",568,552,0.92458724775836,32,10
"312",568,554,0.952600550182762,32,10
"313",568,555,0.923064673912288,32,10
"314",568,556,0.924384686975654,32,10
"315",568,570,0.926838636426035,32,10
"316",568,785,0.945907731014325,32,10
"317",569,261,0.932610535471055,32,10
"318",569,545,0.947597230441062,32,10
"319",569,785,0.93777541808383,32,10
"320",570,626,0.955812059363874,4,45
"321",571,572,0.993318863762743,12,15
"322",572,573,0.997663145213235,11,16
"323",572,574,0.943760562511692,11,17
"324",573,574,0.959789159338672,10,17
"325",574,575,0.965894443479531,9,18
"326",575,577,0.97977245262818,8,19
"327",576,626,0.957320140857526,4,45
"328",579,261,0.935085593452753,35,10
