"","gene_node_idx","gene_node_name","Weight"
"28",27,"ADGRB1",1
"41",40,"AIFM2",1
"178",177,"CCNG1",1
"204",203,"CD80",1
"205",204,"CD82",1
"206",205,"CD86",1
"246",245,"COP1",1
"315",314,"DDB2",1
"366",365,"EI24",1
"501",500,"GTSE1",1
"549",548,"IGFBP3",1
"908",907,"PIDD1",1
"951",950,"PMAIP1",1
"960",959,"PPM1D",1
"1091",1090,"RCHY1",1
"1131",1130,"RRM2",1
"1132",1131,"RRM2B",1
"1157",1156,"SESN1",1
"1159",1158,"SESN3",1
"1172",1171,"SHISA5",1
"1235",1234,"STEAP3",1
"1328",1327,"TP53I3",1
"1388",1387,"ZMAT3",1
"699",698,"LTBP1",0.75
"1182",1181,"SIVA1",0.75
"1329",1328,"TP73",0.75
"113",112,"BCL3",0.747147549036428
"237",236,"CNTF",0.741888807978902
"1077",1076,"RASGRP1",0.715079017476886
"1158",1157,"SESN2",0.7056843302857
"1174",1173,"SIAH1",0.703788459342942
"570",569,"IL24",0.698586425815532
"559",558,"IL15",0.698268307589998
"543",542,"IFNGR1",0.697439638364407
"546",545,"IFNLR1",0.696060969406838
"786",785,"MPL",0.694857891731955
"262",261,"CSF2RB",0.687405884373587
"580",579,"IL7",0.686422022086889
"557",556,"IL12RB2",0.683495778487151
"553",552,"IL10RA",0.68326105257748
"555",554,"IL11RA",0.68251296458113
"558",557,"IL13RA1",0.682502769818432
"263",262,"CSF3R",0.682317194105625
"556",555,"IL12RB1",0.681635911681172
"261",260,"CSF2RA",0.68068299785561
"571",570,"IL27RA",0.680292677222693
"554",553,"IL10RB",0.67938271562236
"577",576,"IL5RA",0.67716221274423
"560",559,"IL15RA",0.67574567694925
"568",567,"IL21R",0.674633355066298
"381",380,"EPOR",0.669396367654336
"544",543,"IFNGR2",0.669212183854037
"569",568,"IL23A",0.657118525982257
"1079",1078,"RASGRP3",0.647761951219333
"300",299,"CYLD",0.642262643567956
"541",540,"IFNAR1",0.62108259482473
"1280",1279,"TGFB3",0.616384995889885
"542",541,"IFNAR2",0.591168967925677
"877",876,"PDGFA",0.573593530069203
"572",571,"IL2RA",0.571509529346448
"573",572,"IL2RB",0.567412243934682
"878",877,"PDGFB",0.56506412650794
"360",359,"EGF",0.55730366913487
"579",578,"IL6ST",0.547109981122757
"1286",1285,"THBS1",0.532637982045945
"574",573,"IL2RG",0.528659679907503
"1216",1215,"SOS2",0.52306967647352
"446",445,"GAB1",0.514977252108022
"1215",1214,"SOS1",0.506073905584379
"575",574,"IL3RA",0.504129271305497
"107",106,"BBC3",0.5
"138",137,"CACYBP",0.5
"424",423,"FMOD",0.5
"1314",1313,"TNFRSF10A",0.5
"1315",1314,"TNFRSF10B",0.5
"578",577,"IL6R",0.487305999469831
"1281",1280,"TGFBR1",0.478316786433831
"576",575,"IL4R",0.477339126902575
"545",544,"IFNK",0.473036839484127
"111",110,"BCL2L1",0.46806047399258
"1227",1226,"STAM2",0.45617262091457
"1226",1225,"STAM",0.454280112019141
"1034",1033,"PTPN11",0.452165869611036
"447",446,"GAB2",0.418969313748505
"595",594,"IRF3",0.417417923458785
"642",641,"KIT",0.411496021737936
"1325",1324,"TP53",0.404592098496078
"104",103,"BAD",0.402299498500023
"1279",1278,"TGFB1",0.381051634967721
"828",827,"NLRP1",0.378991891736263
"551",550,"IKBKE",0.369425048970809
"856",855,"OSMR",0.362428542492865
"627",626,"JAK1",0.353298329238831
"1347",1346,"TYK2",0.321677507748969
"1017",1016,"PRLR",0.306315701533604
"312",311,"DAXX",0.227328693065685
"881",880,"PDGFRB",0.196133119460105
"109",108,"BCL2",0.174062294784154
"820",819,"NFKB1",0.167256415094084
"552",551,"IKBKG",0.158849964498438
"629",628,"JAK3",0.149962348398696
"628",627,"JAK2",0.137972276587599
