Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.025456453025735275,4.0,10.0
14,796,0.025399511312499973,4.0,10.0
14,797,0.025374046658088224,4.0,10.0
14,1239,0.0183441931985294,4.0,15.0
15,795,0.024919222444852927,4.0,10.0
15,796,0.025004337077205875,4.0,10.0
15,797,0.02495118495588235,4.0,10.0
15,1239,0.0180815273602941,4.0,15.0
16,19,0.02526463487394958,14.0,4.0
16,124,0.011355902288865544,14.0,8.0
16,731,0.0028825066207983146,14.0,38.0
16,733,0.002752961533613443,14.0,39.0
16,734,0.00300801321113445,14.0,39.0
16,735,0.002574251112394957,14.0,39.0
16,736,0.002473509573529407,14.0,39.0
16,737,0.0030072493466386497,14.0,38.0
16,813,0.03779708065126051,14.0,2.0
16,1195,0.011832658424369744,14.0,8.0
16,1196,0.006043903652310922,14.0,21.0
16,1197,0.005595753710084028,14.0,23.0
16,1199,0.010713697936974785,14.0,8.0
16,1201,0.011644302731092435,14.0,9.0
17,1196,0.03001381333823525,2.0,21.0
17,1197,0.02776128346323525,2.0,23.0
18,1196,0.0317925818823529,2.0,21.0
18,1197,0.02953639383823525,2.0,23.0
19,1196,0.0343224540367647,2.0,21.0
19,1197,0.0317315439558823,2.0,23.0
20,1196,0.0326047491985294,2.0,21.0
20,1197,0.0301624772205882,2.0,23.0
21,838,0.027833627676470563,3.0,19.0
21,839,0.033134555259803904,3.0,19.0
21,840,0.03025301709313723,3.0,19.0
22,999,0.12230198156617644,2.0,5.0
22,1000,0.1335833317132353,2.0,5.0
23,999,0.08148123725,2.0,5.0
23,1000,0.07258084638235295,2.0,5.0
24,999,0.1013821775,2.0,5.0
24,1000,0.10131082096323525,2.0,5.0
25,999,0.094302687125,2.0,5.0
25,1000,0.0913169880220588,2.0,5.0
26,999,0.10053191320588235,2.0,5.0
26,1000,0.10120801271323525,2.0,5.0
28,147,0.04371681949999997,3.0,7.0
28,953,0.06866055980392156,3.0,5.0
28,1238,0.06997042481372547,3.0,5.0
29,147,0.04826570728431373,3.0,7.0
29,953,0.0672324178872549,3.0,5.0
29,1238,0.07500098008333334,3.0,5.0
30,466,0.0451771921862745,3.0,7.0
30,468,0.008655538806372534,3.0,40.0
30,469,0.016936156299019598,3.0,24.0
31,466,0.05587367876960783,3.0,7.0
31,468,0.009443489073529399,3.0,40.0
31,469,0.0210377635980392,3.0,24.0
32,464,0.0160127672941176,2.0,32.0
32,465,0.0165356801470588,2.0,32.0
33,460,0.018794861,5.0,14.0
33,461,0.014463952020588219,5.0,15.0
33,462,0.014182734685294098,5.0,15.0
33,468,0.00569524164117646,5.0,40.0
33,1339,0.0681240843235294,5.0,4.0
34,464,0.00806457450367645,4.0,32.0
34,465,0.007765685088235275,4.0,32.0
34,466,0.037121482558823526,4.0,7.0
34,469,0.013960059738970574,4.0,24.0
35,464,0.008657943577205875,4.0,32.0
35,465,0.009176637827205875,4.0,32.0
35,466,0.048358186382352925,4.0,7.0
35,469,0.0181316918602941,4.0,24.0
36,279,0.5,2.0,1.0
36,1178,0.5,2.0,1.0
37,910,0.00425728771813725,6.0,58.0
37,911,0.0037276104803921502,6.0,58.0
37,912,0.003760638860294117,6.0,58.0
37,914,0.0035852205490196003,6.0,58.0
37,915,0.003823749959558817,6.0,58.0
37,916,0.003787682458333333,6.0,58.0
38,297,0.00894682301062091,18.0,7.0
38,321,0.05555555555555555,18.0,1.0
38,627,0.0010790429395424834,18.0,64.0
38,910,0.001495320173611111,18.0,58.0
38,911,0.0013259741748366,18.0,58.0
38,912,0.0013352668341503223,18.0,58.0
38,914,0.0012422058468137221,18.0,58.0
38,915,0.0013706026621732,18.0,58.0
38,916,0.0013383118341503222,18.0,58.0
38,933,0.0013190592765522833,18.0,43.0
38,934,0.002777945454248361,18.0,43.0
38,935,0.0013142666903594722,18.0,43.0
38,936,0.02107422954248366,18.0,3.0
38,937,0.018672791119281044,18.0,3.0
38,938,0.006717992245098039,18.0,11.0
38,939,0.004183286338235294,18.0,26.0
38,940,0.0030367820138888888,18.0,25.0
38,1008,0.008278302504084966,18.0,7.0
39,98,0.05666883148529411,10.0,2.0
39,99,0.056323822205882355,10.0,2.0
39,290,0.00520908427794117,10.0,25.0
39,291,0.00538032353382352,10.0,25.0
39,393,0.02494222117647059,10.0,6.0
39,496,0.05781061339705883,10.0,2.0
39,685,0.03298696223529412,10.0,4.0
39,686,0.0118244803867647,10.0,16.0
39,687,0.01407781370147058,10.0,14.0
39,688,0.056900933661764706,10.0,2.0
41,1040,0.1363452217941176,1.0,10.0
42,43,0.0022206922067474037,51.0,9.0
42,69,0.0017185785954440588,51.0,15.0
42,70,0.0009457604469434824,51.0,26.0
42,71,0.002413623821799308,51.0,9.0
42,103,0.0024526219749134944,51.0,11.0
42,108,0.0004969565243656274,51.0,55.0
42,129,0.00646058944636678,51.0,3.0
42,162,0.00429371022318339,51.0,5.0
42,215,0.0013549062698961923,51.0,20.0
42,216,0.0025670816724336783,51.0,10.0
42,227,0.0012960826816608981,51.0,19.0
42,249,0.001716569074106112,51.0,13.0
42,250,0.0017828841715686273,51.0,12.0
42,251,0.0010866483269896176,51.0,20.0
42,252,0.0014290341903114175,51.0,16.0
42,253,0.0010070187185697804,51.0,21.0
42,429,0.0007071047113610138,51.0,32.0
42,430,0.0006818185415224901,51.0,36.0
42,431,0.0010286912675893883,51.0,30.0
42,498,0.006304063996539792,51.0,3.0
42,499,0.001820361747693194,51.0,14.0
42,549,0.0010447462321222587,51.0,26.0
42,551,0.0008760698353517863,51.0,28.0
42,710,0.0016814486594578998,51.0,15.0
42,723,0.003143939737600922,51.0,8.0
42,726,0.006305242154555939,51.0,3.0
42,731,0.0007028999489619372,51.0,38.0
42,737,0.0007233844622260667,51.0,38.0
42,752,0.0034908501222606684,51.0,7.0
42,789,0.000970476228662053,51.0,24.0
42,819,0.0005920177722029981,51.0,36.0
42,821,0.001464695796712802,51.0,14.0
42,822,0.0027296510994809686,51.0,8.0
42,823,0.0027345851147635514,51.0,8.0
42,837,0.001019437228950402,51.0,21.0
42,844,0.005171506189446365,51.0,4.0
42,872,0.0024492585513264118,51.0,8.0
42,887,0.0024907232664359864,51.0,8.0
42,960,0.005820925789215686,51.0,5.0
42,961,0.004080728078143022,51.0,6.0
42,962,0.003268882507497116,51.0,7.0
42,966,0.006428619427047288,51.0,3.0
42,967,0.006232727975778545,51.0,3.0
42,968,0.006221892863321797,51.0,3.0
42,969,0.006498371098904267,51.0,3.0
42,1054,0.0009363262442329862,51.0,25.0
42,1092,0.0011166406346597452,51.0,35.0
42,1259,0.006289480008650519,51.0,3.0
42,1260,0.0018876415369088804,51.0,12.0
42,1340,0.0012670249420415217,51.0,17.0
42,1341,0.0013113547854671276,51.0,19.0
43,369,0.036468517794117646,6.0,6.0
43,789,0.00930254144362745,6.0,24.0
43,1121,0.025384587593137248,6.0,10.0
43,1122,0.025985681598039215,6.0,10.0
43,1123,0.02299399457598038,6.0,8.0
43,1348,0.06432364634803922,6.0,3.0
44,43,0.0023012958506343707,51.0,9.0
44,69,0.0015952759264705881,51.0,15.0
44,70,0.001001201680219145,51.0,26.0
44,71,0.002704800774798153,51.0,9.0
44,103,0.0025493148042099196,51.0,11.0
44,108,0.0004881638151672431,51.0,55.0
44,129,0.006772972370242214,51.0,3.0
44,162,0.004694365792964244,51.0,5.0
44,215,0.0013713127560553628,51.0,20.0
44,216,0.002405722794405996,51.0,10.0
44,227,0.001220678569780853,51.0,19.0
44,249,0.0018673635619953863,51.0,13.0
44,250,0.001885253630911186,51.0,12.0
44,251,0.0011282291666666667,51.0,20.0
44,252,0.0014824517419261822,51.0,16.0
44,253,0.0010405663419838509,51.0,21.0
44,429,0.0007067779016724332,51.0,32.0
44,430,0.000685110207324106,51.0,36.0
44,431,0.00107521473241061,51.0,30.0
44,498,0.006853934198385237,51.0,3.0
44,499,0.0019300922794117648,51.0,14.0
44,549,0.0011231738316032295,51.0,26.0
44,551,0.0009151144950980391,51.0,28.0
44,710,0.001874355954440598,51.0,15.0
44,723,0.003426672880334486,51.0,8.0
44,726,0.006849756854094578,51.0,3.0
44,731,0.0007670500129757785,51.0,38.0
44,737,0.0007855192099192608,51.0,38.0
44,752,0.003654715998846596,51.0,7.0
44,789,0.0010451938791810824,51.0,24.0
44,819,0.0005975625288350628,51.0,36.0
44,821,0.0015342597722029982,51.0,14.0
44,822,0.0030055128275663194,51.0,8.0
44,823,0.003027290344290657,51.0,8.0
44,837,0.001064614004036908,51.0,21.0
44,844,0.005714356398500577,51.0,4.0
44,872,0.002635724466839676,51.0,8.0
44,887,0.0026526094625144176,51.0,8.0
44,960,0.00611363194146482,51.0,5.0
44,961,0.004499880983275663,51.0,6.0
44,962,0.0034675781014994233,51.0,7.0
44,966,0.006822844975490196,51.0,3.0
44,967,0.006865921124567474,51.0,3.0
44,968,0.006842015968858132,51.0,3.0
44,969,0.006800551306516724,51.0,3.0
44,1054,0.0009707706508073803,51.0,25.0
44,1092,0.00124325497318339,51.0,35.0
44,1259,0.006843617647058824,51.0,3.0
44,1260,0.002044918662341406,51.0,12.0
44,1340,0.0013437885804498254,51.0,17.0
44,1341,0.001441319408881198,51.0,19.0
45,43,0.002234770933102651,51.0,9.0
45,69,0.0016622056190888118,51.0,15.0
45,70,0.0009553020415224902,51.0,26.0
45,71,0.0024219445051903116,51.0,9.0
45,103,0.0024075684250288334,51.0,11.0
45,108,0.0004725136611880039,51.0,55.0
45,129,0.0063742814100346025,51.0,3.0
45,162,0.00427055057381776,51.0,5.0
45,215,0.0013924178339100334,51.0,20.0
45,216,0.002414025912918108,51.0,10.0
45,227,0.0012090729209919254,51.0,19.0
