Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.029209958042121675,4.0,10.0
14,796,0.029877570120904823,4.0,10.0
14,797,0.0296940915978939,4.0,10.0
14,1239,0.01817066326677065,4.0,15.0
15,795,0.0292250459902496,4.0,10.0
15,796,0.0299139525877535,4.0,10.0
15,797,0.029728641659516376,4.0,10.0
15,1239,0.0182018297827613,4.0,15.0
16,19,0.024217059825718746,14.0,4.0
16,124,0.011257679903833293,14.0,8.0
16,731,0.0029884737216402933,14.0,38.0
16,733,0.0025574324446177785,14.0,39.0
16,734,0.0024732726501002856,14.0,39.0
16,735,0.0026131935066859785,14.0,39.0
16,736,0.002388298296634721,14.0,39.0
16,737,0.002443826983953643,14.0,38.0
16,813,0.0358657587162915,14.0,2.0
16,1195,0.013448098712279921,14.0,8.0
16,1196,0.004854755290951636,14.0,21.0
16,1197,0.004589921720971693,14.0,23.0
16,1199,0.011992068744372628,14.0,8.0
16,1201,0.011033974406507687,14.0,9.0
17,1196,0.0338723703081123,2.0,21.0
17,1197,0.0321400813603744,2.0,23.0
18,1196,0.0345588281076443,2.0,21.0
18,1197,0.0328211287402496,2.0,23.0
19,1196,0.0345150814875195,2.0,21.0
19,1197,0.03261504919188765,2.0,23.0
20,1196,0.0349016450655226,2.0,21.0
20,1197,0.0331814904407176,2.0,23.0
21,838,0.025202482902236065,3.0,19.0
21,839,0.0273750485429017,3.0,19.0
21,840,0.0248273116053042,3.0,19.0
22,999,0.10283870909672385,2.0,5.0
22,1000,0.1019972160374415,2.0,5.0
23,999,0.0975596918884555,2.0,5.0
23,1000,0.0983927114305772,2.0,5.0
24,999,0.10204925284477374,2.0,5.0
24,1000,0.10101751264430575,2.0,5.0
25,999,0.10004877360608425,2.0,5.0
25,1000,0.0998713858783151,2.0,5.0
26,999,0.09750357317394695,2.0,5.0
26,1000,0.0987211734586583,2.0,5.0
28,147,0.050005535115444595,3.0,7.0
28,953,0.0787524765283411,3.0,5.0
28,1238,0.07900280366614663,3.0,5.0
29,147,0.04914685681487257,3.0,7.0
29,953,0.07859179203328133,3.0,5.0
29,1238,0.07944442295891833,3.0,5.0
30,466,0.05124834263078523,3.0,7.0
30,468,0.010676241008320334,3.0,40.0
30,469,0.016994446911076433,3.0,24.0
31,466,0.0577341891029641,3.0,7.0
31,468,0.0122801820800832,3.0,40.0
31,469,0.021293841621424833,3.0,24.0
32,464,0.01978301972152885,2.0,32.0
32,465,0.019895907600624,2.0,32.0
33,460,0.02150556409235568,5.0,14.0
33,461,0.018873541961310438,5.0,15.0
33,462,0.01869750191638064,5.0,15.0
33,468,0.0069213262530421205,5.0,40.0
33,1339,0.07813490716692666,5.0,4.0
34,464,0.009217815959438375,4.0,32.0
34,465,0.008726461429407174,4.0,32.0
34,466,0.037707742780811224,4.0,7.0
34,469,0.012283818483619325,4.0,24.0
35,464,0.011316920319422776,4.0,32.0
35,465,0.0099912568677847,4.0,32.0
35,466,0.04201649288962558,4.0,7.0
35,469,0.0132839408229329,4.0,24.0
36,279,0.5,2.0,1.0
36,1178,0.5,2.0,1.0
37,910,0.00532788492875715,6.0,58.0
37,911,0.00430836004628185,6.0,58.0
37,912,0.004253762883515333,6.0,58.0
37,914,0.0040718634976599005,6.0,58.0
37,915,0.0043079126120644665,6.0,58.0
37,916,0.004376668174206967,6.0,58.0
38,297,0.009861254605737562,18.0,7.0
38,321,0.05555555555555555,18.0,1.0
38,627,0.0013678888939157557,18.0,64.0
38,910,0.0018562527297625224,18.0,58.0
38,911,0.0014191488407002944,18.0,58.0
38,912,0.0014392438224128945,18.0,58.0
38,914,0.0016161214852660722,18.0,58.0
