Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.0246125771514423,4.0,10.0
14,796,0.024302351697115376,4.0,10.0
14,797,0.023895862420673077,4.0,10.0
14,1239,0.017660817072115375,4.0,15.0
15,795,0.024432519663461525,4.0,10.0
15,796,0.0241299479543269,4.0,10.0
15,797,0.023727431449519224,4.0,10.0
15,1239,0.017533311788461525,4.0,15.0
16,19,0.019581757932692307,14.0,4.0
16,124,0.010574407980769227,14.0,8.0
16,731,0.0019244506023351642,14.0,38.0
16,733,0.0018568368495879071,14.0,39.0
16,734,0.0018719970844780216,14.0,39.0
16,735,0.0019135282087912073,14.0,39.0
16,736,0.0017144211710164784,14.0,39.0
16,737,0.0018351329443681286,14.0,38.0
16,813,0.035864217973901096,14.0,2.0
16,1195,0.008397324206730764,14.0,8.0
16,1196,0.0035424560357142855,14.0,21.0
16,1197,0.0032782786600274714,14.0,23.0
16,1199,0.009084439201923072,14.0,8.0
16,1201,0.008221955032280215,14.0,9.0
17,1196,0.02271966221634615,2.0,21.0
17,1197,0.02108053044230765,2.0,23.0
18,1196,0.02233661075480765,2.0,21.0
18,1197,0.02075417644711535,2.0,23.0
19,1196,0.02477945725961535,2.0,21.0
19,1197,0.02296634831730765,2.0,23.0
20,1196,0.0225698379278846,2.0,21.0
20,1197,0.02094742145673075,2.0,23.0
21,838,0.017832140679487168,3.0,19.0
21,839,0.017808252919871766,3.0,19.0
21,840,0.0173721985352564,3.0,19.0
22,999,0.09920035057692304,2.0,5.0
22,1000,0.0990098912980769,2.0,5.0
23,999,0.0989124227596154,2.0,5.0
23,1000,0.0988684251923077,2.0,5.0
24,999,0.1038106373557692,2.0,5.0
24,1000,0.1051764869230769,2.0,5.0
25,999,0.09953475163461535,2.0,5.0
25,1000,0.09947682346153845,2.0,5.0
26,999,0.0985418394230769,2.0,5.0
26,1000,0.09746837225961535,2.0,5.0
28,147,0.04969548512179486,3.0,7.0
28,953,0.06713324237179487,3.0,5.0
28,1238,0.06874462602564103,3.0,5.0
29,147,0.04839132492948717,3.0,7.0
29,953,0.06740723685897436,3.0,5.0
29,1238,0.06780706826923076,3.0,5.0
30,466,0.04059928592628203,3.0,7.0
30,468,0.007149641679487166,3.0,40.0
30,469,0.012155283429487166,3.0,24.0
31,466,0.04925378788461537,3.0,7.0
31,468,0.007983040141025634,3.0,40.0
31,469,0.0122818277179487,3.0,24.0
32,464,0.0159153452932692,2.0,32.0
32,465,0.01554736208653845,2.0,32.0
33,460,0.013863629648076919,5.0,14.0
33,461,0.012746666644230761,5.0,15.0
33,462,0.012730361544230758,5.0,15.0
33,468,0.00482970312307692,5.0,40.0
33,1339,0.04888965232692308,5.0,4.0
34,464,0.00736840386778845,4.0,32.0
34,465,0.0074246379855769,4.0,32.0
34,466,0.030613405533653826,4.0,7.0
34,469,0.0091459295480769,4.0,24.0
35,464,0.0066275322980769,4.0,32.0
35,465,0.006806761389423075,4.0,32.0
35,466,0.0284609992716346,4.0,7.0
35,469,0.008395689043269225,4.0,24.0
36,279,0.5,2.0,1.0
36,1178,0.5,2.0,1.0
37,910,0.0025687288645833166,6.0,58.0
37,911,0.002870290842147433,6.0,58.0
37,912,0.00289654675,6.0,58.0
37,914,0.003004146556891017,6.0,58.0
37,915,0.0027798542331730664,6.0,58.0
37,916,0.00282225989022435,6.0,58.0
38,297,0.008702669589743589,18.0,7.0
38,321,0.05555555555555555,18.0,1.0
38,627,0.0010499440331196556,18.0,64.0
38,910,0.001084000461538461,18.0,58.0
38,911,0.0010794432831196556,18.0,58.0
38,912,0.0010684575643696557,18.0,58.0
38,914,0.0010506801055021333,18.0,58.0
38,915,0.0010831560726495722,18.0,58.0
38,916,0.0010777020977564057,18.0,58.0
38,933,0.0014896939455128167,18.0,43.0
38,934,0.0013841684236111055,18.0,43.0
38,935,0.001375312914529911,18.0,43.0
38,936,0.019949341666666665,18.0,3.0
38,937,0.019655422831196576,18.0,3.0
38,938,0.0052614342275641,18.0,11.0
38,939,0.0026520904332264944,18.0,26.0
38,940,0.0028227525774572612,18.0,25.0
38,1008,0.0073788862654914494,18.0,7.0
39,98,0.04105358046153846,10.0,2.0
39,99,0.04186200695192307,10.0,2.0
39,290,0.003909013425,10.0,25.0
39,291,0.00401205954423076,10.0,25.0
39,393,0.016296198088461538,10.0,6.0
39,496,0.047407814874999996,10.0,2.0
39,685,0.02509726071153846,10.0,4.0
39,686,0.006860706517307689,10.0,16.0
39,687,0.00771505006923077,10.0,14.0
