"","Actual_From","Actual_To","Weight1","edge1","Weight2","edge2"
"3",36,279,0.5,"edge_type1",0.5,"edge_type2"
"4",36,1178,0.5,"edge_type1",0.5,"edge_type2"
"5",41,1040,0.185494892517647,"edge_type1",0.193730482589103,"edge_type2"
"16",102,1262,0.380650255612745,"edge_type1",0.381657315307692,"edge_type2"
"17",107,161,0.0104848617566153,"edge_type1",0.010650839548199,"edge_type2"
"18",110,827,0.203358925128363,"edge_type1",0.202726387461546,"edge_type2"
"19",112,568,0.252759607422549,"edge_type1",0.24718863079891,"edge_type2"
"20",115,1379,0.515762979382353,"edge_type1",0.515456966707692,"edge_type2"
"23",130,829,0.347097206543137,"edge_type1",0.339112846501282,"edge_type2"
"25",149,107,0.198133646267647,"edge_type1",0.195276487709615,"edge_type2"
"26",151,155,0.291940740864706,"edge_type1",0.290249456982051,"edge_type2"
"27",155,497,0.115448512580915,"edge_type1",0.111278898200021,"edge_type2"
"28",155,564,0.114272789795098,"edge_type1",0.109613888852778,"edge_type2"
"29",158,497,0.333247174641961,"edge_type1",0.333139675481603,"edge_type2"
"30",159,497,0.320407286614608,"edge_type1",0.333023628951474,"edge_type2"
"31",161,155,0.03166405648061,"edge_type1",0.0317441951469372,"edge_type2"
"32",161,1040,0.0230518369471677,"edge_type1",0.0223432004564102,"edge_type2"
"35",167,233,0.2,"edge_type1",0.2,"edge_type2"
"36",167,438,0.043129671706098,"edge_type1",0.0414715911746923,"edge_type2"
"37",167,663,0.0449999172603529,"edge_type1",0.0412354691353461,"edge_type2"
"38",167,1247,0.0561696030503921,"edge_type1",0.0539105941853846,"edge_type2"
"39",189,1305,0.356993427813725,"edge_type1",0.355025714439102,"edge_type2"
"40",192,438,0.178704713100294,"edge_type1",0.183934665530449,"edge_type2"
"41",196,438,0.220064125082059,"edge_type1",0.217721115507179,"edge_type2"
"42",197,663,0.187336025618333,"edge_type1",0.189883590515064,"edge_type2"
"43",199,198,0.687979084411765,"edge_type1",0.692319325689103,"edge_type2"
"44",206,663,0.187459889508235,"edge_type1",0.190085248910385,"edge_type2"
"45",207,663,0.181626282050882,"edge_type1",0.193049080003013,"edge_type2"
"46",211,1062,0.596056175490196,"edge_type1",0.596991395624359,"edge_type2"
"48",222,161,0.204162284291176,"edge_type1",0.211211841266859,"edge_type2"
"51",230,1247,0.256782518871275,"edge_type1",0.262354666053846,"edge_type2"
"52",231,407,0.411306156843137,"edge_type1",0.413852262576923,"edge_type2"
"53",232,231,0.208005384673039,"edge_type1",0.206723060373397,"edge_type2"
"54",232,407,0.054911216910846,"edge_type1",0.0549937128399605,"edge_type2"
"55",233,694,0.280605981112745,"edge_type1",0.281728551900641,"edge_type2"
"56",233,1247,0.0358997453305482,"edge_type1",0.0363512730006733,"edge_type2"
"57",276,1379,0.0157915062127775,"edge_type1",0.0157955569079594,"edge_type2"
"58",276,1382,0.166666666666667,"edge_type1",0.166666666666667,"edge_type2"
"59",279,211,0.225682618754902,"edge_type1",0.229558543128205,"edge_type2"
"66",299,112,0.232333806255637,"edge_type1",0.231413306006667,"edge_type2"
"72",317,1261,0.171347939778431,"edge_type1",0.172004095936538,"edge_type2"
"80",382,834,1,"edge_type1",1,"edge_type2"
"84",391,1261,0.304153213617647,"edge_type1",0.303395385038461,"edge_type2"
"85",392,1102,0.166319435469608,"edge_type1",0.165592191423718,"edge_type2"
"91",407,231,0.194663077094771,"edge_type1",0.195517959538462,"edge_type2"
"92",407,438,0.0218227658697618,"edge_type1",0.0218987110104783,"edge_type2"
"93",407,1247,0.0236575609833818,"edge_type1",0.0238585681955296,"edge_type2"
"99",438,663,0.0279458341047308,"edge_type1",0.0278446981638836,"edge_type2"
"108",497,829,0.0511509788991431,"edge_type1",0.0511715183157338,"edge_type2"
"109",538,41,0.185759214382353,"edge_type1",0.184503963138889,"edge_type2"
"110",538,1040,0.0254643328183006,"edge_type1",0.0253345937852564,"edge_type2"
"111",538,1237,0.333333333333333,"edge_type1",0.333333333333333,"edge_type2"
"112",550,299,0.0609443632249299,"edge_type1",0.0607640961913919,"edge_type2"
"113",550,594,0.023423763130182,"edge_type1",0.0234035816283241,"edge_type2"
"114",550,1254,0.0409927858871148,"edge_type1",0.0408709353824175,"edge_type2"
"115",550,1261,0.0201395758092437,"edge_type1",0.0201168461921245,"edge_type2"
"116",564,565,0.5,"edge_type1",0.5,"edge_type2"
"117",564,566,0.5,"edge_type1",0.5,"edge_type2"
"123",594,198,0.062404183727345,"edge_type1",0.061536135029423,"edge_type2"
"124",594,203,0.2,"edge_type1",0.2,"edge_type2"
"125",594,205,0.2,"edge_type1",0.2,"edge_type2"
"126",600,222,0.240416537805686,"edge_type1",0.243318471936859,"edge_type2"
"130",694,299,0.0573389457411764,"edge_type1",0.0574651327358974,"edge_type2"
"131",694,550,0.0206669996642646,"edge_type1",0.0207284782587307,"edge_type2"
"134",700,1305,0.286013144685586,"edge_type1",0.289948571145469,"edge_type2"
"142",771,1022,0.5,"edge_type1",0.5,"edge_type2"
"143",771,1040,0.0358293058186274,"edge_type1",0.0357257121548076,"edge_type2"
"145",800,826,0.341688252377549,"edge_type1",0.341971202715449,"edge_type2"
"148",826,1040,0.0890718270245097,"edge_type1",0.0887863029923076,"edge_type2"
"149",827,1040,0.0708604668225489,"edge_type1",0.0709371836060896,"edge_type2"
"150",829,153,0.333333333333333,"edge_type1",0.333333333333333,"edge_type2"
"151",829,155,0.0495104660143431,"edge_type1",0.0483887400312286,"edge_type2"
"152",829,1040,0.0220404067031045,"edge_type1",0.0220106344500854,"edge_type2"
"153",833,73,0.267613380156863,"edge_type1",0.268899093916667,"edge_type2"
"154",834,73,0.0774622065980392,"edge_type1",0.0770336350096153,"edge_type2"
"155",834,827,0.0249329942275207,"edge_type1",0.0248049204720785,"edge_type2"
"164",921,594,0.197071780892157,"edge_type1",0.195790998022436,"edge_type2"
"165",924,771,0.248008892372549,"edge_type1",0.247809509666667,"edge_type2"
"166",924,1379,0.0613700545902126,"edge_type1",0.0614653169918052,"edge_type2"
