"","gene_node_idx","gene_node_name","Weight1","node1","Weight2","node2","t2ds_pret2ds_pvalue","t2ds_no_t2ds_pvalue","pret2ds_no_t2ds_pvalue"
"5",36,"AFDN",0.252407971611583,"node_type1",0.25240743969229,"node_type2",0.571874450143984,0.592074488438925,0.837506413785953
"6",41,"AIM2",0.249867839038235,"node_type1",0.254613259366132,"node_type2",0.722244043391707,0.598546566456229,0.926225427325815
"8",49,"ANAPC5",0.115076619886164,"node_type1",0.117938268448638,"node_type2",0.815512616329198,0.59379723319611,0.355366926934468
"12",61,"ARF6",0.145655491440697,"node_type1",0.145490418157112,"node_type2",0.523913261317717,0.0158101498937262,0.0470060475383765
"15",73,"ATG16L1",0.112052737513871,"node_type1",0.109429022166522,"node_type2",0.148364155939903,0.178515268492781,0.520060709700997
"21",102,"AZI2",0.269936543766885,"node_type1",0.270989294786142,"node_type2",0.78405846967025,0.956547852002573,0.654690752864193
"24",107,"BCL10",0.0407827257041687,"node_type1",0.0403633782240568,"node_type2",0.0169398422265686,0.141257114740538,0.0673912948221108
"25",110,"BCL2L1",0.0779672003272331,"node_type1",0.0785894947448046,"node_type2",0.996251770549952,0.532051019485082,0.4942708517011
"26",112,"BCL3",0.137008461239706,"node_type1",0.134134451332889,"node_type2",0.0315557915524541,0.00989350152266122,0.91063023069741
"28",115,"BEX3",0.515762979382353,"node_type1",0.515456966707692,"node_type2",0.507728102685027,0.361143841050742,0.893126995150001
"33",130,"BRCC3",0.347097206543137,"node_type1",0.339112846501282,"node_type2",0.453212372339566,0.50981447443682,0.791377980013411
"35",149,"CARD11",0.0660132867791605,"node_type1",0.0653987923138636,"node_type2",0.923901460870046,0.762407956803357,0.97707487649649
"36",151,"CARD16",0.291940740864706,"node_type1",0.290249456982051,"node_type2",0.928877826758838,0.903106833372978,0.84711276757406
"37",153,"CARD8",0.333333333333333,"node_type1",0.333333333333333,"node_type2",0.538289180332422,0.969451702564655,0.277549555878038
"38",155,"CASP1",0.145664576982776,"node_type1",0.143690097638683,"node_type2",0.330837005834673,0.287382713510719,0.944585625202975
"39",158,"CASP4",0.333247174641961,"node_type1",0.333139675481603,"node_type2",0.440118566431067,0.382819930689285,0.670011048975572
"40",159,"CASP5",0.320407286614608,"node_type1",0.333023628951474,"node_type2",0.772051021695922,0.818991891004486,0.451573859635104
"41",161,"CASP8",0.0456046325229023,"node_type1",0.0457271566982955,"node_type2",0.468442368473053,0.940186708022069,0.260322463735437
"45",167,"CBLB",0.0756843166514323,"node_type1",0.0747559442036461,"node_type2",0.414592535034449,0.615522255012356,0.645849475569779
"46",189,"CD14",0.245662165936667,"node_type1",0.241530206781731,"node_type2",0.133172927701219,0.743966296661725,0.0557411375378514
"47",192,"CD247",0.107893323671995,"node_type1",0.110428247050139,"node_type2",0.705888249737932,0.7996889112908,0.900511404867386
"48",196,"CD3E",0.220064125082059,"node_type1",0.217721115507179,"node_type2",0.791287898310429,0.357878719154106,0.596945792159543
"49",197,"CD4",0.187336025618333,"node_type1",0.189883590515064,"node_type2",0.726940930038433,0.405626772932252,0.0850750138969789
