Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.02606403234578782,4,10
14,796,0.026253271930343203,4,10
14,797,0.026358517881903264,4,10
14,1239,0.017716689170280804,4,15
15,795,0.02601715364648985,4,10
15,796,0.026207787478705134,4,10
15,797,0.026308476847971902,4,10
15,1239,0.017688450495475804,4,15
16,19,0.021418359537062625,14,4
16,124,0.010976382859861822,14,8
16,731,0.0025583236380989486,14,38
16,733,0.002441059497971914,14,39
16,734,0.00248145103767773,14,39
16,735,0.0023352425654557586,14,39
16,736,0.0025424611874972102,14,39
16,737,0.002506770111379537,14,38
16,813,0.03592597964408291,14,2
16,1195,0.011613486011009578,14,8
16,1196,0.004703382776621347,14,21
16,1197,0.0043555427036104264,14,23
16,1199,0.010772777653331844,14,8
16,1201,0.00986584184851794,14,9
17,1196,0.030838620259594357,2,21
17,1197,0.028608624672074874,2,23
18,1196,0.031085177046489842,2,21
18,1197,0.02884427826692665,2,23
19,1196,0.03202873117269889,2,21
19,1197,0.029698140011544437,2,23
20,1196,0.03128176061466457,2,21
20,1197,0.02903809144212165,2,23
21,838,0.022802068611336435,3,19
21,839,0.022540666497971908,3,19
21,840,0.02351487178065521,3,19
22,999,0.10319511174212166,2,5
22,1000,0.10527181286786269,2,5
23,999,0.09925676424960997,2,5
23,1000,0.09873594536926676,2,5
24,999,0.09958262377425896,2,5
24,1000,0.09956157373432135,2,5
25,999,0.09840689215444616,2,5
25,1000,0.09713326867145086,2,5
26,999,0.09955860856131045,2,5
26,1000,0.09929739922485177,2,5
28,147,0.049403567629537175,3,7
28,953,0.06964211134253769,3,5
28,1238,0.07565400428902756,3,5
29,147,0.049199178450286,3,7
29,953,0.06869655346628183,3,5
29,1238,0.07534431202880913,3,5
30,466,0.054225730818200715,3,7
30,468,0.010352829328289114,3,40
30,469,0.017635681604680167,3,24
31,466,0.056072984039521566,3,7
31,468,0.010454938314768573,3,40
31,469,0.018910821885075396,3,24
32,464,0.01779827816692665,2,32
32,465,0.0177230766981279,2,32
33,460,0.01938707113354133,5,14
33,461,0.016101760797722305,5,15
33,462,0.0167273538103588,5,15
33,468,0.006167372614365044,5,40
33,1339,0.06602535157691106,5,4
34,464,0.00903885051044461,4,32
34,465,0.00896972431934476,4,32
34,466,0.04030978674617784,4,7
34,469,0.013103047882597496,4,24
35,464,0.008492021652574096,4,32
35,465,0.008623528415054597,4,32
35,466,0.04013971041394695,4,7
35,469,0.01324702885909515,4,24
36,279,0.5,2,1
36,1178,0.5,2,1
37,910,0.0045901025799271866,6,58
37,911,0.0038134810299271897,6,58
37,912,0.003859814343525734,6,58
37,914,0.003977182134269364,6,58
37,915,0.0038732622378055033,6,58
37,916,0.003964116598075917,6,58
38,297,0.008792372808892352,18,7
38,321,0.05555555555555556,18,1
38,627,0.0011616096009897689,18,64
38,910,0.0016708481273322924,18,58
38,911,0.001315887839755588,18,58
38,912,0.0013307031450598011,18,58
38,914,0.001354958307750041,18,58
38,915,0.0013458333157670278,18,58
38,916,0.0013798680298405233,18,58
38,933,0.0013958305788741535,18,43
38,934,0.0021311068914144533,18,43
38,935,0.0028210999692425,18,43
38,936,0.01967357378434737,18,3
38,937,0.019869297834113363,18,3
38,938,0.0067764723632691955,18,11
38,939,0.0032045734596867726,18,26
38,940,0.004161781100069334,18,25
38,1008,0.00879664854404576,18,7
39,98,0.05750023261856474,10,2
39,99,0.057807160045241814,10,2
39,290,0.004980554136879869,10,25
39,291,0.004972642443712946,10,25
39,393,0.024049374425117,10,6
39,496,0.058843284678315136,10,2
39,685,0.03376233253042122,10,4
39,686,0.010132899286708264,10,16
39,687,0.01125744460982839,10,14
39,688,0.05912643248954759,10,2
41,1040,0.13063694329173164,1,10
42,43,0.002249932198143219,51,9
42,69,0.0015740034481722786,51,15
42,70,0.0008831423500835078,51,26
42,71,0.0023425987135174816,51,9
42,103,0.0022638609754427204,51,11
42,108,0.00044679618154811916,51,55
42,129,0.006473782553785445,51,3
42,162,0.0041376168553608015,51,5
42,215,0.001287380486717444,51,20
42,216,0.002277390376924535,51,10
42,227,0.0011860354109950737,51,19
42,249,0.0016260679754366634,51,13
42,250,0.0017236496601817006,51,12
42,251,0.0010964693479122683,51,20
42,252,0.0013804378918601439,51,16
42,253,0.0010535000000611778,51,21
42,429,0.0007541873958153611,51,32
42,430,0.0006823253026643408,51,36
42,431,0.0008810710739806055,51,30
42,498,0.006472204838346945,51,3
42,499,0.0016214480454681713,51,14
42,549,0.0009049576310238283,51,26
42,551,0.0008299204533908403,51,28
42,710,0.0015634132013765249,51,15
42,723,0.0027282514375822084,51,8
42,726,0.0064604719488115985,51,3
42,731,0.0006652270780367678,51,38
42,737,0.0006457049025481012,51,38
42,752,0.003417477389094858,51,7
42,789,0.0009141370486494748,51,24
42,819,0.0006763935826802475,51,36
42,821,0.0015799533206876499,51,14
42,822,0.002718073084127129,51,8
42,823,0.0026919877393349846,51,8
42,837,0.0009851415993147952,51,21
42,844,0.005220260350518491,51,4
