Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.03519820741973213,4,10
14,796,0.03516171092513253,4,10
14,797,0.035236253383931264,4,10
14,1239,0.023451046943395698,4,15
15,795,0.03483734945492193,4,10
15,796,0.03480086977350487,4,10
15,797,0.034845848066157,4,10
15,1239,0.023242248264724364,4,15
16,19,0.0243272106252061,14,4
16,124,0.011685775316573768,14,8
16,731,0.004229264433854033,14,38
16,733,0.004680095896219166,14,39
16,734,0.004771374414611433,14,39
16,735,0.0047256445172229,14,39
16,736,0.004344224281357566,14,39
16,737,0.004222508556137633,14,38
16,813,0.03572695103703413,14,2
16,1195,0.015822260102201332,14,8
16,1196,0.008109684342271566,14,21
16,1197,0.007939473816583732,14,23
16,1199,0.015956458718178,14,8
16,1201,0.015398344581341534,14,9
17,1196,0.04795337460576227,2,21
17,1197,0.046471830310527505,2,23
18,1196,0.05281173781781273,2,21
18,1197,0.05138704730082106,2,23
19,1196,0.05527082434358807,2,21
19,1197,0.05395589368236653,2,23
20,1196,0.05310306950375344,2,21
20,1197,0.05164802654149217,2,23
21,838,0.0428670794071738,3,19
21,839,0.0413666076521338,3,19
21,840,0.04353269487904036,3,19
22,999,0.10204127733498174,2,5
22,1000,0.103124689585725,2,5
23,999,0.0989038180438897,2,5
23,1000,0.09872612473313568,2,5
24,999,0.10228733777349447,2,5
24,1000,0.10250073708206232,2,5
25,999,0.09878245862943313,2,5
25,1000,0.09797354018104516,2,5
26,999,0.0979851081884555,2,5
26,1000,0.09767490856322407,2,5
28,147,0.052259286479098534,3,7
28,953,0.08677652512717966,3,5
28,1238,0.09102598970080043,3,5
29,147,0.05081742644853351,3,7
29,953,0.08468818274707224,3,5
29,1238,0.08713992380570836,3,5
30,466,0.0610246908089887,3,7
30,468,0.020853408843485164,3,40
30,469,0.03390668341764227,3,24
31,466,0.05891063149744933,3,7
31,468,0.016579948915467733,3,40
31,469,0.029983201395751568,3,24
32,464,0.025231328285140065,2,32
32,465,0.025558267209944297,2,32
33,460,0.045286596410482195,5,14
33,461,0.0282745211086551,5,15
33,462,0.027848362952063638,5,15
33,468,0.010180703287903067,5,40
33,1339,0.1183038698771814,5,4
34,464,0.01600351295666577,4,32
34,465,0.0167131277017116,4,32
34,466,0.04429846105196076,4,7
34,469,0.023930860281980968,4,24
35,464,0.012040288937246402,4,32
35,465,0.012295868893695333,4,32
35,466,0.0401497528522654,4,7
35,469,0.020365273024889434,4,24
36,279,0.5,2,1
36,1178,0.5,2,1
37,910,0.008375996391728133,6,58
37,911,0.0093394319772523,6,58
37,912,0.009189898588617402,6,58
37,914,0.008219865360977567,6,58
37,915,0.0093360106965569,6,58
37,916,0.009273815859078632,6,58
38,297,0.011639239153792067,18,7
38,321,0.0555555555555555,18,1
38,627,0.002796002513654533,18,64
38,910,0.0028473166645927,18,58
38,911,0.0033354429099492332,18,58
38,912,0.0032719219153293333,18,58
