Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.04603789080769229,4,10
14,796,0.045944528456201915,4,10
14,797,0.04597185482360576,4,10
14,1239,0.031468587765048066,4,15
15,795,0.049173260287499986,4,10
15,796,0.049032637922115374,4,10
15,797,0.04907120319485576,4,10
15,1239,0.03483672596278845,4,15
16,19,0.02712329668063187,14,4
16,124,0.012323874414835161,14,8
16,731,0.005997009632390107,14,38
16,733,0.007515855154286535,14,39
16,734,0.007539164718796289,14,39
16,735,0.007471376040642854,14,39
16,736,0.007299430318706041,14,39
16,737,0.006399763506192304,14,38
16,813,0.03353183597146978,14,2
16,1195,0.021084033719148347,14,8
16,1196,0.011567191642369502,14,21
16,1197,0.011538554503449172,14,23
16,1199,0.021188352450659337,14,8
16,1201,0.020896201844134613,14,9
17,1196,0.08007102931384613,2,21
17,1197,0.07966701814548074,2,23
18,1196,0.07628381252042306,2,21
18,1197,0.07591219205243267,2,23
19,1196,0.07177698371009614,2,21
19,1197,0.07135124171692304,2,23
20,1196,0.08008844883899037,2,21
20,1197,0.0797400786826346,2,23
21,838,0.059890341249807674,3,19
21,839,0.05775509842788461,3,19
21,840,0.05960364154465383,3,19
22,999,0.10610570171442306,2,5
22,1000,0.10619191071057692,2,5
23,999,0.09798803434615384,2,5
23,1000,0.09814469798461536,2,5
24,999,0.10108720773682692,2,5
24,1000,0.10091255675394231,2,5
25,999,0.09634344180288461,2,5
25,1000,0.0960598407432692,2,5
26,999,0.09847561588173076,2,5
26,1000,0.09869099456923074,2,5
28,147,0.04930036787256409,3,7
28,953,0.0956241457083333,3,5
28,1238,0.09939352806017679,3,5
29,147,0.05050246627628204,3,7
29,953,0.10173426805448718,3,5
29,1238,0.10751158614284614,3,5
30,466,0.06832298114485257,3,7
30,468,0.029117921582933658,3,40
30,469,0.04632275281246538,3,24
31,466,0.06191658168115384,3,7
31,468,0.02126869410603844,3,40
31,469,0.04066198587445511,3,24
32,464,0.029172531945649977,2,32
32,465,0.029250467057519207,2,32
33,460,0.07535037557915383,5,14
33,461,0.04125280787319229,5,15
33,462,0.04060997474461538,5,15
33,468,0.01659227126031153,5,40
33,1339,0.17693950919615384,5,4
34,464,0.02258233921691489,4,32
34,465,0.02350777415038208,4,32
34,466,0.051407703444373065,4,7
34,469,0.03524470849739806,4,24
35,464,0.01821175546097114,4,32
35,465,0.018810796896187483,4,32
35,466,0.05216470082379807,4,7
35,469,0.03258502684770191,4,24
36,279,0.5,2,1
36,1178,0.5,2,1
37,910,0.013874970697339738,6,58
37,911,0.01578693905274999,6,58
37,912,0.015614699166057682,6,58
37,914,0.014292888006698715,6,58
37,915,0.015537829390887811,6,58
37,916,0.015742288864025632,6,58
38,297,0.01605999837190171,18,7
38,321,0.05555555555555556,18,1
38,627,0.005288382651356834,18,64
38,910,0.005402646656057689,18,58
38,911,0.006352547915821578,18,58
38,912,0.006261072429791663,18,58
38,914,0.0055336474172329045,18,58
38,915,0.006211616698912391,18,58
38,916,0.006357565713102561,18,58
38,933,0.01024256251378205,18,43
38,934,0.010074668346474355,18,43
38,935,0.012572617781303416,18,43
38,936,0.04617994896688034,18,3
38,937,0.046840144712606835,18,3
38,938,0.014697245166132477,18,11
38,939,0.016218381617628203,18,26
38,940,0.01467098197104701,18,25
38,1008,0.014739397038461536,18,7
39,98,0.07789719403653847,10,2
39,99,0.07327860176538462,10,2
39,290,0.012203314704411342,10,25
39,291,0.012026944380989803,10,25
39,393,0.08481956544423078,10,6
39,496,0.0935721901,10,2
39,685,0.08689883155384615,10,4
39,686,0.07943929545326922,10,16
39,687,0.08020988449326923,10,14
39,688,0.09377150609807693,10,2
41,1040,0.2601395434634615,1,10
42,43,0.0024157365431749615,51,9
42,69,0.002292331952941175,51,15
42,70,0.001123096849754901,51,26
42,71,0.00278440944464555,51,9
