Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.025698078942307682,4,10
14,796,0.02589572652259614,4,10
14,797,0.025999483256730755,4,10
14,1239,0.017446879951923074,4,15
15,795,0.02602768994134614,4,10
15,796,0.026214371703365373,4,10
15,797,0.026357162786538445,4,10
15,1239,0.017701072310576917,4,15
16,19,0.021153697129670322,14,4
16,124,0.010902610732554944,14,8
16,731,0.0025140348851648317,14,38
16,733,0.0024042274655219726,14,39
16,734,0.002443253302472523,14,39
16,735,0.0023112703675824157,14,39
16,736,0.0024933076476648316,14,39
16,737,0.002463127321153843,14,38
16,813,0.03566283794230769,14,2
16,1195,0.011403911487225271,14,8
16,1196,0.004663863263049447,14,21
16,1197,0.0043156308771978,14,23
16,1199,0.010653482518543955,14,8
16,1201,0.009760194709615384,14,9
17,1196,0.03118204526346151,2,21
17,1197,0.02892643979519229,2,23
18,1196,0.030438386354807674,2,21
18,1197,0.02822390954230767,2,23
19,1196,0.03184795143269229,2,21
19,1197,0.02951518567499998,2,23
20,1196,0.03106793937499998,2,21
20,1197,0.028763154377884598,2,23
21,838,0.021991656018589732,3,19
21,839,0.0216218049128205,3,19
21,840,0.02243171156153844,3,19
22,999,0.10366184900096154,2,5
22,1000,0.1060869037048077,2,5
23,999,0.09831676670961537,2,5
23,1000,0.09762008295096151,2,5
24,999,0.09985645309230767,2,5
24,1000,0.09995017109134613,2,5
25,999,0.09918856553749998,2,5
25,1000,0.09838584560288459,2,5
26,999,0.09897636647211537,2,5
26,1000,0.09795699637692304,2,5
28,147,0.04942768040256408,3,7
28,953,0.07127472662756411,3,5
28,1238,0.07500625886474357,3,5
29,147,0.04886086916217948,3,7
29,953,0.06737552774679487,3,5
29,1238,0.07503714540320512,3,5
30,466,0.053812290407692295,3,7
30,468,0.01017889635641024,3,40
30,469,0.017488629009935874,3,24
31,466,0.05595131614679486,3,7
31,468,0.010284627182051259,3,40
31,469,0.01874672927243588,3,24
32,464,0.01764946718749998,2,32
32,465,0.01752599929230767,2,32
33,460,0.019309750676538458,5,14
33,461,0.0159529821376923,5,15
33,462,0.01656594511153845,5,15
33,468,0.006161278413846148,5,40
33,1339,0.06559564939230769,5,4
34,464,0.008844856486057685,4,32
34,465,0.008784161256826909,4,32
34,466,0.039895535464423065,4,7
