Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.04943903851617647,4,10
14,796,0.04936528588492647,4,10
14,797,0.04940961400882352,4,10
14,1239,0.03458279896036763,4,15
15,795,0.04556716677205881,4,10
15,796,0.0454968827992647,4,10
15,797,0.045499073418382344,4,10
15,1239,0.03167724940257353,4,15
16,19,0.028138976306722692,14,4
16,124,0.013071923575,14,8
16,731,0.006531443674768904,14,38
16,733,0.00836974752772983,14,39
16,734,0.008383380037163862,14,39
16,735,0.008313482130774156,14,39
16,736,0.0080809237642605,14,39
16,737,0.006993503892399155,14,38
16,813,0.03514763400843067,14,2
16,1195,0.022976939813225624,14,8
16,1196,0.01182527977458613,14,21
16,1197,0.011796282093172267,14,23
16,1199,0.023027657746407564,14,8
16,1201,0.022761698530321426,14,9
17,1196,0.06462724490661763,2,21
17,1197,0.06408908502027941,2,23
18,1196,0.1065072417030882,2,21
18,1197,0.10633403164426469,2,23
19,1196,0.06692513277852939,2,21
19,1197,0.06648910586382352,2,23
20,1196,0.0789884780595294,2,21
20,1197,0.07870893963714704,2,23
21,838,0.0780483907867941,3,19
21,839,0.07405431236186275,3,19
21,840,0.07782793263457842,3,19
22,999,0.10833623006323527,2,5
22,1000,0.10834823344514706,2,5
23,999,0.09620467825441173,2,5
23,1000,0.09648069076911764,2,5
24,999,0.09339046559044115,2,5
24,1000,0.0930824549863235,2,5
25,999,0.10118560522941174,2,5
25,1000,0.10118296162941173,2,5
26,999,0.10088302184411764,2,5
26,1000,0.10090565812999999,2,5
28,147,0.05609418627254901,3,7
28,953,0.1074173314480392,3,5
28,1238,0.11602575498365683,3,5
29,147,0.049513613515588216,3,7
29,953,0.0960781377852941,3,5
29,1238,0.09944280360392156,3,5
30,466,0.05595959531489901,3,7
30,468,0.026724881520568605,3,40
30,469,0.03654234384964704,3,24
31,466,0.05707562742001567,3,7
31,468,0.018996345896210767,3,40
31,469,0.034949738600256845,3,24
32,464,0.03086670379025807,2,32
32,465,0.031212028437114986,2,32
33,460,0.05450503027841176,5,14
33,461,0.028937768903982346,5,15
33,462,0.02892197091854116,5,15
33,468,0.009461106159418288,5,40
