Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.02654429644485292,4,10
14,796,0.02664635047205881,4,10
14,797,0.02677741313749999,4,10
14,1239,0.01796053263749999,4,15
15,795,0.026273233844117637,4,10
15,796,0.02643302720294116,4,10
15,797,0.026532984602205868,4,10
15,1239,0.017802182788235275,4,15
16,19,0.021922467591596634,14,4
16,124,0.01108296927247899,14,8
16,731,0.0026164828514705857,14,38
16,733,0.002493632712394954,14,39
16,734,0.002533007015966383,14,39
16,735,0.0023714453909663828,14,39
16,736,0.0026097591287815086,14,39
16,737,0.0025708426128151227,14,38
16,813,0.036181992054621845,14,2
16,1195,0.011931130362394956,14,8
16,1196,0.0048562522999999955,14,21
16,1197,0.004492876176260501,14,23
16,1199,0.010967777844747898,14,8
16,1201,0.010072162158613443,14,9
17,1196,0.030337776422058798,2,21
17,1197,0.028145102826470557,2,23
18,1196,0.031496993464705844,2,21
18,1197,0.029255560579411748,2,23
19,1196,0.03202454362941175,2,21
19,1197,0.0297168319823529,2,23
20,1196,0.03118146776323528,2,21
20,1197,0.028950426545588208,2,23
21,838,0.024373875764705868,3,19
21,839,0.024273239863725468,3,19
21,840,0.025680898557843123,3,19
22,999,0.10524372288676469,2,5
22,1000,0.10874403663529411,2,5
23,999,0.09613325105294117,2,5
23,1000,0.09333199207058822,2,5
24,999,0.09950521108823528,2,5
24,1000,0.09951369788235291,2,5
25,999,0.09885965644558822,2,5
25,1000,0.09784514120735291,2,5
26,999,0.10025815865588235,2,5
26,1000,0.10056513157058822,2,5
28,147,0.05089611481372548,3,7
28,953,0.07123722059411763,3,5
28,1238,0.07632686025686272,3,5
29,147,0.050685390538235287,3,7
29,953,0.06744465190196078,3,5
29,1238,0.07566630926176471,3,5
30,466,0.05050332138431372,3,7
30,468,0.009759856772058807,3,40
30,469,0.0166335717235294,3,24
31,466,0.055544860690196075,3,7
31,468,0.0102414984990196,3,40
31,469,0.01851736782549018,3,24
32,464,0.017698624473529382,2,32
32,465,0.017738469435294092,2,32
33,460,0.01854571270235294,5,14
33,461,0.015496438361176462,5,15
33,462,0.01592733164882352,5,15
33,468,0.005889371361176459,5,40
33,1339,0.06409270504705881,5,4
34,464,0.00899136926014704,4,32
34,465,0.008920720196691167,4,32
34,466,0.040559776795588226,4,7
34,469,0.013087290221544107,4,24
35,464,0.008698854944852924,4,32
