Term,Genes,PValue,FDR
hsa04621:NOD-like receptor signaling pathway,"BRCC3, NLRC4, NOD2, MEFV, PYCARD, PSTPIP1, TBK1, CASP5, NLRP7, CCL5, CASP1, NLRP3, TRPM7, NLRP1, TP53BP1, DNM1L, IKBKE, GSDMD, RIPK2, CARD8, IL18, ERBIN, TICAM1, AIM2, STING1, TRAF3, IL1B, TRIP6, CARD16",5.858746670708564e-24,5.565809337173136e-22
hsa04623:Cytosolic DNA-sensing pathway,"GSDMD, MLKL, IL18, CGAS, MEFV, PYCARD, AIM2, TBK1, STING1, IL1B, CCL5, CASP1, NLRP3, IKBKE",2.718886233700908e-12,1.0500978440439459e-10
hsa04217:Necroptosis,"MLKL, VPS4A, TICAM1, SPATA2L, PYCARD, CYLD, IL1B, CASP1, CHMP4B, NLRP3, TRPM7, PGAM5, CHMP4A, DNM1L, CHMP7, SQSTM1, TLR3, CHMP5",3.316098454875619e-12,1.0500978440439459e-10
hsa05131:Shigellosis,"ARF1, CALCOCO2, IL1R1, RIPK2, GLMN, IL18, CGAS, NLRC4, FNBP1L, CYTH3, PYCARD, TBK1, STING1, IL1B, CCL5, CASP1, NLRP3, SQSTM1, ARF6",4.5949976419267204e-10,1.0913119399575962e-08
hsa05417:Lipid and atherosclerosis,"MAP2K3, ERO1A, IL18, TICAM1, HSP90B1, PYCARD, TBK1, TRAF3, IL1B, CCL5, DDIT3, CASP1, NLRP3, IKBKE, ATF6, NFE2L2",2.7249465487380982e-08,5.177398442602386e-07
hsa05132:Salmonella infection,"MAP2K3, GSDMD, ARF1, MLKL, RIPK2, IL18, NLRC4, HSP90B1, CYTH3, PYCARD, CASP5, IL1B, CASP1, NLRP3, ARF6",1.1668833998990749e-06,1.8475653831735357e-05
hsa05135:Yersinia infection,"PYCARD, MAP2K3, TBK1, IL1B, CASP1, IL18, NLRP3, NLRC4, MEFV, TICAM1, ARF6",4.450860033223786e-06,5.879363020730375e-05
hsa05164:Influenza A,"PYCARD, TBK1, CALCOCO2, TRAF3, CCL5, IL1B, CASP1, IL18, NLRP3, TICAM1, IKBKE, TLR3",4.951042543772948e-06,5.879363020730375e-05
hsa04668:TNF signaling pathway,"MAP2K3, CYLD, MLKL, TRAF3, CCL5, IL1B, PGAM5, NOD2, DNM1L, IL18R1",7.24534820540397e-06,7.647867550148635e-05
hsa04622:RIG-I-like receptor signaling pathway,"CYLD, SIKE1, DDX3X, MAP3K1, TBK1, STING1, TRAF3, IKBKE",1.8622037755818395e-05,0.00017690935868027477
