Actual_From,Actual_To,Weight,Degree_Row,Degree_Col
14,795,0.0363540570193627,4,10
14,796,0.0363006620256127,4,10
14,797,0.0363926847044117,4,10
14,1239,0.0245188407157107,4,15
15,795,0.0345559891821078,4,10
15,796,0.0345324024063725,4,10
15,797,0.0346002206987744,4,10
15,1239,0.0231403394175244,4,15
16,19,0.0250233983299018,14,4
16,813,0.0356240221731883,14,2
17,1196,0.0450285843474999,2,21
17,1197,0.0435427292416127,2,23
18,1196,0.061964071192696,2,21
18,1197,0.0605702136789704,2,23
19,1196,0.0507802713717646,2,21
19,1197,0.049466267597745,2,23
20,1196,0.0514009547683724,2,21
20,1197,0.0499743510030685,2,23
21,838,0.0479910691508267,3,19
21,839,0.0462436530523202,3,19
21,840,0.0489553647474738,3,19
22,999,0.1059478013756371,2,5
22,1000,0.1080765172109803,2,5
23,999,0.0969945264950979,2,5
23,1000,0.0952739106990195,2,5
24,999,0.0974905414017155,2,5
24,1000,0.0977585387344117,2,5
25,999,0.0991232518808823,2,5
25,1000,0.0987092027442646,2,5
26,999,0.100443879192647,2,5
26,1000,0.1001818303622548,2,5
28,147,0.0552820342244117,3,7
28,953,0.0909793687820261,3,5
28,1238,0.0938868292703692,3,5
29,147,0.0517162828311437,3,7
29,953,0.0836371913421568,3,5
29,1238,0.0876992065821045,3,5
30,466,0.053250684115914,3,7
30,469,0.0273812301218757,3,24
31,466,0.0556330065354136,3,7
31,469,0.0264742333660822,3,24
32,464,0.0240087169232232,2,32
32,465,0.0242781486378617,2,32
33,460,0.0360635490945685,5,14
33,461,0.0223645098909352,5,15
33,462,0.0222429472850038,5,15
33,1339,0.1161009374686274,5,4
34,466,0.0440735731352426,4,7
34,469,0.0238563374028896,4,24
35,466,0.0463754430336028,4,7
35,469,0.023085094472908,4,24
36,279,0.5,2,1
36,1178,0.5,2,1
38,321,0.0555555555555555,18,1
38,936,0.0332605020873637,18,3
38,937,0.033150630486928,18,3
39,98,0.0657401245539215,10,2
39,99,0.0652012264098038,10,2
39,393,0.0502330015499999,10,6
39,496,0.073621199035294,10,2
39,685,0.056414826862745,10,4
39,686,0.0394004251093136,10,16
39,687,0.0412836552389215,10,14
39,688,0.0733414385999999,10,2
41,1040,0.185494892517647,1,10
43,369,0.0582957404960783,6,6
43,1121,0.0296483419800653,6,10
43,1122,0.0284923883983659,6,10
43,1123,0.0265195927638888,6,8
43,1348,0.0760408806521241,6,3
49,560,0.1451389719191176,4,4
49,562,0.1444650050980392,4,4
49,1312,0.1241659806975489,4,3
49,1336,0.0465365218299509,4,25
50,259,0.0204853576605267,11,17
50,381,0.0201024928674598,11,18
50,410,0.0201176643008323,11,18
50,411,0.020419120794532,11,18
50,420,0.0204424640405052,11,17
50,422,0.0196498874505516,11,18
