"","Actual_From","Actual_To","Weight","Degree_Row","Degree_Col"
"16",36,279,0.5,2,1
"17",36,1178,0.5,2,1
"18",41,1040,0.185494892517647,1,10
"67",151,155,0.291940740864706,1,4
"69",155,497,0.115448512580915,3,3
"70",155,563,0.158516196025163,3,4
"71",155,564,0.114272789795098,3,9
"73",158,497,0.333247174641961,1,3
"74",159,497,0.320407286614608,1,3
"76",163,164,0.166666666666667,6,1
"77",163,775,0.109586986197712,6,2
"78",163,1151,0.108745275111111,6,2
"79",163,1152,0.110926896488562,6,2
"80",163,1365,0.113711808009804,6,2
"81",163,1366,0.113898707573529,6,2
"82",167,233,0.2,5,1
"83",167,1384,0.100775781833333,5,4
"88",197,663,0.187336025618333,1,6
"91",206,663,0.187459889508235,1,6
"92",207,663,0.181626282050882,1,6
"96",211,1062,0.596056175490196,1,3
"108",233,694,0.280605981112745,2,2
"114",279,211,0.225682618754902,1,5
"127",317,1261,0.171347939778431,1,5
"129",322,323,0.1,10,1
"130",323,324,0.105830118307843,5,2
"131",324,1150,0.0818043104632352,4,3
"136",369,367,0.143562138952941,2,3
"137",369,368,0.142301212761274,2,3
"146",391,1261,0.304153213617647,1,5
"158",423,1278,0.174864402544118,2,4
"159",423,1279,0.215807013019608,2,3
"173",538,41,0.185759214382353,3,2
"174",538,1237,0.333333333333333,3,1
"176",564,565,0.5,2,1
"177",564,566,0.5,2,1
"178",566,793,0.112531612080392,1,10
"193",663,1384,0.129880106156366,1,4
"197",683,325,0.111744237069481,1,6
"198",694,64,0.1,10,1
"199",695,696,0.333333333333333,3,1
"200",695,1318,0.138218236001961,3,2
"201",698,1278,0.0910847775992646,2,4
"202",698,1279,0.119275912133725,2,3
"212",745,532,0.0801144872049019,3,3
"213",745,694,0.146262679026471,3,2
"214",746,532,0.102541749890441,2,3
"215",747,532,0.55457303704902,1,3
"220",776,367,0.126424834558824,3,3
"221",776,368,0.128462668777778,3,3
"222",777,367,0.111200405973856,3,3
"223",777,368,0.110003189931372,3,3
"225",779,369,0.0815438107084604,1,6
"229",800,826,0.341688252377549,1,2
"236",826,1040,0.0890718270245097,1,10
"238",830,1040,0.0820242093186274,1,10
"248",846,1202,1,1,1
"274",1040,155,0.274551354634314,1,4
"275",1056,391,0.0913941631988795,7,2
"277",1058,1055,0.0833984663602941,4,3
"278",1058,1056,0.0885156934019607,4,3
"279",1062,166,0.104827881494118,5,3
"280",1062,167,0.103068577271765,5,3
"291",1095,1055,0.208873672960784,2,3
"292",1095,1056,0.183942158544118,2,3
"293",1096,1055,0.124329395095098,2,3
"294",1096,1056,0.139026455710784,2,3
"296",1100,779,0.0814623895924019,4,3
"314",1123,779,0.102753320576471,5,3
"321",1150,325,0.147718908545752,3,6
"322",1150,683,0.159630672647059,3,5
"323",1150,684,0.175920739372549,3,4
"324",1151,318,0.160058439826797,3,5
"325",1151,841,0.167534931078431,3,5
"326",1151,842,0.161034357794118,3,5
"336",1200,1203,0.111111111111111,9,1
"337",1200,1204,0.111111111111111,9,1
"349",1237,1261,0.100660206469608,2,5
"361",1260,1100,0.107947580035948,3,3
"362",1261,1091,0.125,8,1
"364",1278,1280,0.0938752676245097,2,5
"365",1279,1280,0.0954941809117647,2,5
"366",1279,1281,0.0800286648171568,2,6
"367",1281,970,0.125,8,1
"368",1281,971,0.125,8,1
"369",1281,972,0.125,8,1
"370",1281,973,0.125,8,1
"378",1306,793,0.112835052687255,1,10
"380",1308,793,0.0914020437558823,1,10
"381",1309,793,0.0861284503735293,1,10
"382",1310,793,0.0909792859490195,1,10
"383",1311,1200,0.107669098098039,3,4
"384",1311,1317,0.333333333333333,3,1
"385",1311,1318,0.195115096879085,3,2
"387",1317,104,0.142857142857143,7,1
"388",1317,846,0.142857142857143,7,1
"389",1318,309,0.333333333333333,3,1
"392",1325,41,0.442722356735294,1,2
"396",1340,1100,0.175380399534314,2,3
"397",1341,1100,0.325396460509804,1,3
"402",1384,322,0.125,8,1
