"","gene_node_idx","gene_node_name","Weight"
"1203",1202,"SMPD2",1
"847",846,"NSMAF",0.571428571428571
"1326",1325,"TP53BP1",0.442722356735294
"280",279,"CTNND1",0.362841309377451
"801",800,"NAIP",0.341688252377549
"159",158,"CASP4",0.333247174641961
"212",211,"CDH1",0.326138815506268
"160",159,"CASP5",0.320407286614608
"567",566,"IL1RAP",0.306265806040196
"152",151,"CARD16",0.291940740864706
"748",747,"MAPKAPK5",0.280857947092451
"566",565,"IL1R1",0.265844812122246
"565",564,"IL1B",0.259647853555182
"1179",1178,"SIPA1",0.259631254700245
"37",36,"AFDN",0.252407971611583
"42",41,"AIM2",0.249867839038235
"533",532,"HSPB1",0.245743091381454
"697",696,"LTB",0.204985603862016
"1238",1237,"STING1",0.201540450880957
"424",423,"FMOD",0.195335707781863
"1318",1317,"TNFRSF1A",0.191525018978946
"392",391,"EXOC2",0.187790892568018
"207",206,"CD8A",0.187459889508235
"198",197,"CD4",0.187336025618333
"208",207,"CD8B",0.181626282050882
"539",538,"IFI16",0.181518960177996
"234",233,"CLEC7A",0.179126431610823
"318",317,"DDX3X",0.171347939778431
"1041",1040,"PYCARD",0.169025389230275
"310",309,"DAB2IP",0.168712159914418
"165",164,"CASTOR2",0.166666666666667
"696",695,"LTA",0.16599919796686
"1342",1341,"TSC2",0.16476703288305
"498",497,"GSDMD",0.153759318422485
"1319",1318,"TNFRSF1B",0.148570494566358
"156",155,"CASP1",0.145664576982776
"105",104,"BAG4",0.142857142857143
"1063",1062,"RAPGEF1",0.140568517342933
"827",826,"NLRC4",0.13466020337765
"368",367,"EIF4E",0.12706245982854
"369",368,"EIF4E2",0.126922357156808
"1152",1151,"SEC13",0.126000691111786
"1092",1091,"REL",0.125
"664",663,"LCK",0.123001578685065
"164",163,"CASTOR1",0.120589390007898
"1101",1100,"RHEB",0.11945282969971
"695",694,"LSP1",0.116132363794307
"1307",1306,"TLR5",0.112835052687255
"1151",1150,"SCRIB",0.111197458610158
"1312",1311,"TNF",0.109058365626505
"1280",1279,"TGFB3",0.105835905410037
"1096",1095,"RGL1",0.101491880009785
"1309",1308,"TLR7",0.0914020437558822
"1311",1310,"TLR9",0.0909792859490195
"370",369,"EIF4EBP1",0.0884979915166921
"1204",1203,"SMURF1",0.0864036592941726
"1310",1309,"TLR8",0.0861284503735293
"684",683,"LLGL1",0.085660255510592
"1205",1204,"SMURF2",0.0824654731170181
"831",830,"NLRP6",0.0820242093186273
"1279",1278,"TGFB1",0.0809786191819114
"1057",1056,"RALB",0.0807075065299312
"699",698,"LTBP1",0.0803679502110252
"1056",1055,"RALA",0.0767552872657551
"168",167,"CBLB",0.0756843166514323
"324",323,"DLG3",0.0756543262018664
"323",322,"DLG1",0.0737000690894648
"1262",1261,"TBK1",0.0735563244949842
"780",779,"MLST8",0.0728110557071366
"1153",1152,"SEH1L",0.0710220402846775
"1097",1096,"RGL2",0.0691720962423246
"972",971,"PPP2CB",0.0677320706321988
"973",972,"PPP2R1A",0.0664030435332681
"971",970,"PPP2CA",0.0663934692647393
"776",775,"MIOS",0.0663776121305533
"974",973,"PPP2R1B",0.0660102480432426
"685",684,"LLGL2",0.0638023857440072
"1366",1365,"WDR24",0.062965370054087
"326",325,"DLG5",0.0628431917857875
"1367",1366,"WDR59",0.0624574695437903
"167",166,"CBL",0.0623291906197949
"325",324,"DLG4",0.0607427261589106
"1282",1281,"TGFBR2",0.0600800002480215
"843",842,"NPRL3",0.0576667184263798
"65",64,"ARHGEF12",0.0541277134134554
"319",318,"DEPDC5",0.0532028231896252
"1341",1340,"TSC1",0.0494538095783534
"1385",1384,"ZAP70",0.0485919437143924
"842",841,"NPRL2",0.048345858364219
"777",776,"MKNK1",0.0471404487185259
"1281",1280,"TGFBR1",0.0463003480665269
"564",563,"IL18",0.0427546104903488
"746",745,"MAPKAPK2",0.042641404662425
"778",777,"MKNK2",0.0414427247213947
"1201",1200,"SMAD7",0.0350839358879242
"1124",1123,"RPTOR",0.0349498123869851
"794",793,"MYD88",0.0348294742353234
"747",746,"MAPKAPK3",0.0322721633229805
"1059",1058,"RALGDS",0.0321827664065462
"1261",1260,"TBC1D7",0.0240172920890874
