Actual_From,Actual_To,Weight
14,795,0.16794920667647056
14,796,0.16472126516176472
14,797,0.16445300447058822
14,1239,0.11922189796323529
15,795,0.18338877286764704
15,796,0.17943778638235294
15,797,0.17945884750000002
15,1239,0.13128080866176473
16,19,0.3579241755882353
16,124,0.1642013727205882
16,731,0.0771168418235294
16,733,0.09605161502352942
16,734,0.09667119570147059
16,735,0.09659261273529413
16,736,0.09100414760294118
16,737,0.07772147175588236
16,813,0.4961721797058823
16,1195,0.33361309727941174
16,1196,0.14697790694558824
16,1197,0.14732372271911764
16,1199,0.3291512867647059
16,1201,0.3333239328970588
17,1196,0.15057667152941176
17,1197,0.15024596869558823
18,1196,0.23584652536764708
18,1197,0.23570448710294117
19,1196,0.15931235819117645
19,1197,0.15930879352941177
20,1196,0.18592804320588233
20,1197,0.18599312863235293
21,838,0.2591654568529412
21,839,0.2601320500529412
21,840,0.25869143224117647
22,999,0.21253316819117646
22,1000,0.21485969280882355
23,999,0.19535380324999999
23,1000,0.194864405
24,999,0.17991773235294117
24,1000,0.17724888514705883
25,999,0.21192352455882352
25,1000,0.21308242736764707
26,999,0.20027177373529412
26,1000,0.1999445850735294
28,147,0.14712367341176472
28,953,0.2968487282352941
28,1238,0.39469288550735293
29,147,0.14540899370588237
29,953,0.24094514944117648
29,1238,0.2532387159941176
30,466,0.1656307123117647
30,468,0.06918058883823529
30,469,0.11391559789852941
31,466,0.1852311340735294
31,468,0.05897709764264706
31,469,0.12144099219411764
32,464,0.05535876781323529
32,465,0.05618916628529412
33,460,0.28110939268088236
33,461,0.1329947695367647
33,462,0.12876576302941176
33,468,0.046977055872058825
33,1339,0.9572002357352941
34,464,0.0726717135367647
34,465,0.0778041024132353
34,466,0.21005930829411765
34,469,0.1455746480735294
35,464,0.08891306404632353
35,465,0.09816887150794118
35,466,0.24930244040588234
35,469,0.18818842189294116
36,279,1.0
36,1178,1.0
37,910,0.09686669497058824
37,911,0.1350627906235294
37,912,0.13221178825000002
37,914,0.10550956007352941
37,915,0.13035294469117645
37,916,0.13167985866764706
38,297,0.22615310335294117
38,321,1.0
38,627,0.07283705236029411
38,910,0.07883371339705882
38,911,0.0939805969632353
38,912,0.09344975726470588
38,914,0.08335026177941177
38,915,0.09310264217647059
38,916,0.09312185483823529
38,933,0.16434384036764704
38,934,0.17434158613235293
38,935,0.06913074535294117
38,936,0.9316785408823529
38,937,0.8652927316176471
38,938,0.2234110987352941
38,939,0.25656553579411767
38,940,0.15419760595588236
38,1008,0.22307671882352942
39,98,0.6810943761764705
39,99,0.6454232807352941
39,290,0.09271923120632353
39,291,0.09234224627352941
39,393,0.9252120382352941
39,496,0.9650055345588235
39,685,0.9193761844117647
39,686,0.8567664668529412
39,687,0.8791256669852942
39,688,0.9549766295588235
41,1040,0.16671945661764706
42,43,0.12170227414705884
42,69,0.09271716727941176
42,70,0.054928469647058824
42,71,0.1339938133088235
42,103,0.15171523588235294
42,108,0.030285648757352943
42,129,0.3341242830882353
42,162,0.2262602480882353
42,215,0.10451712817647059
42,216,0.16113923104411765
42,227,0.08314887954411765
42,249,0.1516360298382353
42,250,0.14211259288235292
42,251,0.10570335580882352
42,252,0.12312980883823528
42,253,0.10442865948529412
42,429,0.08674130936764707
42,430,0.11498095330882353
42,431,0.11744968629411764
42,498,0.3673299635294118
42,499,0.17734666930882353
42,549,0.11461590516617648
42,551,0.07889775236029412
42,710,0.32139103255882356
42,723,0.21863483372058823
42,726,0.3696688081323529
42,731,0.08943457002941177
42,737,0.10886593835294119
42,752,0.2882133106617647
42,789,0.09775741640441177
42,819,0.1066916685882353
42,821,0.16549512977941178
42,822,0.21276148188235294
42,823,0.21251640913970588
42,837,0.08303212743235294
42,844,0.3662545797647059
42,872,0.14099618331617647
42,887,0.16765020913235296
42,960,0.224998752
42,961,0.1806753975
42,962,0.15858196692647059
42,966,0.35674346001470586
42,967,0.34494482279411764
42,968,0.35099555823529416
42,969,0.35096230529411765
42,1054,0.06762699845588235
42,1092,0.1118672706617647
42,1259,0.36415193802941176
42,1260,0.2026778992352941
42,1340,0.13984077176470588
42,1341,0.14373662247058824
43,369,0.47481469905882356
43,789,0.09121342112941176
43,1121,0.1883783104117647
43,1122,0.18041209644117648
43,1123,0.15251736661764706
43,1348,0.47487542055882354
44,43,0.12093094964705883
44,69,0.09547542383823529
44,70,0.054245838823529416
44,71,0.1376961548235294
44,103,0.1443358186764706
44,108,0.028506154227941175
44,129,0.33518852455882353
44,162,0.22395058764705883
44,215,0.10289748975
44,216,0.14135084835294118
44,227,0.0805907343382353
44,249,0.1371313994485294
44,250,0.12969600413235294
44,251,0.09710382967647059
44,252,0.11239956194117648
44,253,0.09560815098529411
44,429,0.08162854952941176
44,430,0.10871008805882354
44,431,0.1116137029117647
44,498,0.34438528920588235
44,499,0.16562579710294117
44,549,0.10544917680882353
44,551,0.0742658568235294
44,710,0.30120795448529414
44,723,0.19371238375000002
44,726,0.34498980625
44,731,0.08442887882352941
44,737,0.10044322235294117
44,752,0.2769125838382353
44,789,0.08881565826470587
44,819,0.09878998252941176
44,821,0.15816085472058825
44,822,0.20514035385294116
44,823,0.20479207110294118
44,837,0.0746053603632353
44,844,0.34382974727941173
44,872,0.12644470537794117
44,887,0.1564829985882353
44,960,0.21556053427941177
44,961,0.17831364332352942
44,962,0.15738769022058824
44,966,0.34154138338235296
44,967,0.3377278292647059
44,968,0.34010126661764706
44,969,0.3368193358823529
44,1054,0.06672629775
44,1092,0.10758291880882354
44,1259,0.34392285195588235
44,1260,0.18732535476470588
44,1340,0.12799675048529413
44,1341,0.13130615823529412
45,43,0.11629472420588235
45,69,0.0939772970882353
45,70,0.04987056361764706
45,71,0.12681368036764706
45,103,0.1402862524852941
45,108,0.02769214226470588
45,129,0.3306871952941176
45,162,0.21498130161764706
45,215,0.10486892097058824
45,216,0.14399291720588236
45,227,0.07873239051470587
45,249,0.09060843714705882
45,250,0.0929177990882353
45,251,0.07201431647058824
45,252,0.07959226717647058
45,253,0.07163518201470588
45,429,0.06396376
45,430,0.07843259673529411
45,431,0.07852230155882353
45,498,0.28828475691176475
45,499,0.11759939605882354
45,549,0.0705856574735294
45,551,0.05376769627941176
45,710,0.24796084195588233
45,723,0.14653873526470587
45,726,0.2853413855882353
45,731,0.06941709561764707
45,737,0.06763828847058824
45,752,0.22457622120588236
45,789,0.057792607132352944
45,819,0.07568380927941176
45,821,0.11829708754411765
45,822,0.14417037675
45,823,0.14864680713970588
45,837,0.04889911169705882
45,844,0.2880940914558824
45,872,0.08796665610294119
45,887,0.12334365754411766
45,960,0.19494977132352942
45,961,0.16836474051470587
45,962,0.1519347594117647
45,966,0.30171515891176476
45,967,0.31732734602941176
45,968,0.30890317779411763
45,969,0.3122183570588235
45,1054,0.06235762373529412
45,1092,0.09458564682352942
45,1259,0.2919252131470588
45,1260,0.14047782419117646
45,1340,0.0937441695882353
45,1341,0.09336606442647058
49,560,0.964553823382353
49,562,0.9747952863235295
49,1312,0.37519248366176466
49,1336,0.2431269907529412
50,259,0.5168999577647059
50,381,0.5085282884411765
50,410,0.5080123352941177
50,411,0.5245754403235294
50,419,0.3827898444485294
50,420,0.5057286892352941
50,422,0.5065199345882353
50,546,0.5175073651617648
50,585,0.3079464444852941
50,641,0.516571733632353
50,880,0.44716365889705884
51,259,0.4333519653786765
51,381,0.42316031905779417
51,410,0.4200304813779412
51,411,0.43618263566507354
51,419,0.2962711431544118
51,420,0.42392126701029414
51,422,0.41850596305382354
51,546,0.4292474216117647
51,585,0.22460895887573532
51,641,0.4313579051879412
51,880,0.36970034317941175
52,162,0.2351528901470588
53,390,1.0
53,893,1.0
53,894,1.0
53,1300,1.0
53,1301,1.0
53,1353,1.0
54,100,0.1973678395882353
54,101,0.16731923489705883
54,277,0.15161046815
54,345,0.23501488613235294
54,346,0.24060275826176472
54,347,0.2410737623382353
54,1183,0.29750924115882355
54,1267,0.24340874716911762
55,54,0.23195605720588233
55,100,0.22223411180882355
55,101,0.1694239789264706
55,277,0.10385016752941177
55,345,0.1890571178235294
55,346,0.19124877566176468
55,347,0.19175722027058822
55,1183,0.23026899836764708
55,1267,0.19164808269117647
56,57,0.24690939514705884
56,838,0.1435183530036765
56,839,0.14659002655735293
56,840,0.14397260308735293
56,1019,0.25558536352941175
56,1020,0.4059530932352941
56,1021,0.8413295482352942
57,838,0.16023335153088233
57,839,0.16051824667794118
57,840,0.15991516594411764
58,707,0.2931770568529412
58,708,0.2912730177647059
59,1101,0.10539519961764707
60,941,0.11977068720588235
