Actual_From,Actual_To,Weight
14,795,0.10279231576923079
14,796,0.1035829060903846
14,797,0.10399793302692309
14,1239,0.06978751980769231
15,795,0.10411075976538461
15,796,0.10485748681346152
15,797,0.10542865114615385
15,1239,0.07080428924230768
16,19,0.2961517598153846
16,124,0.15263655025576922
16,731,0.0351964883923077
16,733,0.03365918451730769
16,734,0.034205546234615386
16,735,0.032357785146153846
16,736,0.03490630706730769
16,737,0.034483782496153845
16,813,0.49927973119230773
16,1195,0.15965476082115385
16,1196,0.06529408568269231
16,1197,0.06041883228076923
16,1199,0.1491487552596154
16,1201,0.13664272593461538
17,1196,0.062364090526923086
17,1197,0.05785287959038462
18,1196,0.06087677270961539
18,1197,0.05644781908461538
19,1196,0.06369590286538461
19,1197,0.05903037135
20,1196,0.062135878750000005
20,1197,0.05752630875576924
21,838,0.06597496805576923
21,839,0.06486541473846155
21,840,0.06729513468461538
22,999,0.20732369800192307
22,1000,0.2121738074096154
23,999,0.1966335334192308
23,1000,0.19524016590192309
24,999,0.1997129061846154
24,1000,0.19990034218269231
25,999,0.198377131075
25,1000,0.19677169120576923
26,999,0.19795273294423074
26,1000,0.19591399275384616
28,147,0.1482830412076923
28,953,0.21382417988269237
28,1238,0.22501877659423078
29,147,0.14658260748653845
29,953,0.2021265832403846
29,1238,0.22511143620961543
30,466,0.1614368712230769
30,468,0.030536689069230773
30,469,0.05246588702980769
31,466,0.16785394844038462
31,468,0.03085388154615385
31,469,0.056240187817307684
32,464,0.035298934375
32,465,0.035051998584615385
33,460,0.09654875338269231
33,461,0.07976491068846155
33,462,0.0828297255576923
33,468,0.03080639206923077
33,1339,0.3279782469615385
34,464,0.03537942594423077
34,465,0.03513664502730769
34,466,0.15958214185769232
34,469,0.05124127027596154
35,464,0.03415068330384615
35,465,0.0346318892
35,466,0.16207964408461537
35,469,0.0536527291
36,279,1.0
36,1178,1.0
37,910,0.0270292624625
37,911,0.022879580429807693
37,912,0.02314455033923077
37,914,0.023897260353846154
37,915,0.023176672448846154
37,916,0.02369826471923077
38,297,0.16048898754423074
38,321,1.0
38,627,0.021352586893269233
38,910,0.03243193402788462
38,911,0.024108414582692306
38,912,0.024425853765384618
38,914,0.02480827628557692
38,915,0.024858348071153846
38,916,0.025589451601923073
38,933,0.02404470321821154
38,934,0.038949384746730764
38,935,0.05303492869807693
38,936,0.3551587924038461
38,937,0.36075299928846155
38,938,0.12429163596538462
38,939,0.05748593720307692
38,940,0.07994027767692308
38,1008,0.159907835275
39,98,0.5863481421826922
39,99,0.5795255283269231
39,290,0.050605161115384614
39,291,0.05063894567692308
39,393,0.24226205103846157
39,496,0.5915341895576922
39,685,0.33967618198076927
39,686,0.10269160115961537
39,687,0.11432908038076924
39,688,0.5945587598269231
41,1040,0.12922087233461538
42,43,0.11482904194423078
42,69,0.07901180059999999
42,70,0.043338198249999994
42,71,0.11756588702692308
42,103,0.11397882589038462
42,108,0.02259263402785
42,129,0.32867475515384614
42,162,0.21331734920961537
42,215,0.06573560649807693
42,216,0.11821231134115384
42,227,0.05880651833115384
42,249,0.08273451367115385
42,250,0.0880993608673077
42,251,0.0558234268326923
42,252,0.07052877660384615
42,253,0.05312610106346154
42,429,0.0385657944826923
42,430,0.03437828900192308
42,431,0.044407711851923076
42,498,0.3279412755
42,499,0.08231082221153847
42,549,0.04587141809423077
42,551,0.04218319236153846
42,710,0.079134056425
42,723,0.13847898620384616
42,726,0.32802818914423076
42,731,0.033386800490384616
42,737,0.03276156015192307
42,752,0.17676104249423077
42,789,0.04616644263461539
42,819,0.034085917898076926
42,821,0.07973819037115386
42,822,0.1373757987980769
42,823,0.13599853786923077
42,837,0.04989238153846154
42,844,0.26408012725769225
42,872,0.12161296073846155
42,887,0.12511869424807692
42,960,0.2315545709596154
42,961,0.17037650172884616
42,962,0.15179361857884616
42,966,0.3255710736134615
42,967,0.33112171228846154
42,968,0.328657386525
42,969,0.32874108653461537
42,1054,0.050407063596153844
42,1092,0.040170612867307685
42,1259,0.3284888203653846
42,1260,0.09475809057692308
42,1340,0.06562549978846154
42,1341,0.061548564798076924
43,369,0.2111737090576923
43,789,0.05089083639038462
43,1121,0.12031314299134614
43,1122,0.12759188871153845
43,1123,0.14171574241923077
43,1348,0.3927889317884615
44,43,0.11471238782884616
44,69,0.0812659919076923
44,70,0.0447993878875
44,71,0.12016442456923078
44,103,0.11467807732307693
44,108,0.02289897255230769
44,129,0.33314044051923075
44,162,0.21181133815384615
44,215,0.0665901424173077
44,216,0.11802708526538463
44,227,0.05942426487692308
44,249,0.08388975142115385
44,250,0.08834723338653847
44,251,0.05590397090576923
44,252,0.0708266950576923
44,253,0.05354543321730769
44,429,0.03845504990961538
44,430,0.03490276948076923
44,431,0.04604590319038461
44,498,0.33275901309615386
44,499,0.0837570767903846
44,549,0.04676428355
44,551,0.04273556402884615
44,710,0.08080073592115385
44,723,0.14100964034807692
44,726,0.3325431443076924
44,731,0.03429505024615385
44,737,0.033270469496153844
44,752,0.17509396160576923
44,789,0.04712740146730769
44,819,0.03447294867499999
44,821,0.08053015740192307
44,822,0.14005425457884618
44,823,0.13860167898846154
44,837,0.05048895441923077
44,844,0.2688518343653846
44,872,0.1234166354423077
44,887,0.12709836117307693
44,960,0.23408688732307695
44,961,0.17502250852884615
44,962,0.15352878063653846
44,966,0.3336269334307692
44,967,0.3324499575
44,968,0.3358220679807692
44,969,0.330501936875
44,1054,0.05270216615769231
44,1092,0.0418373924
44,1259,0.3326780132307693
44,1260,0.09608628736153846
44,1340,0.0664478117923077
44,1341,0.06299402247884615
45,43,0.116944931
45,69,0.08115936666807692
45,70,0.045594527764423076
45,71,0.12032168520576922
45,103,0.11580177722115384
45,108,0.023438049576038462
45,129,0.3381848055769231
45,162,0.21479326430192308
45,215,0.06697169351153846
45,216,0.12016512146211537
45,227,0.06075984870846154
45,249,0.08516138036923075
45,250,0.08958430952307692
45,251,0.056590913603846146
45,252,0.07183391548461537
45,253,0.05409989954038462
45,429,0.03900166007115384
45,430,0.035117490667307696
45,431,0.04681337472115384
45,498,0.3392997135961539
45,499,0.08522793022692307
45,549,0.04762751505
45,551,0.043338783325
45,710,0.08239667817307691
45,723,0.14395318269999996
45,726,0.33942866615384615
45,731,0.0346662966
45,737,0.03384714829038461
45,752,0.17862713677884615
45,789,0.04796367641538461
45,819,0.03483637486346154
45,821,0.08129388844615384
45,822,0.14284434719038458
45,823,0.1412508688
45,837,0.05140541222884616
45,844,0.2743471978269231
45,872,0.12573280787115385
45,887,0.12814351509423078
45,960,0.24233953679807696
45,961,0.17576033623653844
45,962,0.1554186724903846
45,966,0.3408019926923077
45,967,0.3364283304038461
45,968,0.3355205466423077
45,969,0.34075697638461533
45,1054,0.05266957747115385
45,1092,0.04263080197692308
45,1259,0.3388331649423077
45,1260,0.09752878747115384
45,1340,0.06715834748076924
45,1341,0.06410467293846153
49,560,0.3340476599423076
49,562,0.32313294863461534
49,1312,0.3695363492692308
49,1336,0.05564709977307693
50,259,0.08698016963076922
50,381,0.08005874232115384
50,410,0.07885314046923077
50,411,0.0844493523596154
50,419,0.06777085394807691
50,420,0.0830413969923077
50,422,0.07818738940192307
50,546,0.0830220899326923
50,585,0.05739112814807692
50,641,0.08940255595769231
50,880,0.06363540455384616
51,259,0.0890698755923077
51,381,0.08220751947884615
51,410,0.08075785504038462
51,411,0.08710348947692306
51,419,0.06907322904038463
51,420,0.08503702619615383
51,422,0.0806855512576923
51,546,0.08610587106346154
51,585,0.05869037982692308
51,641,0.09253548668653847
51,880,0.06756176065
52,162,0.21515432131730772
53,390,1.0
53,893,1.0
53,894,1.0
53,1300,1.0
53,1301,1.0
53,1353,1.0
54,100,0.1344168990130577
54,101,0.11698119561730769
54,277,0.0607069018601923
54,345,0.07186854410000001
54,346,0.06672551899096153
54,347,0.06347477355
54,1183,0.21733952924807692
54,1267,0.08257164043653846
55,54,0.17698213820576922
55,100,0.13765139769415385
55,101,0.11848038038942307
55,277,0.06217284101730769
55,345,0.07362222970961538
55,346,0.06842258407692307
55,347,0.06467826179807692
55,1183,0.22350954554423078
55,1267,0.08480142549807693
56,57,0.221458398
56,838,0.068689623125
56,839,0.07143794531153846
56,840,0.07143520953846154
56,1019,0.22986972553846155
56,1020,0.2902763880192308
56,1021,0.5695057888846153
57,838,0.07039837350576923
57,839,0.07045803220961537
57,840,0.07309244111538463
58,707,0.0971367480076923
58,708,0.0960610107923077
59,1101,0.07075924405965385
60,941,0.09893025367692307
60,942,0.10096417908076923
61,941,0.09873043023846154
61,942,0.10082021834423079
61,1052,0.0518029459051923
62,1101,0.07059821560288462
63,1101,0.07153825672673078
64,522,0.021875199509615383
64,644,0.021567921956730768
64,786,0.035236553288461536
64,845,0.02207677555961538
64,1101,0.07095987734096154
64,1128,0.03432120254615385
64,1129,0.034321202655769226
65,46,0.3002114433115385
65,47,0.3030141111057692
65,50,0.3137147890192308
65,51,0.3036129641807693
65,108,0.021979578716096154
65,215,0.06257615482500001
65,216,0.11195898362192307
65,359,0.3418192537692307
65,376,0.31214176409615385
65,377,0.30541934334615384
65,378,0.29780290830769235
65,419,0.06056039256923077
65,454,0.3342806088269231
65,513,0.25590332719230774
65,514,0.2549609045
65,515,0.2568856188461538
65,516,0.24599425771153846
65,519,0.3124982119230769
65,666,0.32340416774999997
65,667,0.3493260922692308
65,699,0.1936812574230769
65,837,0.04927279226346154
65,883,0.29971747013461536
65,888,0.12382289375961539
65,890,0.3079549601346154
65,891,0.30955393557692307
65,892,0.30391258328846155
65,896,0.37371612715384617
65,1154,0.11126812718846153
65,1190,0.12485979622884616
65,1274,0.30908308307692306
65,1276,0.3184448424423077
65,1293,0.31120783988461537
65,1360,0.06939481346153846
66,67,0.42250321329423074
66,179,0.06131359462736539
66,180,0.05785260217442308
66,181,0.06075075835
66,182,0.059578780177884615
66,183,0.058800102810384614
66,184,0.061367544490192306
66,185,0.0627823088475
66,186,0.06017434166269231
66,187,0.05806523564288461
66,188,0.06054161688134615
66,284,0.062267993875
66,290,0.054366597275
66,291,0.054029682151923074
66,292,0.07256721425403846
66,293,0.061668453049999995
66,294,0.06299852327980769
66,295,0.058693229819230766
66,459,0.12466852393076924
66,483,0.5064783010923077
67,179,0.055070858698173075
67,180,0.056233589755
67,181,0.056294597180769235
67,182,0.056255582797115386
67,183,0.055818090814807694
67,184,0.05715505955769231
67,185,0.056869370581596156
67,186,0.05848594349807692
67,187,0.05573818928269231
67,188,0.05514584005134615
67,284,0.057001321428846154
67,290,0.051885193869230774
67,291,0.051220451371153844
67,292,0.06391282158653847
67,293,0.05673813557307692
67,294,0.05797513636538461
67,295,0.05545774158653847
67,459,0.11971427042692309
67,483,0.4935216984730769
68,1137,1.0
68,1138,0.5977244651346154
69,70,0.04715057750557693
69,108,0.02464890499183846
69,246,0.08044911469807693
69,247,0.07569212324423077
69,251,0.058182470082692304
69,252,0.07535294248653847
69,253,0.05543203900576923
69,254,0.15789043765192307
69,257,0.05793167937692308
69,379,0.12403778363653846
69,444,0.06854491987307691
69,751,0.08907076544038461
69,868,0.06075661968461539
69,1174,0.1424159301
69,1360,0.07499148844807693
69,1361,0.10213914057307691
70,108,0.02665779580774038
70,246,0.0841718555346154
70,247,0.07807250596346153
70,251,0.060112326240384616
70,253,0.05732630217307692
70,444,0.07169084361826923
70,751,0.091814351075
70,868,0.06318261845576922
70,1174,0.14964672752115385
70,1360,0.07764320896346154
70,1361,0.10709805746730769
71,108,0.02436798533861923
71,751,0.08823285327115385
71,1360,0.07394904660000001
71,1361,0.09962252143461539
72,74,0.39113463161538464
72,447,0.1727965006230769
72,448,0.16586137843076923
72,449,0.16612254495
72,749,0.192711418325
73,72,0.19803735052307694
