Actual_From,Actual_To,Weight
14,795,0.9982543485744847
14,796,0.9981350091152117
14,797,1.0
14,1239,0.664419642482053
15,795,0.9991320269529389
15,796,0.9976354661916951
15,797,1.0
15,1239,0.6742058698372927
16,19,0.6930710025674526
16,124,0.33423475144662423
16,731,0.11865414145447556
16,733,0.13281817665456755
16,734,0.1351623774376095
16,735,0.13404919852228597
16,736,0.12391295787700234
16,737,0.11902715304630432
16,813,1.0
16,1195,0.4406136574245454
16,1196,0.23414546921416599
16,1197,0.22952449230033437
16,1199,0.44463383418553676
16,1201,0.4284526605508793
17,1196,1.0
17,1197,0.9712179033060838
18,1196,1.0
18,1197,0.97179949324949
19,1196,1.0
19,1197,0.9758277168817276
20,1196,1.0
20,1197,0.9701193363477691
21,838,0.9893920344016031
21,839,0.9647319588478952
21,840,1.0
22,999,0.9878492557781633
22,1000,1.0
23,999,1.0
23,1000,0.9973846361514064
24,999,0.9962555560804591
24,1000,1.0
25,999,1.0
25,1000,0.9948271268615547
26,999,1.0
26,1000,0.9907965790502864
28,147,0.5865441199446719
28,953,0.9844776017744764
28,1238,1.0
29,147,0.5656935068003277
29,953,0.9581092600245205
29,1238,1.0
30,466,1.0
30,468,0.3173162556913821
30,469,0.534318172423588
31,466,1.0
31,468,0.2705513868380543
31,469,0.5027735174977369
32,464,0.9963351645928046
32,465,1.0
33,460,0.37864280428887914
33,461,0.23329236071845225
33,462,0.23017710344018488
33,468,0.09012351985724132
33,1339,1.0
34,464,0.3344227674589733
34,465,0.35025934448922363
34,466,1.0
34,469,0.5287097937701718
35,464,0.2945385264401854
35,465,0.3011215621816783
35,466,1.0
35,469,0.4980366455406697
36,279,1.0
36,1178,1.0
37,910,0.8661055590433719
37,911,1.0
37,912,0.9796110821853934
37,914,0.8589199831068769
37,915,0.9950185840505188
37,916,0.988152988180307
38,297,0.21423429055192375
38,321,1.0
38,627,0.051418134193398246
38,910,0.05463302076506494
38,911,0.06105125981557133
38,912,0.06022622131208413
38,914,0.05349904359923164
38,915,0.06049715134142393
38,916,0.06112288105759063
38,933,0.09481113386440469
38,934,0.10039938745961619
38,935,0.11547581532884697
38,936,0.6037540812564105
38,937,0.6013034519038465
