"","gene_node_idx","gene_node_name","Weight"
"109",151,"CARD16",1
"114",158,"CASP4",1
"115",159,"CASP5",1
"119",164,"CASTOR2",1
"227",313,"DCHS1",1
"277",382,"ERBIN",1
"292",401,"FAT4",1
"321",456,"GHRL",1
"322",457,"GIPR",1
"388",566,"IL1RAP",1
"523",783,"MOB1A",1
"524",784,"MOB1B",1
"530",800,"NAIP",1
"541",815,"NF2",1
"546",826,"NLRC4",1
"548",830,"NLRP6",1
"549",831,"NLRP7",1
"586",881,"PDHA1",1
"587",882,"PDHB",1
"622",951,"POMC",1
"668",1022,"PSTPIP1",1
"673",1028,"PTGER2",1
"709",1081,"RASSF2",1
"710",1082,"RASSF4",1
"750",1146,"SAV1",1
"866",1325,"TP53BP1",1
"62",82,"ATP2A3",0.999577488050687
"61",81,"ATP2A2",0.999575831306569
"283",390,"EVL",0.999529039290675
"592",893,"PFN1",0.999124098547126
"882",1353,"VASP",0.99900524460751
"593",894,"PFN2",0.99868131567033
"434",637,"KCNMB1",0.996976873459917
"435",638,"KCNMB3",0.996152603033331
"433",636,"KCNMA1",0.996050956992429
"654",990,"PPP4R3A",0.994808539749221
"773",1175,"SIK2",0.994371748598376
"346",502,"HCAR2",0.994336946714829
"653",989,"PPP4C",0.994141071052202
"655",991,"PPP4R3B",0.994141071052202
"815",1244,"SUCNR1",0.993698053059265
"347",503,"HCAR3",0.993470109772482
"296",409,"FFAR2",0.993073426107237
"337",489,"GRIN3A",0.98911487048382
"606",922,"PKM",0.989073417734162
"336",488,"GRIN2D",0.988680396114809
"63",83,"ATP2B1",0.988457087927992
"64",84,"ATP2B4",0.988289260041262
"335",487,"GRIN2C",0.988268426961629
"327",466,"GNAL",0.988128698957291
"68",88,"ATP6V1C2",0.984320549820278
"65",85,"ATP6V1A",0.983860314776437
"74",94,"ATP6V1H",0.982796789734111
"811",1240,"STK4",0.982725701375577
"69",89,"ATP6V1D",0.98224444974649
"72",92,"ATP6V1F",0.981978477277272
"67",87,"ATP6V1C1",0.981673009537622
"71",91,"ATP6V1E2",0.978938173834317
"66",86,"ATP6V1B2",0.978854575804811
"73",93,"ATP6V1G1",0.97835365724313
"402",588,"IRAG1",0.9775149078871
"758",1157,"SESN2",0.977308385227459
"626",955,"PPBP",0.974493221842665
"558",841,"NPRL2",0.974194091026374
"41",53,"APBB1IP",0.972836361845994
"45",58,"ARAF",0.971352424515379
