gene_node_idx,gene_node_name
0,ABL1
1,ABL2
2,ACAA1
3,ACACA
4,ACACB
5,ACADM
6,ACOX1
7,ACOX3
8,ACSL1
9,ACSL3
10,ACSL4
11,ACSL5
12,ACSL6
13,ACTA2
14,ACTB
15,ACTG1
16,ACVR1
17,ACVR1B
18,ACVR1C
19,ACVR2A
20,ACVR2B
21,ADAM17
22,ADCY1
23,ADCY3
24,ADCY4
25,ADCY7
26,ADCY9
27,ADGRB1
28,ADIPOR1
29,ADIPOR2
30,ADORA2A
31,ADORA2B
32,ADORA3
33,ADRA2A
34,ADRB1
35,ADRB2
36,AFDN
37,AGAP2
38,AGER
39,AGT
40,AIFM2
41,AIM2
42,AKT1
43,AKT1S1
44,AKT2
45,AKT3
46,ALDOA
47,ALDOC
48,AMOT
49,ANAPC5
50,ANGPT1
51,ANGPT2
52,APAF1
53,APBB1IP
54,APC
55,APC2
56,APH1A
57,APH1B
58,ARAF
59,ARAP3
60,ARF1
61,ARF6
62,ARHGDIA
63,ARHGDIB
64,ARHGEF12
65,ARNT
66,ARRB1
67,ARRB2
68,ASPH
69,ATF2
70,ATF4
71,ATF6B
72,ATG12
73,ATG16L1
74,ATG5
75,ATM
76,ATP1A1
77,ATP1A3
78,ATP1B1
79,ATP1B2
80,ATP1B3
81,ATP2A2
82,ATP2A3
83,ATP2B1
84,ATP2B4
85,ATP6V1A
86,ATP6V1B2
87,ATP6V1C1
88,ATP6V1C2
89,ATP6V1D
90,ATP6V1E1
91,ATP6V1E2
92,ATP6V1F
93,ATP6V1G1
94,ATP6V1H
95,ATR
96,ATXN1
97,ATXN1L
98,AVPR1A
99,AVPR2
100,AXIN1
101,AXIN2
102,AZI2
103,BAD
104,BAG4
105,BAX
106,BBC3
107,BCL10
108,BCL2
109,BCL2A1
110,BCL2L1
111,BCL2L11
112,BCL3
113,BCL6
114,BECN1
115,BEX3
116,BID
117,BIRC2
118,BIRC3
119,BLNK
120,BMP6
121,BMP8A
122,BMP8B
123,BMPR1A
124,BMPR2
125,BNIP3
126,BORCS8-MEF2B
127,BRAF
128,BRAP
129,BRCA1
130,BRCC3
131,BTK
132,BTRC
133,CAB39
134,CAB39L
135,CACNA1C
136,CACNA1D
137,CACYBP
138,CALM1
139,CALM2
140,CALM3
141,CALML4
142,CAMK1
143,CAMK1D
144,CAMK2D
145,CAMK2G
146,CAMK4
147,CAMKK2
148,CAMP
149,CARD11
150,CARD14
151,CARD16
152,CARD6
153,CARD8
154,CARD9
155,CASP1
156,CASP10
157,CASP3
158,CASP4
159,CASP5
160,CASP7
161,CASP8
162,CASP9
163,CASTOR1
164,CASTOR2
165,CAT
166,CBL
167,CBLB
168,CCL28
169,CCL3
170,CCL3L3
171,CCL4
172,CCL4L2
173,CCL5
174,CCND1
175,CCND2
176,CCND3
177,CCNG1
178,CCNG2
179,CCR1
180,CCR10
181,CCR2
182,CCR3
183,CCR4
184,CCR5
185,CCR6
186,CCR7
187,CCR8
188,CCR9
189,CD14
190,CD19
191,CD22
192,CD247
193,CD28
194,CD36
195,CD38
196,CD3E
197,CD4
198,CD40
199,CD40LG
200,CD72
201,CD79A
202,CD79B
203,CD80
204,CD82
205,CD86
206,CD8A
207,CD8B
208,CDC25B
209,CDC37
210,CDC42
211,CDH1
212,CDK2
213,CDK4
214,CDK6
215,CDKN1A
216,CDKN1B
217,CDKN2A
218,CDKN2B
219,CDKN2D
220,CDON
221,CEBPB
222,CFLAR
223,CHAD
224,CHD8
225,CHEK2
226,CHRM5
227,CHUK
228,CIR1
229,CISH
230,CLEC1B
231,CLEC4D
232,CLEC4E
233,CLEC7A
234,CLIP1
235,CNR1
236,CNTF
237,COL4A3
238,COL4A4
239,COL6A1
240,COL6A2
241,COL6A3
242,COL6A6
243,COL9A2
244,COL9A3
245,COP1
246,CPT1A
247,CPT1B
248,CPT2
249,CREB1
250,CREB3
251,CREB3L2
252,CREB3L4
253,CREB5
254,CREBBP
255,CRK
256,CRKL
257,CRTC2
258,CSF1
259,CSF1R
260,CSF2RA
261,CSF2RB
262,CSF3R
263,CSNK1A1
264,CSNK1A1L
265,CSNK1D
266,CSNK1E
267,CSNK1G1
268,CSNK1G2
269,CSNK1G3
270,CSNK2A1
271,CSNK2A2
272,CSNK2B
273,CTBP1
274,CTBP2
275,CTLA4
276,CTNNA1
277,CTNNB1
278,CTNNBIP1
279,CTNND1
280,CTSB
281,CTSD
282,CUL1
283,CUL3
284,CX3CR1
285,CXCL1
286,CXCL10
287,CXCL16
288,CXCL5
289,CXCL8
290,CXCR1
291,CXCR2
292,CXCR3
293,CXCR4
294,CXCR5
295,CXCR6
296,CYBA
297,CYBB
298,CYCS
299,CYLD
300,CYP27A1
301,CYSLTR1
302,CYSLTR2
303,CYTH1
304,CYTH2
305,CYTH3
306,CYTH4
307,DAAM1
308,DAAM2
309,DAB2IP
310,DAPP1
311,DAXX
312,DBI
313,DCHS1
314,DDB2
315,DDIT3
316,DDIT4
317,DDX3X
318,DEPDC5
319,DHX33
320,DHX58
321,DIAPH1
322,DLG1
323,DLG3
324,DLG4
