subfeature_node_idx,subfeature_names
0,sex-1
1,sex-2
2,age_v1-1
3,age_v1-2
4,age_v1-3
5,hai_rl_v1-1
6,hai_rl_v1-2
7,hai_rl_v1-3
8,fev1z_lk_v1-1
9,fev1z_lk_v1-2
10,fev1z_lk_v1-3
11,inor_Tsadj_res_v1-1
12,inor_Tsadj_res_v1-2
13,inor_Tsadj_res_v1-3
14,TSadj_BP_bcz_v1-1
15,TSadj_BP_bcz_v1-2
16,TSadj_BP_bcz_v1-3
17,_BMI_logz_v1-1
18,_BMI_logz_v1-2
19,_BMI_logz_v1-3
20,_Pulsez_v1-1
21,_Pulsez_v1-2
22,_Pulsez_v1-3
23,_Waistz_v1-1
24,_Waistz_v1-2
25,_Waistz_v1-3
26,_dbp2z_v1-1
27,_dbp2z_v1-2
28,_dbp2z_v1-3
29,_sbp2z_v1-1
30,_sbp2z_v1-2
31,_sbp2z_v1-3
32,albz_v1-1
33,albz_v1-2
34,albz_v1-3
35,animaltotz_v1-1
36,animaltotz_v1-2
37,animaltotz_v1-3
38,cholz_v1-1
39,cholz_v1-2
40,cholz_v1-3
41,d2_logz_v1-1
42,d2_logz_v1-2
43,d2_logz_v1-3
44,d3z_v1-1
45,d3z_v1-2
46,d3z_v1-3
47,digitbwdtotz_v1-1
48,digitbwdtotz_v1-2
49,digitbwdtotz_v1-3
50,digitfwdtotz_v1-1
51,digitfwdtotz_v1-2
52,digitfwdtotz_v1-3
53,digitsymtotz_v1-1
54,digitsymtotz_v1-2
55,digitsymtotz_v1-3
56,fev1z_v1-1
57,fev1z_v1-2
58,fev1z_v1-3
59,fev1fvc_bcz_v1-1
60,fev1fvc_bcz_v1-2
61,fev1fvc_bcz_v1-3
62,fev6z_v1-1
63,fev6z_v1-2
64,fev6z_v1-3
65,gaitspeedz_v1-1
66,gaitspeedz_v1-2
67,gaitspeedz_v1-3
68,hscrp_logz_v1-1
69,hscrp_logz_v1-2
70,hscrp_logz_v1-3
71,logmemdlydtotz_v1-1
72,logmemdlydtotz_v1-2
73,logmemdlydtotz_v1-3
74,logmemimtotz_v1-1
75,logmemimtotz_v1-2
76,logmemimtotz_v1-3
77,mmsetot_bcz_v1-1
78,mmsetot_bcz_v1-2
79,mmsetot_bcz_v1-3
80,ntbnpe_logz_v1-1
81,ntbnpe_logz_v1-2
82,ntbnpe_logz_v1-3
83,pp2z_v1-1
84,pp2z_v1-2
85,pp2z_v1-3
86,stand5time_invnz_v1-1
87,stand5time_invnz_v1-2
88,stand5time_invnz_v1-3
89,tmpPPFEV1z_v1-1
90,tmpPPFEV1z_v1-2
91,tmpPPFEV1z_v1-3
92,tmpPPFEV6z_v1-1
93,tmpPPFEV6z_v1-2
94,tmpPPFEV6z_v1-3
95,transferrin_invnz_v1-1
96,transferrin_invnz_v1-2
97,transferrin_invnz_v1-3
98,weightz_v1-1
99,weightz_v1-2
100,weightz_v1-3
101,_totscorez_invn_v1-1
102,_totscorez_invn_v1-2
103,_totscorez_invn_v1-3
104,creatr_bcz_invn_v1-1
105,creatr_bcz_invn_v1-2
106,creatr_bcz_invn_v1-3
107,cysc_logz_invn_v1-1
108,cysc_logz_invn_v1-2
109,cysc_logz_invn_v1-3
110,fvcz_invn_v1-1
111,fvcz_invn_v1-2
112,fvcz_invn_v1-3
113,gripz_invn_v1-1
114,gripz_invn_v1-2
115,gripz_invn_v1-3
116,abi_bcz_invn_v1-1
117,abi_bcz_invn_v1-2
118,abi_bcz_invn_v1-3
119,armspan_bcz_invn_v1-1
120,armspan_bcz_invn_v1-2
121,armspan_bcz_invn_v1-3
