gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ABL1,0.1383880197722755,0.2556838943264852,0.18624402763572773
ABL2,0.8668653636305004,0.8678635625490941,0.28536143210731163
ACAA1,0.6742588869241051,0.3836500255797762,0.28586593331902843
ACACA,0.5644825037884655,0.43070195564910463,0.6193579789505516
ACACB,0.6130074293939959,0.41387951911303283,0.09572241897008725
ACADM,0.3969246881851866,0.3090002333596031,0.8821788202401613
ACOX1,0.06636425866715276,0.2605296357563352,0.06324657484063895
ACOX3,0.7763146531227555,0.27270422812331935,0.8523214928096221
ACSL1,0.6551598277788772,0.529166411112087,0.0895983396515619
ACSL3,0.39193054847575176,0.1276116922613285,0.8923308037185543
ACSL4,0.4175313515909899,0.013393962730370034,0.042643661383087984
ACSL5,0.5583798026386823,0.7817099641326137,0.5952412746344357
ACSL6,0.9780656391523767,0.8409992455070584,0.30589521925262086
ACTA2,0.27527898237892867,0.02553910334573556,0.4461015340648339
ACTB,0.6307086214920312,0.7345175923283885,0.44822459992219493
ACTG1,0.12080089615994999,0.5918019791995877,0.0758620370890349
ACVR1,0.4332410359462483,0.6108325167518232,0.1027888646058843
ACVR1B,0.2832829188323762,0.4254520380956251,0.2229104446983781
ACVR1C,0.8354977126190273,0.651728826119853,0.6915020412530158
ACVR2A,0.522717469304167,0.06314110489330894,0.3687127942980301
ACVR2B,0.33000490095720986,0.4439015851572206,0.463774132228755
ADAM17,0.8092721364627895,0.6720175312358624,0.22223896698145298
ADCY1,0.7037350827618197,0.9994101117263712,0.43237340149471765
ADCY3,0.10507479405359128,0.019497538724821777,0.1298285420693828
ADCY4,0.7642864870187946,0.7188500015244936,0.1766321771755445
ADCY7,0.7170365763169207,0.9732888514952441,0.22595605271284552
ADCY9,0.4437695930512152,0.529166411112087,0.8996995210702249
ADGRB1,0.7232391303239585,0.796172791162357,0.9035531751063612
ADIPOR1,0.21047501047038913,0.4777299040724328,0.651578042665673
ADIPOR2,0.06253889825933255,0.1601116386626064,0.5706845526624125
ADORA2A,0.06890064868925513,0.025406692597572205,0.3351610234714865
ADORA2B,0.5341258833439698,0.21955655660277984,0.33931857179368924
ADORA3,0.05906697123303183,0.6173883469384668,0.1202181800181877
ADRA2A,0.42793163679541346,0.6398725302108871,0.9555689855039238
ADRB1,0.19774933194541047,0.16913858810633117,0.9154343428260995
ADRB2,0.8261667045097031,0.5843140461938724,0.5060572156981991
AFDN,0.08936740337659388,0.057999686642502664,0.8898476535560754
AGAP2,0.6618622454793752,0.8886944202461295,0.41880151320394504
AGER,0.6422515877471573,0.47023768811854777,0.1796404461903041
AGT,0.12299039135237938,0.01817392335289745,0.8328055892370836
AIFM2,0.4332410359462483,0.22146771581792735,0.9181563355779887
AIM2,0.010738885275551585,0.013516448634141495,0.17329514361117251
AKT1,0.5054228787904441,0.2199470827328159,0.847186396521467
AKT1S1,0.5520461189691753,0.8117045269739488,0.29188122187021603
AKT2,0.1359687082343353,0.025373653858577493,0.9752844064434267
AKT3,0.5520461189691753,0.2758796878073105,0.607019351983849
ALDOA,0.4437695930512152,0.8538664912192652,0.4085134359370024
ALDOC,0.928680803955857,0.3202713510500142,0.25971555874916835
AMOT,0.7577782104428301,0.3562488773147089,0.8661065046616648
ANAPC5,0.3818741781928359,0.10297743357851202,0.1424138558519148
ANGPT1,0.8354977126190273,0.10623151837893964,0.15572482389510636
ANGPT2,0.6742588869241051,0.6632272144435364,0.25224895791869745
APAF1,0.09765939122586009,0.35053446009530653,0.37604032834834006
APBB1IP,0.9025911692509898,0.4952345544231265,0.8843541591436692
APC,0.8618916498157649,0.8728394790603837,0.8136984550404809
APC2,0.9617958625199283,0.1927005257422296,0.4626610315888299
APH1A,0.8933205746772915,0.8477946380168352,0.41050320203722784
APH1B,0.9134721920827671,0.66824547281008,0.9178194569743442
ARAF,0.14085048571043557,0.26542099518670376,0.00439293312400085
ARAP3,0.8509404097599466,0.8278261226195643,0.9989485737809959
ARF1,0.2912438188319573,0.755687579860775,0.2114225585494774
ARF6,0.5170607810483804,0.3041296240561338,0.1908180878187959
ARHGDIA,0.18276464527763955,0.011477190477611875,0.7528949800406287
ARHGDIB,0.10507479405359128,0.4346027081552285,0.23529019855248853
ARHGEF12,0.5341258833439698,0.13362418633864673,0.2351526414903479
ARNT,0.9444108155225589,0.7586412743345756,0.807923413881897
ARRB1,0.22704035681759854,0.014399007809018982,0.12037252259797135
ARRB2,0.2671825440696867,0.28038963364013486,0.4349998343881467
ASPH,0.9592419707694295,0.7553366070175308,0.5963692327670012
ATF2,0.30376235822428765,0.3152034104013995,0.03341496401692313
ATF4,0.5170607810483804,0.7274943996902746,0.3919760517959205
ATF6B,0.24127131523268452,0.7788909425710453,0.463774132228755
ATG12,0.8092721364627895,0.039770365071693764,0.11007799021703021
ATG16L1,0.6130074293939959,0.7101546497608545,0.5726354032621233
ATG5,0.14085048571043557,0.685025317944066,0.10442886701636137
ATM,0.69134350934851,0.9651023129070632,0.5549970296404703
ATP1A1,0.1948289848621864,0.07732450503963992,0.9159950700699098
ATP1A3,0.5818632745378527,0.527746487548229,0.11396426030395386
ATP1B1,0.6799683835951384,0.22700174043421584,0.7578900017848098
ATP1B2,0.0800861350050273,0.10992170959317302,0.6631525105999422
ATP1B3,0.17148263413411421,0.3028823812262846,0.12145250287374416
ATP2A2,0.16887561203626492,0.5647641712475677,0.03794949800076614
ATP2A3,0.6856730442416888,0.3969741496296763,0.02221142555079883
ATP2B1,0.7513125085416539,0.3743453263602062,0.5489402969467871
ATP2B4,0.42793163679541346,0.582024703205159,0.05536051046593549
ATP6V1A,0.1314302448804649,0.8585243856294043,0.04116818486773047
ATP6V1B2,0.18276464527763955,0.46450456736981494,0.4816040861284495
ATP6V1C1,0.7642864870187946,0.7831968416903229,0.6371072224658946
ATP6V1C2,0.8565168927411101,0.9864569899200794,0.6208432031424537
ATP6V1D,0.5520461189691753,0.47134217801262657,0.34804055753228996
ATP6V1E1,0.07279404819707942,0.24823403765685012,0.6946874114307847
ATP6V1E2,0.7971263433675312,0.1374570841909492,0.17738056018269913
ATP6V1F,0.38689042041967664,0.8944283236459392,0.3602578639191683
ATP6V1G1,0.9025911692509898,0.4053605354309733,0.612155957458379
ATP6V1H,0.5935571421356693,0.4551376255776072,0.4922731216598447
ATR,0.7866264937657156,0.7842152427011542,0.24633738258105148
ATXN1,0.7398266225704486,0.8265823431039266,0.6767860709903365
ATXN1L,0.10124217907455062,0.2778767970737577,0.2165460812710548
AVPR1A,0.8261667045097031,0.8463402837786186,0.12362021418410682
AVPR2,0.6799683835951384,0.17761485689105308,0.6542029879288042
AXIN1,0.5520461189691753,0.5081679969428986,0.526744936644955
AXIN2,0.0514489933079964,0.05375853072651785,0.6490219080902978
AZI2,0.8884418550309717,0.12202912164096998,0.260214171831429
BAD,0.8308583759069824,0.9312607025374381,0.792681032627686
BAG4,0.5702699350901674,0.7286059477824297,0.8173172039875459
BAX,0.5644825037884655,0.15991810447698823,0.3971940083121816
BBC3,0.36727982845562845,0.5368399040057509,0.42413414631555296
