gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ABL1,0.9444108155225589,0.7210773137822675,0.3553769309130384
ABL2,0.4175313515909899,0.46999841036114454,0.40775583342528454
ACAA1,0.32556752345556134,0.21259873945861535,0.9171815372836887
ACACA,0.6130074293939959,0.2036561469914226,0.08746593895345364
ACACB,0.8031115644708559,0.10329467358460898,0.22268880636584823
ACADM,0.4548053183547849,0.47696607528859986,0.7689093208977492
ACOX1,0.9247117509921577,0.33012082729134096,0.6677994572150707
ACOX3,0.69134350934851,0.9394807599246179,0.2229104446983781
ACSL1,0.33000490095720986,0.04047645574160787,0.2814637102794531
ACSL3,0.002330690134464511,0.021902307314819312,0.07926591366771274
ACSL4,0.35313468957501737,0.9783262625675899,0.15222274916293055
ACSL5,0.4659560568284491,0.9189382287817374,0.1120202277919333
ACSL6,0.4879508012158093,0.8182363944446782,0.17000619622839064
ACTA2,0.5935571421356693,0.04286877652748867,0.21600746452183642
ACTB,0.7343603997047338,0.7835334318887024,0.9658488067783105
ACTG1,0.32556752345556134,0.10911705699585757,0.986738827943287
ACVR1,0.993010979560727,0.38050544093725,0.3202554196455403
ACVR1B,0.6065274896072702,0.22611199220295458,0.2512365474716075
ACVR1C,0.8092721364627895,0.527746487548229,0.6024316227461215
ACVR2A,0.9721084008856372,0.844439218361936,0.5519960144805284
ACVR2B,0.906668962569541,0.98898847706483,0.8637912335292933
ADAM17,0.7705561074060572,0.9543000133932105,0.7884078638930347
ADCY1,0.9134721920827671,0.16167602351903204,0.2157886806661523
ADCY3,0.8884418550309717,0.3703242020773463,0.1131833771994796
ADCY4,0.7513125085416539,0.46541974056138763,0.6683964204062861
ADCY7,0.539767148095913,0.13647761074692014,0.05829870119407538
ADCY9,0.46045236311082066,0.9742178283667204,0.22676176124781144
ADGRB1,0.30815271459063587,0.20733131592234155,0.5843358578800699
ADIPOR1,0.5876375489342285,0.14220971689520062,0.2759863778640025
ADIPOR2,0.0029697058997593365,0.23653079124478385,0.0158364207226947
ADORA2A,0.8884418550309717,0.8182363944446782,0.4064866800681583
ADORA2B,0.5818632745378527,0.6960950351012083,0.8242006999405028
ADORA3,1.0,1.0,1.0
ADRA2A,0.14571676021270855,0.20957903925257088,0.003053964075232712
ADRB1,0.20073468857562737,0.4457517972489918,0.7393669175323162
ADRB2,0.5113620202897969,0.6601669607997817,0.8540236702616516
AFDN,0.9247117509921577,0.06501948427838429,0.005556199863966537
AGAP2,0.979711249641129,0.45045198969459066,0.04433050384863751
AGER,0.6307086214920312,0.09191925553057569,0.26710075080038076
AGT,0.3969246881851866,0.07066396668948323,0.8911563154484076
