gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ABL1,0.6365049898184146,0.5358729292035157,0.5623589233811381
ABL2,0.8884418550309717,0.02198990556031213,0.1164302489308838
ACAA1,0.31691149415778574,0.234859142099778,0.34893817493253426
ACACA,0.31691149415778574,0.009551821844172801,0.1958584696416688
ACACB,0.8565168927411101,0.13825265763168954,0.11869310718168592
ACADM,0.19774933194541047,0.07191142880780056,0.2527701638683348
ACOX1,0.5457497412889383,0.3458555819515146,0.6364018087500284
ACOX3,0.27527898237892867,0.011737425810552777,0.5159110097633328
ACSL1,0.30376235822428765,0.6616426154096993,0.08746593895345364
ACSL3,0.34368463232775176,0.4733780317362588,0.14720793929426831
ACSL4,0.5644825037884655,0.5283881384984634,0.37561361470663407
ACSL5,0.7577782104428301,0.5925887196593107,0.4418293460874762
ACSL6,0.14085048571043557,0.1951920094977358,0.6955424322553165
ACTA2,0.16887561203626492,0.024596958718353528,0.8797634952358541
ACTB,0.9206704006166305,0.9189382287817374,0.21338053377772573
ACTG1,0.4175313515909899,0.7364311863003036,0.3515539274827995
ACVR1,0.8400775758556747,0.9232224676549566,0.17124272018010095
ACVR1B,0.7398266225704486,0.47301962681457654,0.7523631895066103
ACVR1C,0.17975733353758475,0.08515647516887162,0.7700027141980508
ACVR2A,0.4659560568284491,0.3731128311112874,0.8089406864516521
ACVR2B,0.5876375489342285,0.7483242886548059,0.6666301332126688
ADAM17,0.7763146531227555,0.03149160547245004,0.14978695224050934
ADCY1,0.8092721364627895,0.8707712060374477,0.5760236077146806
ADCY3,0.0514489933079964,0.2181294982623572,0.05905317780342323
ADCY4,0.9247117509921577,0.7898991052421908,0.8173172039875459
ADCY7,0.35313468957501737,0.7824015039074186,0.009821674541094097
ADCY9,0.8565168927411101,0.050105161862077856,0.05875609698291212
ADGRB1,0.7971263433675312,0.5687943987999,0.40928063261465075
ADIPOR1,0.42793163679541346,0.4319511043843324,0.6776301705596249
ADIPOR2,0.9835958880474651,0.7479619206091063,0.7897286502573663
ADORA2A,0.4879508012158093,0.45119586192302896,0.6869311176901933
ADORA2B,0.19190499313172463,0.42051346833634484,0.6521692579076079
ADORA3,0.028364989035043583,0.061619230188814614,0.35336259719295265
ADRA2A,0.9504086315397045,0.6834985692518976,0.4101966299185884
ADRB1,0.04663936050730617,0.15065093683125838,0.21799727262602422
