gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ABL1,0.24866898169496482,0.0674679950681856,0.3816134195377617
ABL2,0.15038803708988122,0.08564534716350515,0.9555689855039238
ACAA1,0.5818632745378527,0.10187552042348429,0.044552817081645366
ACACA,0.8092721364627895,0.8399156347445471,0.14546689163270557
ACACB,0.8618916498157649,0.18172476400524754,0.028306651042864672
ACADM,0.5113620202897969,0.1752262561129835,0.09789271997372917
ACOX1,0.29946077842025876,0.3743453263602062,0.6364018087500284
ACOX3,0.39193054847575176,0.24242581800755592,0.716191608233672
ACSL1,0.2038465662648402,0.055618352861957626,0.6110692412959977
ACSL3,0.21387372944947905,0.41201579345670186,0.12408284277990045
ACSL4,0.7452432417596505,0.18638864403499653,0.05875609698291212
ACSL5,0.1948289848621864,0.8792093823456781,0.21314582428809228
ACSL6,0.9206704006166305,0.36069505506175076,0.5938101421152753
ACTA2,0.34368463232775176,0.6865966388102983,0.5285784911494509
ACTB,0.8668653636305004,0.980537013548867,0.8456170550787256
ACTG1,0.33000490095720986,0.19654365560856762,0.5472076103421478
ACVR1,0.014903147626150443,0.005936149840211152,0.969848877791294
ACVR1B,0.2832829188323762,0.5413513773788062,0.3551285504564619
ACVR1C,0.6972559050594622,0.5372245995444409,0.3463467415184583
ACVR2A,0.2912438188319573,0.012801998018971493,0.011210613787464968
ACVR2B,0.8509404097599466,0.6590288340031838,0.9661406003017353
ADAM17,0.9206704006166305,0.6655649051246949,0.7144823742091846
ADCY1,0.43854304691845736,0.07501811924245896,0.8651039503463006
ADCY3,0.12725908464492877,0.04957878272466862,0.2531386801659877
ADCY4,0.4175313515909899,0.07289557669289032,0.09371816329804697
ADCY7,0.40705867390666384,0.4304035799126453,0.07328601660966795
ADCY9,0.32119893067184535,0.27927208523402636,0.7036151209066988
ADGRB1,0.33000490095720986,0.9917800538282301,0.0784962156609984
ADIPOR1,0.5644825037884655,0.7251911049308658,0.8782569895827411
ADIPOR2,0.5520461189691753,0.7267645294563863,0.33187142812267445
ADORA2A,0.4123187927393588,0.7680828550846049,0.11628522092687042
ADORA2B,0.6365049898184146,0.23131059786819536,0.6080790380339578
ADORA3,0.5341258833439698,0.07501811924245896,0.827981761107961
ADRA2A,0.1888966817440332,0.9069100321804962,0.12109389630924355
ADRB1,0.7971263433675312,0.17123321956101867,0.6206653547497681
ADRB2,0.6856730442416888,0.4805145447068539,0.7196288481375013
AFDN,0.9472881614328281,0.25264985077760255,0.06759048302647677
AGAP2,0.12725908464492877,0.027284990371202664,0.1995796822705316
AGER,0.8752637771074617,0.15836727419610896,0.2096935884797759
AGT,0.987652015003832,0.8010587594527392,0.6125450311910784
AIFM2,0.5818632745378527,0.4555203743964653,0.4928157547944725
AIM2,0.8509404097599466,0.11045606562312946,0.28644626220190983
AKT1,0.1125711496014878,0.1607940788139164,0.5150823229756561
AKT1S1,0.21724418116988378,0.11645292034779836,0.9707367248537374
AKT2,0.17148263413411421,0.04440016338562006,0.19916966920064177
AKT3,0.40705867390666384,0.3703242020773463,0.43051874963725767
ALDOA,0.2632761704943477,0.2743856627014336,0.945548722844602
ALDOC,0.7577782104428301,0.8321430131171589,0.20414469861572582
AMOT,0.6365049898184146,0.3221650480743037,0.5926093952720385
ANAPC5,0.987652015003832,0.8585243856294043,0.4582911058411535
ANGPT1,0.4548053183547849,0.24327056501674152,0.06855142700405152
ANGPT2,0.22376337126712262,0.46416239809400284,0.7436602878383644
APAF1,0.42268117699741165,0.42135986940252057,0.008769426066418196
APBB1IP,0.2038465662648402,0.8699490160945346,0.13101179163557977
APC,0.7452432417596505,0.7094107671830863,0.9524204661152621
APC2,0.6618622454793752,0.7898991052421908,0.24548215588367975
APH1A,0.5818632745378527,0.8404646462121927,0.8610157929520308
APH1B,0.7513125085416539,0.7071350461871948,0.2935666523379693
ARAF,0.22376337126712262,0.9659376015335225,0.06435273077503881
ARAP3,0.5644825037884655,0.41721617712503634,0.7321479394310071
ARF1,0.004292225919142191,0.0009742228161097073,0.6338874582636154
ARF6,0.1768655876180201,0.41014973126286947,0.0756369285863658
ARHGDIA,0.3577640169690616,0.2535359141263118,0.8859505717279732
ARHGDIB,0.7642864870187946,0.7647873329122831,0.17067382036361975
ARHGEF12,0.7971263433675312,0.43232975726908685,0.43402592933427603
ARNT,0.4019004035471444,0.12742412619219443,0.7170493828158095
ARRB1,0.48244414774636185,0.2378721884247511,0.20755359332597567
ARRB2,0.2595235226757511,0.003426231329879492,0.187245452772029
ASPH,0.4548053183547849,0.360011581647651,0.06633158411568321
