gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ABL1,0.1314302448804649,0.15354912842580193,0.4222677780831347
ABL2,0.5935571421356693,0.6276490048322237,0.7633259656540409
ACAA1,0.05464475740983599,0.010128872976205155,0.8228149235479427
ACACA,0.2595235226757511,0.58312731092548,0.3602578639191683
ACACB,0.0033093647014768687,0.015971446853375655,0.1504713186317652
ACADM,0.5113620202897969,0.7986473304638139,0.36437630992489906
ACOX1,0.36727982845562845,0.9614155731333649,0.13704004600907435
ACOX3,0.6551598277788772,0.8544479025168509,0.8951941805816569
ACSL1,0.4123187927393588,0.5584114189349874,0.00598044454680249
ACSL3,0.2872307321264238,0.08472505519913219,0.2728433177331735
ACSL4,0.17148263413411421,0.8123101282754083,0.02030852277790667
ACSL5,0.09600175873225714,0.7051932305525102,0.24341563052400508
ACSL6,0.6742588869241051,0.07961521957755481,0.18667585409534215
ACTA2,0.07715312372370398,0.03564408789788371,0.9267206023859889
ACTB,0.001340975909196315,0.0035570457972522356,0.30298927545242743
ACTG1,0.04130942490687636,0.3369505618016565,0.19484357057861823
ACVR1,0.5457497412889383,0.5190527792946023,0.5920380686919885
ACVR1B,0.16887561203626492,0.3259519938353788,0.8274903562960744
ACVR1C,0.2953098210487758,0.3269224073909317,0.1994371375775133
ACVR2A,0.23755019400177907,0.7357025015913052,0.4017497933176787
ACVR2B,0.27527898237892867,0.9401842135705747,0.07400245615204251
ADAM17,0.07015221463835204,0.010628816660796906,0.29051235937047465
ADCY1,0.47138411339503583,0.05606379384042311,0.7374765878836826
ADCY3,0.9822158101243837,0.5929866894538636,0.6127544409367157
ADCY4,0.4935108967941855,0.2009917116997902,0.5022401350914091
ADCY7,0.6683056509199464,0.5703640812635227,0.7167543885535472
ADCY9,0.5935571421356693,0.06314110489330894,0.37076815199282215
ADGRB1,0.09600175873225714,0.26275064176762875,0.4899183294896785
ADIPOR1,0.5284242644797617,0.2902844293676589,0.8244487916842818
ADIPOR2,0.04663936050730617,0.2468861507099104,0.20387316554008686
ADORA2A,0.05464475740983599,0.8236255236698867,0.08859498451054076
ADORA2B,0.4659560568284491,0.3973426776121945,0.660292971591549
ADORA3,0.40705867390666384,0.62650806910061,0.5060572156981991
ADRA2A,0.4491811448049099,0.6778171287032617,0.6660426075356439
ADRB1,0.6422515877471573,0.057999686642502664,0.240705493323023
ADRB2,0.46045236311082066,0.38406743357173484,0.4064866800681583
AFDN,0.42793163679541346,0.7460497284743756,0.8151603264071432
AGAP2,0.09438325552294177,0.6778171287032617,0.09272376164870136
AGER,0.6130074293939959,0.10021214142056177,0.31679829269203363
AGT,0.9863856554467135,0.9482657852938133,0.7227057836996
AIFM2,0.030853642090465084,0.023470234229104114,0.8112957188580812
AIM2,0.9472881614328281,0.8233129863805587,0.958888619578812
AKT1,0.5113620202897969,0.9687219612720551,0.11026209119908996
AKT1S1,0.976214582124604,0.8557621529063555,0.9573083724148665
AKT2,0.4019004035471444,0.1752262561129835,0.45696342669550855
AKT3,0.9504086315397045,0.994260462460428,0.7758647644690682
ALDOA,0.30815271459063587,0.2679737650811244,0.7250308411567388
ALDOC,0.29946077842025876,0.3969741496296763,0.19377735235824695
AMOT,0.8618916498157649,0.9414041776404661,0.7581678394885226
ANAPC5,0.9025911692509898,0.4646717292491736,0.17586138699997483
ANGPT1,0.30815271459063587,0.6852721655419582,0.052633190776567806
ANGPT2,0.9360307205607952,0.9176819310730692,0.831872381006481
APAF1,0.06764311902653193,0.31739984866414794,0.08931540829318776
APBB1IP,0.7452432417596505,0.7746432979585233,0.2261165188935444
APC,0.17412266237529717,0.38611316247979577,0.8601253503577172
APC2,0.08151274049826387,0.22997485173988255,0.6472227765160286
APH1A,0.3125597428453923,0.449327230330067,0.44249794125240777
APH1B,0.7866264937657156,0.8696761590635197,0.40775583342528454
ARAF,0.5760587253225325,0.04569680256104219,0.484589821287015
ARAP3,0.4935108967941855,0.11866417943501771,0.5217174246440108
ARF1,0.2671825440696867,0.1498091530633851,0.7894697858011849
ARF6,0.8354977126190273,0.11645292034779836,0.2883325247732585
ARHGDIA,0.6683056509199464,0.14023541240483703,0.5460848394588014
ARHGDIB,0.6799683835951384,0.8660350055899416,0.6509769526894598
ARHGEF12,0.6307086214920312,0.1424277120019721,0.23083788120298743
ARNT,0.1383880197722755,0.040700044830201426,0.9903794291943483
ARRB1,0.12299039135237938,0.11904867183801554,0.7694545574183145
ARRB2,0.2632761704943477,0.13394086338444017,0.21645768206602892
ASPH,0.9101041900615348,0.9145335558711778,0.8139533923631014
ATF2,0.6551598277788772,0.29792405392131477,0.5197522606456714
ATF4,0.6551598277788772,0.4755105163510425,0.23463032455657934
ATF6B,0.5644825037884655,0.11510480883128059,0.15595372519536715
ATG12,0.2038465662648402,0.023104655256349263,0.03743545793178408
ATG16L1,0.155328797181562,0.1432090892743642,0.6745749487635007
ATG5,0.7343603997047338,0.19118378510574102,0.26893653578937693
ATM,0.07421014936662217,0.011763429766459972,0.7184791455310643
ATP1A1,0.6683056509199464,0.5423857739582013,0.11265648035417757
ATP1A3,0.7917181018905581,0.33012082729134096,0.5492119919974583
ATP1B1,0.48244414774636185,0.20890992602669672,0.2287325970063328
ATP1B2,0.7763146531227555,0.6009043724474333,0.11869310718168592
ATP1B3,0.035735977261628894,0.13435926865685577,0.25692633434012974
ATP2A2,0.6742588869241051,0.562117490186062,0.4471590010878274
ATP2A3,0.1480551535215295,0.1773659186662568,0.9289186832417408
ATP2B1,0.9742228429184558,0.5899303526360734,0.16524626596017536
ATP2B4,0.4993892091165037,0.5095643952096927,0.2754602379325351
ATP6V1A,0.7763146531227555,0.39580014657606005,0.49464354203058997
ATP6V1B2,0.539767148095913,0.5982661906561748,0.8347010145452529
ATP6V1C1,0.5876375489342285,0.39661141219844415,0.09358770797473767
ATP6V1C2,0.6683056509199464,0.39661141219844415,0.6420016857234732
ATP6V1D,0.06253889825933255,0.14400465052216416,0.09371816329804697
ATP6V1E1,0.2793278302525643,0.018223537206097748,0.3657198941640097
ATP6V1E2,0.69134350934851,0.4838855458004262,0.2318422393615074
ATP6V1F,0.6972559050594622,0.04607191607176983,0.12631745939884226
ATP6V1G1,0.7642864870187946,0.9501681594125688,0.37859215080775366
ATP6V1H,0.7763146531227555,0.7315861459956273,0.44163534083399536
ATR,0.19190499313172463,0.06511468895142464,0.6364018087500284
ATXN1,0.7398266225704486,0.735005185955849,0.9324087672320241
ATXN1L,0.21387372944947905,0.4224794270584314,0.6411183020190102
AVPR1A,0.5457497412889383,0.1752262561129835,0.7796838948825151
AVPR2,0.08445116689995208,0.720317997019772,0.01751260317952152
AXIN1,0.5054228787904441,0.35053446009530653,0.012275533309924085
AXIN2,0.2793278302525643,0.22847649648716045,0.4955704960296797
AZI2,0.4659560568284491,0.9197856985220019,0.3269229890005475
BAD,0.3769531020454355,0.6066473548081361,0.47577038109250364
BAG4,0.35313468957501737,0.7199712046139741,0.6709959448328158
BAX,0.6130074293939959,0.7315861459956273,0.7072015658891885
BBC3,0.5170607810483804,0.7852446378790224,0.8328055892370836
BCL10,0.09438325552294177,0.169372993089438,0.15938293822242072
BCL2,0.6742588869241051,0.941702790363387,0.19348992961934747
BCL2A1,0.160726876246269,0.04036589014721736,0.9310749986869017
BCL2L1,0.95349173949055,0.6525035867717326,0.5769182508855814
BCL2L11,0.21724418116988378,0.4312198900758975,0.3232011963739104
BCL3,0.10888940925220554,0.013423974114812689,0.8801782777214353
BCL6,0.2832829188323762,0.7435574967963212,0.013316914432250495
BECN1,0.11650938109779269,0.13551584043059814,0.7811633522460076
BEX3,0.7452432417596505,0.5473060280355402,0.7956426787296247
BID,0.4491811448049099,0.3111654236523088,0.12954028826977534
BIRC2,0.2953098210487758,0.3192713856192041,0.7047411561755735
BIRC3,0.12725908464492877,0.0005334401361090941,0.08881576218853714
BLNK,0.906668962569541,0.7142492128073196,0.7565438211312405
BMP6,0.987652015003832,0.9687219612720551,0.7814290809602664
BMP8A,0.025452016011112362,0.2685560445549421,0.10306666158668905
BMP8B,0.026009182959885975,0.11762293324191894,0.17086528828473008
BMPR1A,0.9101041900615348,0.8073927166433504,0.404846984949513
BMPR2,0.1480551535215295,0.5598097278155748,0.028306651042864672
BNIP3,0.1948289848621864,0.09417795398324819,0.9783270785041612
BORCS8-MEF2B,0.21387372944947905,0.7938456899947238,0.14797027268401844
BRAF,0.4437695930512152,0.17880510269595282,0.6449140680459353
BRAP,0.10700073631321239,0.03812682920682563,0.4734277076971037
BRCA1,0.9742228429184558,0.8188723067330947,0.7523631895066103
BRCC3,0.2953098210487758,0.5153958164879591,0.7149761384745279
BTK,0.39193054847575176,0.6907893695658571,0.9092349417244033
BTRC,0.8509404097599466,0.7756568289837827,0.907113718894472
CAB39,0.8668653636305004,0.9030642330650687,0.7773770183662102
CAB39L,0.5760587253225325,0.31269784273130957,0.4310306511755124
CACNA1C,0.6742588869241051,0.8786820380179857,0.3286033083969035
CACNA1D,0.3125597428453923,0.6150339098009732,0.15878695225184736
CACYBP,0.27120714905997395,0.755687579860775,0.5291439298857724
CALM1,0.6856730442416888,0.17785719437911782,0.8938618365762117
CALM2,0.08151274049826387,0.09484806768629254,0.9541294914016861
CALM3,0.30376235822428765,0.08436344834298841,0.16261020863595435
CALML4,0.8400775758556747,0.903941425405748,0.5989310561283304
CAMK1,0.9780656391523767,0.5390656520289412,0.569536510776925
CAMK1D,0.17412266237529717,0.04607191607176983,0.265464124554027
CAMK2D,0.36727982845562845,0.265713833149985,0.9734457807752073
CAMK2G,0.6065274896072702,0.5516503170572234,0.7383247774752277
CAMK4,0.8153282768363468,0.824571160591864,0.519289924935533
CAMKK2,0.6307086214920312,0.07732450503963992,0.28266169222395804
CAMP,0.32119893067184535,0.0031780301175930795,0.04123829831851097
CARD11,0.4659560568284491,0.6778171287032617,0.5620488959177019
CARD14,0.7513125085416539,0.5891380952122616,0.32266749995123384
CARD16,0.5341258833439698,0.5255021793078709,0.9544835353152026
CARD6,0.9617958625199283,0.07912532193361264,0.1902027028578871
CARD8,0.5760587253225325,0.8869212023536883,0.4017497933176787
CARD9,0.6551598277788772,0.7888861726546081,0.45790802029974226
CASP1,0.38689042041967664,0.6310529645363813,0.5039283089238323
CASP10,0.8668653636305004,0.8686947720646239,0.9975839594731208
CASP3,0.539767148095913,0.8547404295702463,0.04675559267397056
CASP4,0.2632761704943477,0.2388043325436113,0.1348579473050276
CASP5,0.9247117509921577,0.5063236675826923,0.38211472542258496
CASP7,0.7705561074060572,0.8847083477337689,0.739675151425813
CASP8,0.5999385400746583,0.8532881217493807,0.5345909612922923
CASP9,0.1383880197722755,0.013516448634141495,0.06487471753403146
CASTOR1,0.6799683835951384,0.35491192617659795,0.5814965276252496
CASTOR2,0.23040052541469294,0.39516866254098565,0.41319594567320617
CAT,0.9888252067913242,0.31739984866414794,0.07691781738990856
CBL,0.4491811448049099,0.0074117960330811255,0.20457884771058166
CBLB,0.5457497412889383,0.49106000293246754,0.5963692327670012
CCL28,0.6248998383742295,0.9811592306610208,0.6969878536276389
CCL3,0.11448514639432146,0.09346699398798403,0.4856231432125024
CCL3L3,0.1579894011966325,0.49067136067221245,0.5692681030552919
CCL4,0.47138411339503583,0.6655649051246949,0.972780613600389
CCL4L2,0.008863767931560428,0.0636355686863738,0.2348670062175518
CCL5,0.7705561074060572,0.7741441191218369,0.523837355866908
CCND1,0.6065274896072702,0.944474206974059,0.6064652533653169
CCND2,0.10314332327203482,0.06999358626040433,0.7361074728014912
CCND3,0.8509404097599466,0.32439434827988206,0.06290211473989077
CCNG1,0.6365049898184146,0.9708666966115905,0.09136761829514123
CCNG2,0.5583798026386823,0.6793236708008825,0.8130267325873483
CCR1,0.09940548773114445,0.04560322900258443,0.3924688227981897
CCR10,0.07144039494769423,0.12742412619219443,0.1842894727188267
CCR2,0.6307086214920312,0.328543362479695,0.6686754719788329
CCR3,0.8836325288548256,0.8970582900190542,0.7966723382702001
CCR4,0.04475036070931636,0.014962364519899409,0.4512573714123513
CCR5,0.7763146531227555,0.7010242195554593,0.14031516382244938
CCR6,0.4879508012158093,0.02124405981674941,0.6289654882874781
