gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ABL1,1.0,1.0,1.0
ABL2,0.0800861350050273,0.2181294982623572,0.07344028315392767
ACAA1,1.0,1.0,1.0
ACACA,1.0,1.0,1.0
ACACB,0.8153282768363468,0.29928986159963367,0.44928888865804617
ACADM,1.0,1.0,1.0
ACOX1,1.0,1.0,1.0
ACOX3,1.0,1.0,1.0
ACSL1,0.8092721364627895,0.8233129863805587,0.27881324829348814
ACSL3,0.9982745810845396,0.9560650435809084,0.9283122596517269
ACSL4,1.0,1.0,1.0
ACSL5,1.0,1.0,1.0
ACSL6,1.0,1.0,1.0
ACTA2,1.0,1.0,1.0
ACTB,1.0,1.0,1.0
ACTG1,1.0,1.0,1.0
ACVR1,0.4175313515909899,0.2434359341242215,0.9236945736940942
ACVR1B,1.0,1.0,1.0
ACVR1C,1.0,1.0,1.0
ACVR2A,0.9025911692509898,0.6636164494559019,0.5565162933490212
ACVR2B,1.0,1.0,1.0
ADAM17,1.0,1.0,1.0
ADCY1,1.0,1.0,1.0
ADCY3,1.0,1.0,1.0
ADCY4,1.0,1.0,1.0
ADCY7,1.0,1.0,1.0
ADCY9,1.0,1.0,1.0
ADGRB1,1.0,1.0,1.0
ADIPOR1,0.9592419707694295,0.996875036046045,0.9480424734157559
ADIPOR2,1.0,1.0,1.0
ADORA2A,1.0,1.0,1.0
ADORA2B,1.0,1.0,1.0
ADORA3,1.0,1.0,1.0
ADRA2A,1.0,1.0,1.0
ADRB1,1.0,1.0,1.0
ADRB2,1.0,1.0,1.0
AFDN,0.539767148095913,0.12076571297113602,0.2329713585972268
AGAP2,1.0,1.0,1.0
AGER,1.0,1.0,1.0
AGT,0.35313468957501737,0.23909352871033285,0.7170493828158095
AIFM2,1.0,1.0,1.0
AIM2,0.015960707409842935,0.013970310598292802,0.9334786603318597
AKT1,1.0,1.0,1.0
AKT1S1,1.0,1.0,1.0
AKT2,1.0,1.0,1.0
AKT3,0.8836325288548256,0.6747250417323222,0.8740414854537369
ALDOA,1.0,1.0,1.0
ALDOC,1.0,1.0,1.0
AMOT,1.0,1.0,1.0
ANAPC5,0.18583071198422862,0.8301202228374173,0.12529458454517192
ANGPT1,0.9898915418139222,0.3010841949713555,0.29633400404890475
ANGPT2,1.0,1.0,1.0
APAF1,0.7705561074060572,0.43690886258805606,0.30348912907479614
APBB1IP,1.0,1.0,1.0
APC,1.0,1.0,1.0
APC2,1.0,1.0,1.0
APH1A,1.0,1.0,1.0
APH1B,1.0,1.0,1.0
ARAF,1.0,1.0,1.0
ARAP3,0.7288641612191982,0.8301202228374173,0.1333474661434808
ARF1,0.9472881614328281,0.5309622761626139,0.8069046032289396
ARF6,1.0,1.0,1.0
ARHGDIA,1.0,1.0,1.0
ARHGDIB,1.0,1.0,1.0
ARHGEF12,0.8153282768363468,0.8862328697312284,0.2069117155517296
ARNT,0.4659560568284491,0.5718206190026169,0.3298802760479995
ARRB1,1.0,1.0,1.0
ARRB2,1.0,1.0,1.0
ASPH,0.24127131523268452,0.02752922711965418,0.4209224875794779
ATF2,0.27120714905997395,0.32629322100809083,0.04447712684698168
ATF4,1.0,1.0,1.0
ATF6B,1.0,1.0,1.0
ATG12,0.2872307321264238,0.028557376398900377,0.49450135845932053
ATG16L1,0.7866264937657156,0.8318329814202542,0.6171071435863026
ATG5,1.0,1.0,1.0
ATM,0.31691149415778574,0.5321178968139961,0.16664992781619176
ATP1A1,1.0,1.0,1.0
ATP1A3,1.0,1.0,1.0
ATP1B1,0.539767148095913,0.62650806910061,0.07157356013452347
ATP1B2,1.0,1.0,1.0
ATP1B3,0.7398266225704486,0.6671137311853612,0.08019539718568643
ATP2A2,1.0,1.0,1.0
ATP2A3,1.0,1.0,1.0
ATP2B1,1.0,1.0,1.0
ATP2B4,0.045685376479503055,0.1643677495168694,0.4161150466681427
ATP6V1A,1.0,1.0,1.0
ATP6V1B2,1.0,1.0,1.0
ATP6V1C1,1.0,1.0,1.0
ATP6V1C2,1.0,1.0,1.0
ATP6V1D,1.0,1.0,1.0
ATP6V1E1,1.0,1.0,1.0
ATP6V1E2,1.0,1.0,1.0
ATP6V1F,1.0,1.0,1.0
ATP6V1G1,1.0,1.0,1.0
ATP6V1H,1.0,1.0,1.0
ATR,0.6972559050594622,0.8441402738196478,0.044552817081645366
ATXN1,1.0,1.0,1.0
ATXN1L,1.0,1.0,1.0
AVPR1A,0.3721277241835815,0.21732140391807506,0.8516429027869539
AVPR2,1.0,1.0,1.0
AXIN1,1.0,1.0,1.0
AXIN2,1.0,1.0,1.0
AZI2,0.9418083703353152,0.4745324414524652,0.07196447495432547
BAD,1.0,1.0,1.0
BAG4,1.0,1.0,1.0
BAX,1.0,1.0,1.0
BBC3,1.0,1.0,1.0
BCL10,1.0,1.0,1.0
BCL2,1.0,1.0,1.0
BCL2A1,1.0,1.0,1.0
BCL2L1,1.0,1.0,1.0
BCL2L11,1.0,1.0,1.0
BCL3,1.0,1.0,1.0
BCL6,0.4175313515909899,0.11272041841682909,0.9551616205555308
BECN1,1.0,1.0,1.0
BEX3,1.0,1.0,1.0
BID,1.0,1.0,1.0
BIRC2,1.0,1.0,1.0
BIRC3,1.0,1.0,1.0
BLNK,1.0,1.0,1.0
BMP6,1.0,1.0,1.0
BMP8A,1.0,1.0,1.0
BMP8B,1.0,1.0,1.0
BMPR1A,0.8933205746772915,0.771636528011541,0.74112649328367
BMPR2,0.6799683835951384,0.47619538242051385,0.6524108750285841
BNIP3,0.7343603997047338,0.996875036046045,0.4441056650033462
BORCS8-MEF2B,1.0,1.0,1.0
BRAF,1.0,1.0,1.0
BRAP,0.020446966514058612,0.4319511043843324,0.0696129700031505
BRCA1,0.8031115644708559,0.10895322214385027,0.1739338527360255
BRCC3,1.0,1.0,1.0
BTK,1.0,1.0,1.0
BTRC,1.0,1.0,1.0
CAB39,0.10314332327203482,0.02894370948248787,0.6087158166939775
CAB39L,1.0,1.0,1.0
CACNA1C,1.0,1.0,1.0
CACNA1D,1.0,1.0,1.0
CACYBP,0.22052474496084123,0.3205524345593669,0.5041376034669434
CALM1,1.0,1.0,1.0
CALM2,1.0,1.0,1.0
CALM3,1.0,1.0,1.0
CALML4,1.0,1.0,1.0
CAMK1,1.0,1.0,1.0
CAMK1D,1.0,1.0,1.0
CAMK2D,1.0,1.0,1.0
CAMK2G,1.0,1.0,1.0
CAMK4,0.6856730442416888,0.11357200846475907,0.9661406003017353
CAMKK2,0.4769016720858721,0.08090413083907949,0.27467742626986896
CAMP,1.0,1.0,1.0
CARD11,1.0,1.0,1.0
CARD14,1.0,1.0,1.0
CARD16,1.0,1.0,1.0
CARD6,1.0,1.0,1.0
CARD8,1.0,1.0,1.0
CARD9,1.0,1.0,1.0
CASP1,1.0,1.0,1.0
CASP10,0.6799683835951384,0.5005448713055108,0.8208691405027563
CASP3,0.522717469304167,0.15749389469382868,0.7081824988346445
CASP4,1.0,1.0,1.0
CASP5,0.7971263433675312,0.41499313655503506,0.7798490882412514
CASP7,1.0,1.0,1.0
CASP8,0.5583798026386823,0.21928215815413962,0.9625529219438151
CASP9,1.0,1.0,1.0
CASTOR1,1.0,1.0,1.0
CASTOR2,1.0,1.0,1.0
CAT,1.0,1.0,1.0
CBL,0.4548053183547849,0.8218747198882547,0.5653089290777087
CBLB,0.3125597428453923,0.2463881023741662,0.3986409325244901
CCL28,1.0,1.0,1.0
CCL3,1.0,1.0,1.0
CCL3L3,1.0,1.0,1.0
CCL4,1.0,1.0,1.0
CCL4L2,1.0,1.0,1.0
CCL5,1.0,1.0,1.0
CCND1,1.0,1.0,1.0
CCND2,1.0,1.0,1.0
CCND3,1.0,1.0,1.0
CCNG1,0.5520461189691753,0.1013002753513217,0.2287325970063328
CCNG2,1.0,1.0,1.0
CCR1,1.0,1.0,1.0
CCR10,1.0,1.0,1.0
CCR2,1.0,1.0,1.0
CCR3,0.8453562790586819,0.9778666511084394,0.8803862677667313
CCR4,1.0,1.0,1.0
CCR5,1.0,1.0,1.0
CCR6,0.6307086214920312,0.12202912164096998,0.8107948613535787
CCR7,1.0,1.0,1.0
CCR8,1.0,1.0,1.0
CCR9,1.0,1.0,1.0
CD14,1.0,1.0,1.0
CD19,1.0,1.0,1.0
CD22,1.0,1.0,1.0
CD247,0.9444108155225589,0.16758126521845496,0.018585246377293373
CD28,0.7971263433675312,0.2463881023741662,0.009258431488830723
CD36,0.48244414774636185,0.12928993416290754,0.5772154870662366
CD38,1.0,1.0,1.0
CD3E,1.0,1.0,1.0
CD4,1.0,1.0,1.0
CD40,1.0,1.0,1.0
CD40LG,0.8509404097599466,0.9704198610626189,0.4518062671630893
CD72,1.0,1.0,1.0
CD79A,1.0,1.0,1.0
CD79B,1.0,1.0,1.0
CD80,1.0,1.0,1.0
CD82,1.0,1.0,1.0
CD86,0.7971263433675312,0.40683648602116684,0.22997761168096736
CD8A,1.0,1.0,1.0
CD8B,0.539767148095913,0.9694024195422315,0.5658746284119567
CDC25B,1.0,1.0,1.0
CDC37,1.0,1.0,1.0
CDC42,1.0,1.0,1.0
CDH1,1.0,1.0,1.0
CDK2,1.0,1.0,1.0
CDK4,1.0,1.0,1.0
CDK6,1.0,1.0,1.0
CDKN1A,1.0,1.0,1.0
CDKN1B,1.0,1.0,1.0
CDKN2A,1.0,1.0,1.0
CDKN2B,1.0,1.0,1.0
CDKN2D,1.0,1.0,1.0
CDON,1.0,1.0,1.0
CEBPB,1.0,1.0,1.0
CFLAR,0.32556752345556134,0.06403448123776619,0.5908730516124424
CHAD,1.0,1.0,1.0
CHD8,1.0,1.0,1.0
CHEK2,1.0,1.0,1.0
CHRM5,1.0,1.0,1.0
CHUK,1.0,1.0,1.0
CIR1,0.7763146531227555,0.9905989276955858,0.9287630198445851
CISH,1.0,1.0,1.0
CLEC1B,1.0,1.0,1.0
CLEC4D,1.0,1.0,1.0
CLEC4E,1.0,1.0,1.0
CLEC7A,1.0,1.0,1.0
CLIP1,1.0,1.0,1.0
CNR1,1.0,1.0,1.0
CNTF,1.0,1.0,1.0
COL4A3,0.9915167989396082,0.6310529645363813,0.30246048074696735
COL4A4,0.42268117699741165,0.03890844093667003,0.11681224582958466
COL6A1,1.0,1.0,1.0
COL6A2,1.0,1.0,1.0
COL6A3,0.7170365763169207,0.11065386456007616,0.5573977686381247
COL6A6,1.0,1.0,1.0
COL9A2,1.0,1.0,1.0
COL9A3,1.0,1.0,1.0
COP1,0.5702699350901674,0.8639009918107853,0.25485094415284987
CPT1A,1.0,1.0,1.0
CPT1B,1.0,1.0,1.0
CPT2,1.0,1.0,1.0
CREB1,0.8711827352213887,0.5380137744095773,0.33396861388529203
CREB3,1.0,1.0,1.0
CREB3L2,0.9206704006166305,0.5417177466994878,0.7130529626968637
CREB3L4,1.0,1.0,1.0
CREB5,1.0,1.0,1.0
CREBBP,1.0,1.0,1.0
CRK,1.0,1.0,1.0
CRKL,1.0,1.0,1.0
CRTC2,1.0,1.0,1.0
CSF1,1.0,1.0,1.0
CSF1R,0.5170607810483804,0.8675879109498797,0.7886768726151537
CSF2RA,1.0,1.0,1.0
CSF2RB,1.0,1.0,1.0
CSF3R,1.0,1.0,1.0
CSNK1A1,0.2953098210487758,0.5504693742237836,0.045298434125929855
CSNK1A1L,1.0,1.0,1.0
CSNK1D,1.0,1.0,1.0
CSNK1E,1.0,1.0,1.0
CSNK1G1,1.0,1.0,1.0
CSNK1G2,1.0,1.0,1.0
CSNK1G3,1.0,1.0,1.0
CSNK2A1,1.0,1.0,1.0
CSNK2A2,1.0,1.0,1.0
CSNK2B,1.0,1.0,1.0
CTBP1,1.0,1.0,1.0
CTBP2,1.0,1.0,1.0
CTLA4,1.0,1.0,1.0
CTNNA1,0.3577640169690616,0.43270668649329297,0.18279511672911952
CTNNB1,1.0,1.0,1.0
CTNNBIP1,1.0,1.0,1.0
CTNND1,1.0,1.0,1.0
CTSB,1.0,1.0,1.0
CTSD,1.0,1.0,1.0
CUL1,1.0,1.0,1.0
CUL3,0.7513125085416539,0.40427044437684523,0.7990892666414214
CX3CR1,1.0,1.0,1.0
CXCL1,0.2912438188319573,0.4453759960940657,0.3650420852565973
CXCL10,0.24127131523268452,0.8475308936581674,0.2901347678372988
CXCL16,1.0,1.0,1.0
CXCL5,1.0,1.0,1.0
CXCL8,1.0,1.0,1.0
CXCR1,0.18583071198422862,0.5687943987999,0.09192989171706417
CXCR2,0.4769016720858721,0.27417989241551005,0.05084460616726174
CXCR3,1.0,1.0,1.0
CXCR4,1.0,1.0,1.0
CXCR5,1.0,1.0,1.0
CXCR6,1.0,1.0,1.0
CYBA,1.0,1.0,1.0
CYBB,1.0,1.0,1.0
CYCS,1.0,1.0,1.0
CYLD,1.0,1.0,1.0
CYP27A1,0.9206704006166305,0.4721147719308123,0.3206354185548528
CYSLTR1,1.0,1.0,1.0
CYSLTR2,1.0,1.0,1.0
CYTH1,0.3484170977760169,0.926418882604864,0.2999050870236773
CYTH2,1.0,1.0,1.0
CYTH3,1.0,1.0,1.0
CYTH4,1.0,1.0,1.0
