Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	29	28.71287128712871	5.858746670708564E-24	BRCC3, NLRC4, NOD2, MEFV, PYCARD, PSTPIP1, TBK1, CASP5, NLRP7, CCL5, CASP1, NLRP3, TRPM7, NLRP1, TP53BP1, DNM1L, IKBKE, GSDMD, RIPK2, CARD8, IL18, ERBIN, TICAM1, AIM2, STING1, TRAF3, IL1B, TRIP6, CARD16	101	186	8465	13.067443841158308	7.264845871678619E-22	7.264845871678619E-22	5.565809337173136E-22
KEGG_PATHWAY	hsa04623:Cytosolic DNA-sensing pathway	14	13.861386138613863	2.718886233700908E-12	GSDMD, MLKL, IL18, CGAS, MEFV, PYCARD, AIM2, TBK1, STING1, IL1B, CCL5, CASP1, NLRP3, IKBKE	101	75	8465	15.644884488448845	3.3714808722606904E-10	1.370654028015256E-10	1.050097844043946E-10
KEGG_PATHWAY	hsa04217:Necroptosis	18	17.82178217821782	3.316098454875619E-12	MLKL, VPS4A, TICAM1, SPATA2L, PYCARD, CYLD, IL1B, CASP1, CHMP4B, NLRP3, TRPM7, PGAM5, CHMP4A, DNM1L, CHMP7, SQSTM1, TLR3, CHMP5	101	159	8465	9.48813749299458	4.1119951887935713E-10	1.370654028015256E-10	1.050097844043946E-10
KEGG_PATHWAY	hsa05131:Shigellosis	19	18.81188118811881	4.594997641926721E-10	ARF1, CALCOCO2, IL1R1, RIPK2, GLMN, IL18, CGAS, NLRC4, FNBP1L, CYTH3, PYCARD, TBK1, STING1, IL1B, CCL5, CASP1, NLRP3, SQSTM1, ARF6	101	247	8465	6.447067783701447	5.697797000880911E-8	1.4244492689972835E-8	1.0913119399575962E-8
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	16	15.841584158415841	2.724946548738098E-8	MAP2K3, ERO1A, IL18, TICAM1, HSP90B1, PYCARD, TBK1, TRAF3, IL1B, CCL5, DDIT3, CASP1, NLRP3, IKBKE, ATF6, NFE2L2	101	215	8465	6.237163251208842	3.3789280546869804E-6	6.757867440870482E-7	5.177398442602386E-7
KEGG_PATHWAY	hsa05132:Salmonella infection	15	14.85148514851485	1.1668833998990749E-6	MAP2K3, GSDMD, ARF1, MLKL, RIPK2, IL18, NLRC4, HSP90B1, CYTH3, PYCARD, CASP5, IL1B, CASP1, NLRP3, ARF6	101	249	8465	5.048908505308362	1.4468315839077928E-4	2.411559026458088E-5	1.8475653831735354E-5
KEGG_PATHWAY	hsa05135:Yersinia infection	11	10.891089108910892	4.450860033223786E-6	PYCARD, MAP2K3, TBK1, IL1B, CASP1, IL18, NLRP3, NLRC4, MEFV, TICAM1, ARF6	101	137	8465	6.729421117294212	5.517555992151646E-4	7.674115942848069E-5	5.879363020730375E-5
KEGG_PATHWAY	hsa05164:Influenza A	12	11.881188118811881	4.951042543772948E-6	PYCARD, TBK1, CALCOCO2, TRAF3, CCL5, IL1B, CASP1, IL18, NLRP3, TICAM1, IKBKE, TLR3	101	171	8465	5.88153552197325	6.137423782710538E-4	7.674115942848069E-5	5.879363020730375E-5
KEGG_PATHWAY	hsa04668:TNF signaling pathway	10	9.900990099009901	7.2453482054039705E-6	MAP2K3, CYLD, MLKL, TRAF3, CCL5, IL1B, PGAM5, NOD2, DNM1L, IL18R1	101	114	8465	7.351919402466563	8.980229679891316E-4	9.982479749667693E-5	7.647867550148635E-5
KEGG_PATHWAY	hsa04622:RIG-I-like receptor signaling pathway	8	7.920792079207921	1.8622037755818395E-5	CYLD, SIKE1, DDX3X, MAP3K1, TBK1, STING1, TRAF3, IKBKE	101	71	8465	9.443592246548599	0.002306490136806394	2.309132681721481E-4	1.7690935868027477E-4
