train_node_idx,train_label,train_pred_label
909,2,2
301,2,2
138,2,2
449,2,2
150,1,2
780,2,2
851,2,2
153,2,2
502,2,2
739,2,2
883,1,2
176,2,2
390,2,2
904,1,2
206,2,2
327,2,2
867,2,2
226,2,2
708,2,2
543,2,2
558,2,2
652,2,2
755,1,2
928,2,2
172,1,2
217,0,2
915,2,2
852,2,2
681,2,2
597,2,2
201,2,2
671,1,2
850,0,2
601,2,2
875,2,2
461,1,2
163,2,2
263,2,2
553,2,2
698,2,2
522,2,2
264,2,2
600,2,2
184,1,2
229,1,2
585,1,2
485,1,2
249,2,2
246,1,2
281,2,2
251,2,2
800,2,2
463,2,2
929,1,2
353,2,2
219,2,2
345,2,2
624,2,2
469,1,2
776,2,2
663,2,2
319,1,2
604,2,2
676,2,2
925,2,2
899,2,2
399,2,2
632,1,2
694,2,2
839,2,2
279,0,2
400,2,2
385,2,2
292,2,2
830,2,2
364,2,2
374,2,2
914,2,2
560,2,2
873,0,2
362,2,2
748,2,2
477,2,2
122,2,2
151,2,2
360,1,2
545,2,2
392,2,2
712,2,2
276,2,2
132,2,2
459,2,2
309,2,2
130,2,2
370,2,2
299,2,2
237,1,2
211,1,2
165,2,2
765,2,2
148,2,2
699,2,2
617,2,2
255,2,2
425,2,2
235,2,2
403,0,2
672,2,2
433,2,2
680,2,2
697,2,2
655,2,2
225,2,2
306,2,2
508,2,2
535,2,2
173,0,2
369,2,2
770,1,2
922,0,2
552,2,2
588,2,2
856,1,2
534,2,2
336,2,2
419,1,2
920,2,2
435,0,2
871,2,2
286,2,2
391,2,2
556,2,2
659,2,2
431,2,2
587,2,2
438,2,2
692,2,2
437,1,2
701,0,2
796,2,2
719,1,2
468,2,2
870,2,2
656,2,2
607,2,2
648,2,2
503,2,2
640,2,2
799,2,2
492,2,2
669,2,2
918,2,2
627,1,2
348,2,2
355,1,2
208,2,2
547,2,2
144,2,2
557,2,2
687,1,2
278,2,2
312,2,2
879,1,2
897,2,2
816,1,2
628,2,2
495,2,2
528,2,2
675,2,2
491,2,2
756,2,2
133,2,2
161,2,2
774,0,2
614,2,2
356,2,2
513,1,2
308,2,2
787,0,2
809,2,2
749,2,2
194,2,2
198,2,2
605,2,2
811,2,2
527,2,2
691,2,2
191,1,2
212,2,2
862,2,2
487,2,2
900,2,2
142,2,2
215,0,2
147,2,2
186,2,2
679,2,2
383,2,2
305,0,2
526,1,2
634,2,2
788,2,2
623,2,2
171,2,2
257,2,2
397,2,2
591,2,2
876,2,2
236,2,2
149,1,2
802,0,2
483,2,2
423,2,2
164,2,2
436,2,2
854,2,2
737,2,2
347,2,2
905,2,2
447,2,2
267,2,2
711,2,2
662,2,2
270,2,2
428,2,2
869,2,2
829,2,2
466,2,2
265,2,2
735,1,2
827,1,2
771,2,2
931,2,2
417,2,2
834,2,2
382,2,2
284,0,2
729,0,2
895,2,2
366,2,2
352,2,2
649,2,2
571,2,2
357,2,2
388,2,2
636,2,2
207,2,2
647,2,2
523,2,2
713,2,2
498,2,2
630,2,2
610,2,2
857,2,2
868,0,2
311,2,2
791,2,2
125,2,2
576,1,2
470,2,2
783,2,2
444,2,2
330,1,2
156,2,2
181,2,2
294,2,2
565,2,2
592,2,2
638,2,2
551,2,2
484,2,2
475,0,2
564,2,2
781,2,2
183,2,2
467,2,2
836,2,2
197,2,2
621,2,2
245,2,2
824,1,2
580,2,2
335,1,2
863,2,2
683,2,2
166,2,2
686,0,2
793,2,2
490,2,2
154,0,2
180,2,2
743,2,2
777,0,2
140,2,2
514,2,2
572,2,2
361,2,2
650,2,2
137,1,2
773,1,2
786,2,2
635,2,2
549,1,2
733,2,2
220,2,2
529,1,2
596,2,2
193,2,2
667,2,2
751,1,2
464,2,2
718,2,2
451,0,2
872,0,2
266,2,2
844,2,2
445,2,2
368,2,2
333,2,2
203,2,2
296,2,2
511,2,2
882,2,2
874,2,2
620,2,2
677,2,2
136,2,2
227,1,2
639,2,2
682,2,2
404,2,2
341,2,2
645,1,2
411,2,2
488,2,2
389,2,2
334,2,2
123,2,2
806,2,2
458,2,2
598,2,2
833,2,2
455,2,2
381,2,2
507,2,2
331,2,2
754,2,2
480,1,2
720,1,2
318,2,2
892,0,2
248,2,2
426,2,2
590,2,2
932,2,2
689,2,2
848,2,2
919,1,2
612,2,2
804,0,2
889,2,2
727,2,2
722,2,2
797,2,2
205,1,2
567,2,2
579,2,2
482,2,2
643,2,2
641,1,2
272,1,2
465,2,2
182,1,2
653,2,2
326,2,2
379,2,2
131,1,2
261,2,2
731,2,2
277,2,2
742,2,2
704,2,2
916,2,2
921,1,2
242,1,2
721,2,2
717,2,2
767,2,2
884,2,2
395,2,2
589,2,2
230,1,2
761,2,2
380,1,2
224,2,2
913,2,2
573,2,2
706,2,2
232,1,2
861,1,2
924,2,2
274,2,2
611,2,2
322,2,2
907,2,2
162,2,2
177,2,2
328,2,2
815,1,2
917,0,2
619,2,2
654,2,2
812,2,2
784,2,2
684,1,2
866,1,2
531,2,2
760,2,2
302,2,2
803,2,2
886,2,2
865,1,2
398,2,2
250,2,2
842,2,2
129,2,2
252,2,2
517,2,2
878,2,2
457,2,2
536,2,2
407,2,2
738,2,2
746,2,2
354,2,2
343,2,2
290,1,2
813,2,2
158,2,2
880,2,2
563,0,2
304,2,2
902,0,2
606,2,2
421,2,2
537,1,2
762,2,2
293,1,2
422,2,2
700,0,2
707,2,2
413,2,2
443,2,2
124,2,2
196,2,2
747,2,2
930,2,2
269,2,2
785,0,2
375,2,2
908,2,2
295,2,2
126,2,2
448,2,2
693,2,2
664,2,2
840,2,2
200,2,2
724,2,2
826,2,2
213,1,2
674,2,2
789,1,2
633,2,2
376,2,2
581,2,2
894,0,2
530,2,2
860,2,2
479,2,2
570,2,2
143,2,2
561,2,2
750,2,2
805,2,2
342,2,2
262,2,2
268,2,2
365,1,2
282,2,2
378,2,2
329,2,2
831,2,2
338,2,2
316,2,2
321,2,2
766,2,2
441,0,2
240,2,2
519,0,2
406,2,2
456,0,2
506,0,2
832,0,2
678,2,2
260,2,2
885,2,2
505,2,2
845,2,2
481,2,2
408,2,2
494,2,2
736,2,2
228,2,2
584,1,2
609,2,2
187,2,2
324,1,2
192,2,2
199,2,2
864,2,2
405,2,2
843,2,2
911,2,2
847,1,2
500,0,2
890,0,2
539,2,2
846,0,2
474,2,2
881,0,2
159,2,2
744,2,2
346,0,2
822,0,2
402,1,2
373,2,2
763,2,2
926,0,2
259,2,2
350,2,2
460,2,2
174,1,2
372,2,2
314,2,2
582,0,2
497,0,2
795,2,2
657,2,2
893,1,2
185,2,2
170,2,2
835,0,2
665,2,2
703,2,2
367,2,2
223,2,2
415,2,2
808,2,2
538,2,2
670,0,2
912,2,2
323,2,2
841,0,2
602,1,2
244,2,2
828,2,2
903,1,2
594,2,2
340,2,2
516,2,2
533,2,2
532,2,2
359,2,2
128,1,2
673,2,2
349,2,2
923,1,2
814,0,2
642,2,2
504,2,2
546,2,2
179,2,2
231,2,2
452,2,2
471,2,2
486,2,2
888,2,2
434,2,2
190,2,2
409,2,2
702,2,2
775,0,2
160,2,2
510,2,2
798,2,2
779,0,2
307,2,2
239,1,2
595,2,2
790,2,2
933,2,2
753,1,2
424,2,2
287,2,2
593,2,2
849,2,2
339,2,2
807,2,2
898,2,2
877,2,2
325,2,2
410,2,2
337,2,2
690,1,2
858,2,2
745,2,2
202,2,2
555,2,2
273,0,2
157,2,2
759,1,2
209,2,2
583,1,2
891,2,2
358,2,2
253,2,2
696,2,2
837,0,2
300,2,2
644,2,2
688,2,2
332,2,2
139,2,2
586,2,2
175,2,2
247,2,2
566,1,2
541,2,2
758,2,2
214,2,2
285,2,2
414,2,2
778,2,2
188,1,2
651,2,2
134,1,2
135,2,2
544,2,2
896,1,2
489,2,2
