train_node_idx,train_label,train_pred_label
394,1,1
515,2,2
855,2,2
906,2,2
709,2,2
351,2,2
540,2,2
685,2,2
453,2,1
271,0,0
178,2,1
631,2,2
616,2,2
344,2,2
542,2,2
578,1,1
496,2,2
705,0,0
377,2,2
518,2,2
577,0,0
473,2,2
412,2,2
476,2,2
493,2,2
499,2,1
550,2,2
757,2,2
910,2,2
446,2,2
792,1,1
291,2,2
420,2,2
155,2,1
646,0,0
241,2,2
819,1,1
660,2,2
574,2,2
386,2,2
661,2,2
668,2,2
801,2,2
429,2,1
387,2,0
622,2,2
741,1,1
859,2,2
559,2,2
439,2,2
401,2,2
315,2,1
726,1,1
575,2,2
615,2,1
320,2,2
927,2,2
521,2,2
204,2,0
728,2,2
222,2,2
216,1,1
501,2,2
715,2,2
384,2,2
310,2,2
626,2,2
233,2,2
810,2,1
772,2,2
618,0,0
221,2,2
569,2,2
234,2,1
599,0,0
371,2,2
548,2,2
472,2,2
442,0,0
454,0,0
821,2,2
710,1,1
141,2,2
189,1,1
637,2,1
838,2,1
254,2,2
152,2,2
127,2,2
450,2,2
825,1,1
716,1,1
396,2,2
782,2,2
288,2,2
520,2,1
823,2,2
297,2,2
608,1,1
430,2,1
725,2,2
432,2,2
303,2,2
820,1,1
168,2,0
732,2,2
298,0,0
525,2,2
146,0,0
934,2,2
734,2,2
195,2,2
427,2,1
562,2,2
416,2,2
210,2,2
853,2,1
363,0,0
512,2,2
901,0,0
393,2,2
764,2,2
317,2,2
768,1,1
730,2,2
256,2,2
554,2,2
740,2,2
524,2,2
169,2,2
283,2,0
218,2,2
462,2,2
769,0,0
603,1,1
275,2,0
629,2,2
509,2,2
258,2,2
280,2,2
752,2,1
313,2,2
714,2,2
794,2,2
658,2,2
167,2,1
666,0,0
817,2,2
723,2,1
625,2,2
478,2,2
887,2,2
440,0,0
818,2,2
418,2,2
613,2,2
243,2,2
289,2,2
568,2,1
695,2,2
238,2,2
145,2,2
879,1,1
897,2,2
816,1,1
628,2,2
495,2,1
528,2,2
675,2,1
491,2,2
756,2,2
133,2,2
161,2,2
774,0,0
614,2,2
356,2,2
513,1,1
308,2,1
787,0,0
809,2,0
749,2,2
194,2,2
198,2,2
605,2,2
811,2,2
527,2,2
691,2,2
191,1,1
212,2,1
862,2,2
487,2,1
900,2,2
142,2,2
215,0,0
147,2,1
186,2,2
679,2,1
383,2,2
305,0,0
526,1,1
634,2,2
788,2,2
623,2,2
171,2,2
257,2,2
397,2,2
591,2,2
876,2,0
236,2,2
149,1,1
802,0,0
483,2,2
423,2,2
164,2,2
436,2,2
854,2,0
737,2,2
347,2,2
905,2,2
447,2,1
267,2,1
711,2,2
662,2,2
270,2,0
428,2,2
869,2,2
829,2,2
466,2,2
265,2,2
735,1,1
827,1,1
771,2,2
931,2,0
417,2,2
834,2,0
382,2,1
284,0,0
729,0,0
895,2,2
366,2,0
352,2,2
649,2,2
571,2,2
357,2,2
388,2,2
636,2,2
207,2,2
647,2,2
523,2,2
713,2,2
498,2,2
630,2,1
610,2,2
857,2,2
868,0,0
311,2,2
791,2,1
125,2,2
576,1,1
470,2,2
783,2,2
444,2,2
330,1,1
156,2,2
181,2,2
294,2,1
565,2,2
592,2,2
638,2,2
551,2,2
484,2,2
475,0,0
564,2,2
781,2,1
183,2,2
467,2,2
836,2,2
197,2,2
621,2,2
245,2,2
824,1,1
580,2,2
335,1,1
863,2,2
683,2,2
166,2,2
686,0,0
793,2,2
490,2,2
154,0,0
180,2,2
743,2,2
777,0,0
140,2,2
514,2,2
572,2,2
361,2,2
