train_node_idx,train_label,train_pred_label
909,2,2
301,2,2
138,2,2
449,2,2
150,1,1
780,2,2
851,2,2
153,2,2
502,2,2
739,2,2
883,1,1
176,2,2
390,2,2
904,1,1
206,2,2
327,2,2
867,2,2
226,2,2
708,2,2
543,2,2
558,2,2
652,2,1
755,1,1
928,2,2
172,1,1
217,0,0
915,2,2
852,2,0
681,2,2
597,2,2
201,2,2
671,1,1
850,0,0
601,2,2
875,2,2
461,1,1
163,2,2
263,2,2
553,2,2
698,2,2
522,2,2
264,2,2
600,2,2
184,1,1
229,1,1
585,1,1
485,1,1
249,2,2
246,1,1
281,2,2
251,2,2
800,2,2
463,2,2
929,1,1
353,2,2
219,2,1
345,2,2
624,2,2
469,1,1
776,2,2
663,2,2
319,1,1
604,2,2
676,2,2
925,2,2
899,2,2
399,2,2
632,1,1
694,2,2
839,2,2
279,0,0
400,2,2
385,2,2
292,2,2
830,2,2
364,2,1
374,2,2
914,2,2
560,2,2
873,0,0
362,2,2
748,2,2
477,2,2
122,2,0
151,2,2
360,1,1
545,2,2
392,2,2
712,2,2
276,2,1
132,2,2
459,2,2
309,2,2
130,2,2
370,2,2
299,2,2
237,1,1
211,1,1
165,2,2
765,2,2
148,2,2
699,2,2
617,2,2
255,2,2
425,2,2
235,2,2
403,0,0
672,2,2
433,2,2
680,2,2
697,2,2
655,2,2
225,2,2
306,2,2
508,2,2
535,2,2
173,0,0
369,2,2
770,1,1
922,0,0
552,2,2
588,2,2
856,1,1
534,2,2
336,2,2
419,1,1
920,2,2
435,0,0
871,2,2
286,2,2
391,2,2
556,2,2
659,2,2
431,2,2
587,2,2
438,2,2
692,2,2
437,1,1
701,0,0
796,2,2
719,1,1
468,2,2
870,2,2
656,2,2
607,2,2
648,2,2
503,2,2
640,2,2
799,2,2
492,2,2
669,2,2
918,2,2
627,1,1
348,2,2
355,1,1
208,2,2
547,2,2
144,2,2
557,2,2
687,1,1
278,2,2
312,2,2
394,1,1
515,2,2
855,2,2
906,2,2
709,2,2
351,2,2
540,2,2
685,2,2
453,2,2
271,0,0
178,2,2
631,2,2
616,2,2
344,2,2
542,2,2
578,1,1
496,2,2
705,0,0
377,2,2
518,2,2
577,0,0
473,2,2
412,2,2
476,2,2
493,2,2
499,2,2
550,2,2
757,2,2
910,2,2
446,2,2
792,1,1
291,2,2
420,2,2
155,2,2
646,0,0
241,2,2
819,1,1
660,2,2
574,2,2
386,2,2
661,2,2
668,2,2
801,2,2
429,2,2
387,2,2
622,2,2
741,1,1
859,2,2
559,2,2
439,2,2
401,2,2
315,2,2
726,1,1
575,2,2
615,2,2
320,2,2
927,2,2
521,2,2
204,2,2
728,2,2
222,2,2
216,1,1
501,2,2
715,2,2
384,2,2
310,2,2
626,2,2
233,2,2
810,2,2
772,2,2
618,0,0
221,2,2
569,2,2
234,2,2
599,0,0
371,2,2
548,2,2
472,2,2
442,0,0
454,0,0
821,2,2
710,1,1
141,2,2
189,1,1
637,2,2
838,2,2
254,2,2
152,2,2
127,2,2
450,2,2
825,1,1
716,1,1
396,2,2
782,2,1
288,2,2
520,2,1
823,2,2
297,2,2
608,1,1
430,2,2
725,2,2
432,2,2
303,2,2
820,1,1
168,2,2
732,2,2
298,0,0
525,2,2
146,0,0
934,2,2
734,2,2
195,2,2
427,2,2
562,2,2
416,2,2
210,2,2
853,2,2
363,0,0
512,2,2
901,0,0
393,2,2
764,2,2
317,2,2
768,1,1
730,2,2
256,2,2
554,2,2
740,2,2
524,2,2
169,2,2
283,2,2
218,2,2
462,2,2
769,0,0
603,1,1
275,2,2
629,2,2
509,2,2
258,2,2
280,2,2
752,2,2
313,2,2
714,2,2
794,2,2
658,2,2
167,2,2
666,0,0
817,2,2
723,2,1
625,2,2
478,2,2
887,2,2
440,0,0
818,2,2
418,2,2
613,2,2
243,2,2
289,2,2
568,2,2
695,2,2
238,2,2
145,2,2
879,1,1
897,2,2
816,1,1
628,2,2
495,2,2
528,2,2
675,2,2
491,2,2
756,2,2
133,2,2
161,2,2
774,0,0
614,2,2
356,2,2
513,1,1
308,2,2
787,0,0
809,2,2
749,2,2
194,2,2
198,2,2
605,2,2
811,2,2
527,2,2
691,2,2
191,1,1
212,2,1
862,2,2
487,2,2
900,2,2
142,2,2
215,0,0
147,2,1
186,2,2
679,2,2
383,2,2
305,0,0
526,1,1
634,2,2
788,2,2
623,2,2
171,2,2
257,2,2
397,2,2
591,2,2
876,2,2
236,2,2
149,1,1
802,0,0
483,2,2
423,2,2
164,2,2
436,2,2
854,2,2
737,2,2
347,2,2
905,2,2
447,2,2
267,2,2
711,2,2
662,2,2
270,2,2
428,2,2
869,2,2
829,2,2
466,2,2
265,2,2
735,1,1
827,1,1
771,2,2
931,2,2
417,2,2
834,2,2
382,2,2
284,0,0
729,0,0
895,2,2
366,2,2
352,2,2
649,2,2
571,2,2
357,2,2
388,2,2
636,2,2
207,2,2
647,2,2
523,2,2
713,2,2
498,2,2
630,2,0
610,2,2
857,2,2
868,0,0
311,2,2
791,2,2
125,2,2
576,1,1
470,2,2
783,2,2
444,2,2
330,1,1
156,2,2
181,2,2
294,2,2
565,2,2
592,2,2
638,2,2
551,2,2
484,2,2
475,0,0
564,2,2
781,2,2
183,2,2
467,2,2
836,2,2
197,2,2
621,2,2
245,2,2
824,1,1
580,2,2
335,1,1
863,2,2
683,2,2
166,2,2
686,0,0
793,2,2
490,2,2
154,0,0
180,2,2
743,2,2
777,0,0
140,2,2
514,2,2
572,2,2
361,2,2
650,2,2
137,1,1
773,1,1
786,2,2
635,2,2
549,1,1
733,2,2
220,2,2
529,1,1
596,2,2
193,2,2
667,2,2
751,1,1
464,2,2
718,2,2
451,0,0
872,0,0
266,2,2
844,2,2
445,2,2
368,2,2
333,2,2
203,2,2
296,2,2
511,2,2
882,2,2
874,2,2
262,2,2
268,2,2
365,1,1
282,2,2
378,2,2
329,2,2
831,2,2
338,2,2
316,2,2
321,2,2
766,2,2
441,0,0
240,2,2
519,0,0
406,2,2
456,0,0
506,0,0
832,0,0
678,2,2
260,2,2
885,2,2
505,2,2
845,2,2
481,2,2
408,2,2
494,2,2
736,2,2
228,2,2
584,1,1
609,2,2
187,2,2
324,1,1
192,2,2
199,2,2
864,2,2
405,2,2
843,2,2
911,2,2
847,1,1
500,0,0
890,0,0
539,2,2
846,0,0
474,2,2
881,0,0
159,2,2
744,2,2
346,0,0
822,0,0
402,1,1
373,2,2
763,2,2
926,0,0
259,2,2
350,2,2
460,2,2
174,1,1
372,2,2
314,2,2
582,0,0
497,0,0
795,2,2
657,2,2
893,1,1
185,2,2
170,2,2
835,0,0
665,2,0
703,2,2
367,2,2
223,2,2
415,2,2
808,2,2
538,2,2
670,0,0
912,2,2
323,2,2
841,0,0
602,1,1
244,2,2
828,2,2
903,1,1
594,2,2
340,2,2
516,2,2
533,2,2
532,2,2
359,2,2
128,1,1
673,2,2
349,2,2
923,1,1
814,0,0
642,2,2
504,2,2
546,2,2
179,2,2
231,2,2
452,2,2
471,2,2
486,2,2
888,2,2
434,2,2
190,2,2
409,2,2
702,2,2
775,0,0
160,2,2
510,2,2
798,2,2
779,0,0
307,2,2
239,1,1
595,2,2
790,2,2
933,2,2
753,1,1
424,2,2
287,2,2
593,2,2
849,2,2
339,2,2
807,2,2
898,2,2
877,2,2
325,2,2
410,2,2
337,2,2
690,1,1
858,2,2
745,2,2
202,2,2
555,2,2
273,0,0
157,2,2
759,1,1
209,2,2
583,1,1
891,2,2
358,2,2
253,2,2
696,2,2
837,0,0
300,2,2
644,2,2
688,2,2
332,2,2
139,2,2
586,2,2
175,2,2
247,2,2
566,1,1
541,2,2
758,2,2
214,2,2
285,2,2
414,2,2
778,2,2
188,1,1
651,2,2
134,1,1
135,2,2
544,2,2
896,1,1
489,2,2
