Locus	Chr	Boundaries (bp, b37)	Locus width (bp)	Number of distinct signals
VWA5B1	1	20,229,451-21,229,451	1,000,000	1
MACF1	1	39,370,793-40,370,793	1,000,000	1
MAST2	1	45,858,862-46,858,862	1,000,000	1
FAF1	1	50,719,188-51,719,188	1,000,000	1
PGM1	1	63,614,429-64,614,429	1,000,000	1
PTGFRN	1	117,032,790-118,032,790	1,000,000	1
NOTCH2	1	119,955,586-120,955,586	1,000,000	1
SEC16B	1	177,389,025-178,389,025	1,000,000	1
ZNF281	1	199,916,099-200,916,099	1,000,000	1
DSTYK-MDM4	1	204,039,291-205,667,799	1,628,508	2
SRGAP2	1	206,100,992-207,100,992	1,000,000	1
PROX1	1	213,659,256-214,659,256	1,000,000	2
LYPLAL1	1	219,248,818-220,248,818	1,000,000	1
ABCB10-NUP133	1	229,172,955-230,172,955	1,000,000	1
TMEM18	2	136,929-1,136,929	1,000,000	2
DTNB	2	25,033,568-26,033,568	1,000,000	1
GCKR	2	27,230,940-28,230,940	1,000,000	1
THADA	2	43,171,176-44,171,176	1,000,000	1
SIX3-SIX2	2	44,692,080-45,692,080	1,000,000	1
BNIPL	2	58,461,136-59,461,136	1,000,000	1
BCL11A	2	60,086,707-61,086,707	1,000,000	1
CEP68	2	65,166,674-66,166,674	1,000,000	2
GLI2	2	120,817,747-121,817,747	1,000,000	2
CYTIP	2	157,890,468-158,890,468	1,000,000	1
RBSM1	2	160,644,055-161,644,055	1,000,000	1
KCNH7	2	163,149,480-164,149,480	1,000,000	1
GRB14	2	165,008,389-166,008,389	1,000,000	1
IKZF2	2	213,318,731-214,318,731	1,000,000	1
IRS1	2	226,600,490-227,600,490	1,000,000	1
ATG16L1-DGKD	2	233,691,103-234,691,103	1,000,000	1
PPARG	3	11,829,783-12,829,783	1,000,000	2
UBE2E2	3	22,957,080-23,957,080	1,000,000	2
RBM6	3	49,674,197-50,674,197	1,000,000	1
CACNA2D3	3	54,328,827-55,328,827	1,000,000	1
